source,target
meta-alça Mover 3D,3D Move gizmo
meta-alça Rotacionar 3D,3D Rotate gizmo
meta-alça Escala 3D,3D Scale gizmo
ALINHAR3D,3DALIGN
MATRIZ3D,3DARRAY
CORTAR3D,3DCLIP
ORBITA3DC,3DCORBIT
DISTANCIA3D,3DDISTANCE
DWF3D,3DDWF
PUBLICARDWF3D,3DDWFPUBLISH
BARRAEDICAO3D,3DEDITBAR
FACE3D,3DFACE
VOAR3D,3DFLY
ORBITAF3D,3DFORBIT
MALHA3D,3DMESH
MOVER3D,3DMOVE
ORBITA3D,3DORBIT
CTRORBIT3D,3DORBITCTR
ORBITATRANSPARENTE3D,3DORBITTRANSPARENT
3DOSNAP,3DOSNAP
PAN3D,3DPAN
3DPANTRANSPARENT,3DPANTRANSPARENT
POLI3D,3DPOLY
IMPRESSAO3D,3DPRINT
SERVIÇOIMPRESSÃO3D,3DPRINTSERVICE
ROTACIONAR3D,3DROTATE
ESCALA3D,3DSCALE
IMP3DS,3DSIN
GIRAR3D,3DSWIVEL
GIRAR3DTRANSPARENTE,3DSWIVELTRANSPARENT
NAVEGAR3D,3DWALK
ZOOM3D,3DZOOM
3DZOOMTRANSPARENT,3DZOOMTRANSPARENT
ACADBLOCKDIALOG,ACADBLOCKDIALOG
ACADINFO,ACADINFO
ACADWBLOCKDIALOG,ACADWBLOCKDIALOG
ACISIN,ACISIN
ACISOUT,ACISOUT
ACS,ACS
PONTOBASEACAO,ACTBASEPOINT
FECHARACTIVITYINSIGHTS,ACTIVITYINSIGHTSCLOSE
ABRIRACTIVITYINSIGHTS,ACTIVITYINSIGHTSOPEN
GERENCIADORACAO,ACTMANAGER
GRAVARACAO,ACTRECORD
PARARACAO,ACTSTOP
ENTRADAUSUARIOACAO,ACTUSERINPUT
MENSAGEMUSUARIOACAO,ACTUSERMESSAGE
ADC,ADC
FECHARADC,ADCCLOSE
NAVEGADORPERSONALIZADOADC,ADCCUSTOMNAVIGATE
ADCENTER,ADCENTER
NAVEGADC,ADCNAVIGATE
ADDSELECTED,ADDSELECTED
AJUSTAR,ADJUST
AI_CIRCTAN,AI_CIRCTAN
AI_PSPACE,AI_PSPACE
AIDIMPREC,AIDIMPREC
AIDIMSTYLE,AIDIMSTYLE
AIDIMTEXTMOVE,AIDIMTEXTMOVE
ALIASEDIT,ALIASEDIT
ALINHAR,ALIGN
vista de corte alinhada,aligned section view
ALIGNSPACE,ALIGNSPACE
ALKIS,ALKIS
símbolo de todo o contorno,all-around symbol
REPROTUDO,ALLPLAY
sangramento alfa,alpha-blend
unidade alternativa,alternate unit
CONVERTERAME,AMECONVERT
ANALISECURVATURA,ANALYSISCURVATURE
ANALISEANGULOMODELO,ANALYSISDRAFT
OPCOESANALISE,ANALYSISOPTIONS
ANALISEZEBRA,ANALYSISZEBRA
superfície analítica,analytical surface
ângulo de deflexão,angle of deflection
ANIMCAMINHO,ANIPATH
RESTAURARANOT,ANNORESET
anotação,annotation
restrição de anotação,annotational constraint
