source,target
сетевой 3D-примитив,3D mesh primitive
гизмо 3D-переноса,3D Move gizmo
гизмо 3D-поворота,3D Rotate gizmo
гизмо 3D-масштабирования,3D Scale gizmo
3DВЫРОВНЯТЬ,3DALIGN
3DМАССИВ,3DARRAY
3DСЕКПЛ,3DCLIP
3DПОРБИТА,3DCORBIT
3DРАССТ,3DDISTANCE
3DДВФ,3DDWF
ПУБЛ3DДВФ,3DDWFPUBLISH
3DEDITBAR,3DEDITBAR
3DГРАНЬ,3DFACE
3DОБЛЕТ,3DFLY
3DСОРБИТА,3DFORBIT
3DСЕТЬ,3DMESH
3DПЕРЕНЕСТИ,3DMOVE
3DОРБИТА,3DORBIT
3DОРБЦЕНТР,3DORBITCTR
3DОРБИТАПРОЗРАЧНАЯ,3DORBITTRANSPARENT
3DПРИВЯЗКА,3DOSNAP
-3DПРИВЯЗКА,-3DOSNAP
3DПАН,3DPAN
3DПАНПРОЗРАЧНОЕ,3DPANTRANSPARENT
3DПЛИНИЯ,3DPOLY
3DПЕЧАТЬ,3DPRINT
СЛУЖБА3DПЕЧАТИ,3DPRINTSERVICE
3DПОВЕРНУТЬ,3DROTATE
3DМАСШТАБ,3DSCALE
ИМПОРТ3ДС,3DSIN
3DШАРНИР,3DSWIVEL
3DШАРНИРПРОЗРАЧНЫЙ,3DSWIVELTRANSPARENT
3DОБХОД,3DWALK
3DПОКАЗАТЬ,3DZOOM
3DПОКАЗАТЬПРОЗРАЧНЫЙ,3DZOOMTRANSPARENT
ACADBLOCKDIALOG,ACADBLOCKDIALOG
ACADINFO,ACADINFO
ACADWBLOCKDIALOG,ACADWBLOCKDIALOG
ИМПОРТТЕЛ,ACISIN
ЭКСПОРТТЕЛ,ACISOUT
ОПЕРБАЗОВАЯТОЧКА,ACTBASEPOINT
АНАЛИТИКАДЕЙСТВИЙЗАКРЫТЬ,ACTIVITYINSIGHTSCLOSE
АНАЛИТИКАДЕЙСТВИЙОТКРЫТЬ,ACTIVITYINSIGHTSOPEN
ДИСПОПЕР,ACTMANAGER
ОПЕРЗАПИСЬ,ACTRECORD
ОПЕРСТОП,ACTSTOP
ОПЕРПВВОД,ACTUSERINPUT
ОПЕРПСООБЩЕНИЕ,ACTUSERMESSAGE
ADC,ADC
ЦУОТКЛ,ADCCLOSE
ЦУСТПЕРЕЙТИ,ADCCUSTOMNAVIGATE
ЦУВКЛ,ADCENTER
ЦУПЕРЕЙТИ,ADCNAVIGATE
ADDSELECTED,ADDSELECTED
AEC Collection,AEC Collection
AI_CIRCTAN,AI_CIRCTAN
AI_PSPACE,AI_PSPACE
AIDIMPREC,AIDIMPREC
AIDIMSTYLE,AIDIMSTYLE
AIDIMTEXTMOVE,AIDIMTEXTMOVE
ALIASEDIT,ALIASEDIT
Параллельный размер,Aligned Dimension
сечение с выравниванием,aligned section view
ALIGNSPACE,ALIGNSPACE
ALKIS,ALKIS
по замкнутому контуру,all-around symbol
ВОСПРВСЕ,ALLPLAY
альфа-смешение,alpha-blend
альтернативная единица,alternate unit
альтиметрия,altimetry
РОККОНВЕРТ,AMECONVERT
АНАЛИЗКРИВИЗНЫ,ANALYSISCURVATURE
АНАЛИЗУКЛОНА,ANALYSISDRAFT
ПАРАМЕТРЫАНАЛИЗА,ANALYSISOPTIONS
АНАЛИЗЗЕБРА,ANALYSISZEBRA
аналитическая поверхность,analytical surface
угол отклонения,angle of deflection
АНИМТРАЕКТ,ANIPATH
АННОСБРОС,ANNORESET
аннотация,annotation
аннотативная зависимость,annotational constraint
аннотативный объект,annotative object
АННООБНОВИТЬ,ANNOUPDATE
анод,anode
анодная станция,anode station
АПЕРТУРА,APERTURE
ПРИЛАВТОЗАГР,APPAUTOLOADER
стиль представления,appearance style
ЗАГПРИЛ,APPLOAD
дуга,arc
сегментация дуги,arc segmentation
расстояние от хорды до дуги,arc-chord distance
ARCTEXT,ARCTEXT
ARG,ARG
МАССИВКЛ,ARRAYCLASSIC
МАССИВЗАКР,ARRAYCLOSE
МАССИВРЕД,ARRAYEDIT
МАССИВТРАЕКТ,ARRAYPATH
МАССИВКРУГ,ARRAYPOLAR
МАССИВПРЯМОУГ,ARRAYRECT
ARX,ARX
сборочный чертеж,assembly drawing
шаблон извлечения сборки,assembly extraction template
АССИСТЕНТЗАКР,ASSISTANTCLOSE
АССИСТЕНТОТКР,ASSISTANTOPEN
ассоциативный массив,associative array
ложный штуцер,assumed nozzle
ATEXT,ATEXT
ATIL,ATIL
УРЛСВЯЗАТЬ,ATTACHURL
АТОПР,ATTDEF
АТЭКР,ATTDISP
АТРЕД,ATTEDIT
АТЭКСП,ATTEXT
ATTIN,ATTIN
АТРЕДМ,ATTIPEDIT
ATTOUT,ATTOUT
ATTREDEF,ATTREDEF
АТРОБНОВИТЬ,ATTSYNC
Индекс цвета AutoCAD,AutoCAD color index
AutoCAD including specialized toolsets,AutoCAD including specialized toolsets
AutoCAD Migration Assistance,AutoCAD Migration Assistance
Автозавершение,AutoComplete
АВТООГРАНИЧЕНИЕ,AUTOCONSTRAIN
Autodesk Assistant,Autodesk Assistant
Autodesk CAD Manager Tools Setup Wizard,Autodesk CAD Manager Tools
Autodesk Content Explorer,Autodesk Content Explorer
портал сообщества пользователей Autodesk в сфере производства,Autodesk Manufacturing Community Portal
AUTODESKCONNECTIONPOINT,AUTODESKCONNECTIONPOINT
AutoLISP Project Files,AutoLISP
разработка на AutoLISP,AutoLISP development
среда AutoLISP,AutoLISP environment
АВТОПУБЛ,AUTOPUBLISH
вспомогательная система координат,auxiliary coordinate system
смещение оси,axis offset
азимут,azimuth
ФОН,BACKGROUND
обратный клапан,backwater gate
БЛОКРЕАКТ,BACTION
БЛОКСТРОКАОПЕРАЦИЙ,BACTIONBAR
БЛОКРЕАКТНАБОР,BACTIONSET
БЛОКРЕАКТИНСТ,BACTIONTOOL
шаровая мельница,ball mill
БЛОКРЕАКТСВЯЗЬ,BASSOCIATE
утилита пакетного нормоконтроля,Batch Standards Checker
ДИСПАТБЛК,BATTMAN
БЛОКПОРАТР,BATTORDER
БЛОКПАЛВАР,BAUTHORPALETTE
