source,target
Hizalı Boyut,Aligned Dimension
ALKIS,ALKIS
ATIL,ATIL
AutoCAD Migration Assistance,AutoCAD Migration Assistance
AutoCAD Mobil,AutoCAD Mobile
Autocad Mobil uygulaması,Autocad Mobile app
Autodesk Content Explorer,Autodesk Content Explorer
BLOB,BLOB
CHAR,CHAR
CLOB,CLOB
CRS,CRS
CSS,CSS
CV,CV
CWFU,CWFU
Design Review,Design Review
Design Web Format,Design Web Format
Digital Signature Extension,Digital Signature Extension
DMS,DMS
DOF,DOF
DPI,DPI
Drawing Interchange Format,Drawing Interchange Format
DTED,DTED
DWF,DWF
DWG Convert,DWG Convert
DWG TrueConvert,DWG TrueConvert
DXF,DXF
ESW,ESW
Extensible Markup Language,Extensible Markup Language
Extensible Stylesheet Language,Extensible Stylesheet Language
FDO,FDO
hareket,gesture
tutma noktası ayna,grip mirror
tutma noktası döndür,grip rotate
tutma noktası ölçekle,grip scale
endeks rengi,index color
ISA,ISA
Keyhole Markup Language,Keyhole Markup Language
KML,KML
KMZ,KMZ
çizgi tipi,linetype
ana çizgi,major line
mental ray,mental ray
NANT,NANT
NCLOB,NCLOB
ObjectARX,ObjectARX
P&ID,P&ID
PIP,PIP
PolarSnap,PolarSnap
ShapeManager,ShapeManager
SketchUp,SketchUp
iz özelliği,trace feature
XSL,XSL
