source,target
3DALIGN,3DALIGN
3DARRAY,3DARRAY
3DCLIP,3DCLIP
3DCORBIT,3DCORBIT
3DDISTANCE,3DDISTANCE
3DDWF,3DDWF
3DDWFPUBLISH,3DDWFPUBLISH
3DEDITBAR,3DEDITBAR
3DFACE,3DFACE
3DFLY,3DFLY
3DFORBIT,3DFORBIT
3DMESH,3DMESH
3DMOVE,3DMOVE
3DORBIT,3DORBIT
3DORBITCTR,3DORBITCTR
3DORBITTRANSPARENT,3DORBITTRANSPARENT
3DOSNAP,3DOSNAP
3DPAN,3DPAN
3DPANTRANSPARENT,3DPANTRANSPARENT
3DPOLY,3DPOLY
3DPRINT,3DPRINT
3DPRINTSERVICE,3DPRINTSERVICE
3DROTATE,3DROTATE
3DSCALE,3DSCALE
3DSIN,3DSIN
3DSWIVEL,3DSWIVEL
3DSWIVELTRANSPARENT,3DSWIVELTRANSPARENT
3DWALK,3DWALK
3DZOOM,3DZOOM
3DZOOMTRANSPARENT,3DZOOMTRANSPARENT
3D-обертаєма штуковина,3D Rotate gizmo
3D-рухома штуковина,3D Move gizmo
ACADBLOCKDIALOG,ACADBLOCKDIALOG
ACADINFO,ACADINFO
ACADWBLOCKDIALOG,ACADWBLOCKDIALOG
ACISIN,ACISIN
ACISOUT,ACISOUT
ACS,ACS
ACTBASEPOINT,ACTBASEPOINT
ACTIVITYINSIGHTSCLOSE,ACTIVITYINSIGHTSCLOSE
ACTIVITYINSIGHTSOPEN,ACTIVITYINSIGHTSOPEN
ACTMANAGER,ACTMANAGER
ACTRECORD,ACTRECORD
ACTSTOP,ACTSTOP
ACTUSERINPUT,ACTUSERINPUT
ACTUSERMESSAGE,ACTUSERMESSAGE
ADC,ADC
ADCCLOSE,ADCCLOSE
ADCCUSTOMNAVIGATE,ADCCUSTOMNAVIGATE
ADCENTER,ADCENTER
ADCNAVIGATE,ADCNAVIGATE
ADDSELECTED,ADDSELECTED
AIDIMPREC,AIDIMPREC
AIDIMSTYLE,AIDIMSTYLE
AIDIMTEXTMOVE,AIDIMTEXTMOVE
ALIASEDIT,ALIASEDIT
ALIGNSPACE,ALIGNSPACE
ALLPLAY,ALLPLAY
AMECONVERT,AMECONVERT
