source,target
Airtable,Airtable
ALKIS,ALKIS
ASBD,ASBD
ATIL,ATIL
BCA,BCA
BCF,BCF
BVC,BVC
BVCE,BVCE
BVCS,BVCS
CADmep,CADmep
Cipolletti,Cipolletti
CWFU,CWFU
DECDEG,DECDEG
DEM,DEM
Desktop Connector,Desktop Connector
DMS,DMS
DTM,DTM
EDM,EDM
EGL,EGL
EVC,EVC
EVCE,EVCE
FU,FU
HDS,HDS
HGL,HGL
HP,HP
IMX,IMX
Inventor Server,Inventor Server
LandXML,LandXML
LAS,LAS
LF,LF
LP,LP
MACP,MACP
P&ID Modeler,P&ID Modeler
Photo on ReCap 360,Photo on ReCap 360
Piranesi EPix,Piranesi EPix
PlanGrid,PlanGrid
Pype,Pype
RCP,RCP
Roamer,Roamer
SCS,SCS
SCSCS,SCSCS
SCSSCS,SCSSCS
SketchUp,SketchUp
Structural Analysis for Revit,Structural Analysis for Revit
TimeLiner,TimeLiner
Tinkerplay,Tinkerplay
Vehicle Tracking,Vehicle Tracking
XDRef,XDRef
اتجاه مخاطر الجودة,quality risk trend
اتجاه مخاطر جودة المقاول الفرعي,subcontractor quality risk trend
اجتماعات,meetings
ارتفاع,elevation
ارتفاع المنحنى,bulge
ارتفاع درجة المقطع الطولي,profile grade elevation
اسم المخطط,schema name
اقتراح,proposal
اكتساب الحرارة الكامنة من الأشخاص,people latent heat gain
الاحتياطي,contingency
الإشغال,occupancy
الإعدادات,settings
البحث عن صورة السحابة النقطية,Point Cloud Image Lookup
البعد الخطي,linear dimension
التباعد الطولي,longitudinal spacing
التبخر,evaporation
التحقق من التداخل,interference check
التحويل,Place Me
التدعيم الجانبي,lateral bracing
التفاوت,tolerance
التقوس,fillet
التيار الفعلي,true current
الجدار الساتر,curtain wall
الجدول الزمني,timeline
الجسر الصندوقي,box girder
الحرارة الكامنة,latent heat
الحمل الافتراضي,notional load
الحمل الفعلي,true load
الحمل الكهربائي,power load
الحمل الميت,dead load
الحمل الميكانيكي,mechanical load
الخلفية,backsight
الدعم التحليلي,analytical brace
الدقة,fidelity
الدليل الحالي,current directory
الربط بين الحوائط,butt
الرسم البياني للشبكة,net graph
السبب الجذري,root cause
السرعة الزاويّة,angular speed
السطح,deck
السطح التحليلي,analytical surface
السمت,azimuth
الشكل الضوئي,photometric shape
الصفحة الرئيسية,Home
الطابق المعماري,architectural floor
العقد الرئيسي,main contract
القدرة الظاهرية,apparent power
القطاع الناقص,ellipse segment
القطر الاسمي,nominal diameter
القطع التكعيبي,cubic parabola
القوة المميزة,characteristic strength
الكتلة المفاهيمية,conceptual mass
الكسب الحراري,heat gain
الكلمة الرئيسية,keynote
الكواكب الجليدية العملاقة,ice giants
المسافة بين القوس والوتر,arc-chord distance
المسح الخطي,linear takeoff
المسؤولية الآن على الطرف الآخر,ball in court
المشكلات,issues
المشكلة,issue
المصباح الجاف,dry bulb
المفصل,knuckle
المقياس الخطي,linear scale
الملف المرجعي,reference profile
المواقع,locations
المياه الجوفية,ground water
الميلان,cant
الميلان نحو الحواف,crown
النمذجة الهيكلية,structural modeling
النموذج الأساسي,primary model
الوعي بالمحتوى,content awareness
انحناء أحادي الاتجاه,unidirectional bending
انقلاب,rollover
إحداثيات شمالية,northing
إدارة التكاليف,cost management
إرجاع تدفق الهواء,return airflow
إزاحة المحاذاة,alignment offset
إزالة التربة السطحية,stripping top soil
إطار,frame
إطار الجدار الساتر,curtain wall frame
إلغاء طلب المعلومات (RFI),void RFI
أجزاء فرعية,subassemblies
أحمال التدفئة والتبريد,heating and cooling loads
أداة,gizmo
أداة البدء,initiator
أداة التحريك ثلاثية الأبعاد,3D Move gizmo
أداة التدوير ثلاثية الأبعاد,3D Rotate gizmo
أداة التغييرات,Changes tool
أداة تسمية المساحات,Space Naming Utility
أداة داعمة,abutment
أداة رؤية ثلاثية الأبعاد,3D Scale gizmo
أساس,foundation
أساس الجدار,wall foundation
أعضاء متعددون,multiple members
أعلى اللوح,slab top
أعمال الحفر,earthworks
ألواح الجبس,drywall
ألومنيوم مصقول,brushed aluminium
أمر تغيير محتمل (PCO),PCO
أمر تغيير ميزانية من الجهة العليا,upstream budget change order
أنابيب مائلة,sloped piping
أنبوب,conduit
أنبوب الجاذبية,gravity pipe
أنبوب الضغط,pressure pipe
أنبوب دائري,round pipe
أنبوب متقاطع,crossing pipe
أوراق متعددة,multi-sheet
بالوعة مياه الأمطار,storm sewer
بحث المستخدم,user research
بلاط سيراميك,ceramic tile
بناء الهيكل,shell construction
بيانات ISD,ISD
بيئة البيانات المشتركة,CDE
تأثير التكلفة,cost impact
تتبع الأشعة,ray tracing
تتبع التقدم,progress tracking
تجريد الرصيف,stripping pavement
تحديد,markup
تحديد السرعة بخطوط,speed striping
تحديد موقع الإسقاط,drop reference location
تحليل التغيير,change analysis
تحليل الجسر بعناصر محدودة,finite-element bridge analysis
تحليل الطاقة المفاهيمي,conceptual energy analysis
تحويل الميزانية,budget transfer
تخطيط الأنبوب,pipe layout
تخطيط المراحل,phase mapping
تدرج الميلان,cant gradient
تدفق سطحي,sheet flow
تذاكر سريعة,quick tickets
تذكرة تفاعلية,reactive ticket
تركيب الأنابيب,pipe fitting
تركيب السباكة,plumbing fixture
تركيب القناة,duct fitting
تركيب إضاءة,lighting fixture
تسليح مقاوم للانكماش,anti-shrinkage reinforcement
تصريح الخدمة,service clearance
تصميم الجسور الهيكلية,Structural Bridge Design
تصنيف التحميل,load classification
تطبيق دفع التكلفة,cost payment application
تطوير الأراضي,land development
تعديل رأسي,vertical adjustment
تعزيز المسار,path reinforcement
تعليق,annotation
تغييرات المالك,owner changes
تقديم,submittal
تقرير التصميم,design report
تقرير محاذاة المراقبة,stakeout alignment report
تقرير ميداني,field report
تقليم,cope
