source,target
3D síťové primitivum,3D mesh primitive
manipulátor 3D přesunu,3D Move gizmo
manipulátor 3D rotace,3D Rotate gizmo
manipulátor 3D měřítka,3D Scale gizmo
klimatizační jednotka,air handler
zarovnaný řez,aligned section view
bod geometrie trasy,alignment geometry point
odsazení trasy,alignment offset
ALKIS,ALKIS
dovolený proud,ampacity
analema,analemma
analytické ztužení,analytical brace
analytická podlaha,analytical floor
analytický povrch,analytical surface
úhel odklonění,angle of deflection
úhlová rychlost,angular speed
poznámka,annotation
Zdánlivý výkon,apparent power
styl vzhledu,appearance style
vzdálenost oblouk-tětiva,arc-chord distance
ArcGIS,ArcGIS
architektonické podlaží,architectural floor
tvarovka ASHRAE,ASHRAE fitting
knihovna položek,asset library
ATIL,ATIL
Autodesk AutoSpecs,Autodesk AutoSpecs
Autodesk Design Collaboration,Autodesk Design Collaboration
Autodesk Fabrication,Autodesk Fabrication
Knihovna obrázků Autodesk,Autodesk Image Library
azimut,azimuth
záměra vzad,backsight
přiřazeno straně,ball in court
základní rodina,base family
BCA,BCA
nosná stěna,bearing wall
stupňovité svahování,benching
průměr ohybu,bend diameter
Bloss,bloss
vzdálenost mezi rámečkem a odkazovou čárou,border and leader gap
vypůjčovatel,borrower
hraniční bod,boundary point
ohraničené kubatury,bounded volume
ohraničující těleso,bounding shape
koncový obvod,branch circuit
cihlový obklad,brick veneer
Bridge Design for InfraWorks 360,Bridge Design for InfraWorks 360
veřejná plocha budovy,building common area
půdorysný tvar budovy,building footprint
úroveň budovy,building level
vrstvená lepenková krytina,built-up roof
vyboulení,bulge
tupý,butt
BVC,BVC
BVCE,BVCE
BVCS,BVCS
jízdní pruh spojovací větve,bypass lane
kabelová lávka,cable tray
CADmep,CADmep
štítek odkazu,callout tag
převýšení koleje,cant
zakončení,cap
sada náčrtků,cartoon set
okenní křídlo,casement
litý na místě,cast-in-place
jímka,catch basin
skupina povodí,catchment group
bod v povodí,catchment location
dutinová stěna,cavity wall
Půdorys stropu,ceiling plan
středová značka,center mark
keramická dlaždice,ceramic tile
kanál,channel
délka tětivy,chord distance
vůle,clearance
světlík,clerestory
oříznutý objem,clip volume
styl sady kódů,code set style
instalační jednotka pro studenou vodu,cold water fixture unit
kombinace vtoků,combination inlet
složené kubatury,composite volumes
asfaltové šindele,composition roof
složený oblouk,compound curve
Koncepční energetická analýza,Conceptual Energy Analysis
koncepční objemy,conceptual mass
odtok kondenzátu,condensate drain
tvarovka vedení,conduit fitting
konektor,connector
prvek vazby,constraint element
Knihovna obsahu,content library
obsahový balíček,content pack
popisek vrstevnice,contour label
definovaná oblast,control region
zatížení konvencí,convection load
konvexní,convex
přizpůsobit,cope
krakorec,corbel
koridor,corridor
editor příčného řezu koridoru,corridor section editor
místní sada,country kit
oblast oříznutí,crop region
křížení potrubí,crossing pipe
vrchol střechovitého sklonu vozovky,crown
Vozovka se základním střechovitým příčným sklonem,crowned roadway
slepá ulice,cul-de-sac
obrubníková vpust,curb opening inlet
zaoblení krajnice,curb return
aktuální adresář,current directory
panel obvodového pláště,curtain panel
systém obvodového pláště,curtain system
obvodový plášť,curtain wall
rám obvodového pláště,curtain wall frame
sloupek obvodového pláště,curtain wall mullion
jednotka obvodového pláště,curtain wall unit
vzdálenost mozaiky oblouku,curve tessellation distance
zakřivený nosník,curved beam
CWFU,CWFU
vstupní brána denního světla,daylight portal
sklo pro denní osvětlení,daylighting glass
stálé zatížení,dead load
DECDEG,DECDEG
stupně minuty sekundy,degrees minutes seconds
DEM,DEM
činitel náročnosti,demand factor
uzávěrový bod,depression low point
návrh,design
metoda vyhledání návrhové rychlosti,design speed lookup method
vozidla návrhu,design vehicles
Desktop Connector,Desktop Connector
digitální výškový model,digital elevation model
rozměrová vazba,DimConstraint
dll,DLL
DMS,DMS
Drainage Design for Infraworks 360,Drainage Design for Infraworks 360
skupina výkresů,drawing group
vertikální posun potrubí,drop amount
referenční poloha na potrubí,drop reference location
výškový rozdíl mezi vtokem a výtokem,drop value
suchý teploměr,dry bulb
sádrokarton,drywall
DTM,DTM
spojovací součást potrubí,duct connector
tlumič potrubí,duct damper
tvarovka potrubí,duct fitting
výstelka potrubí,duct lining
potrubní systém,duct system
souřadnice X,easting
Změnit polohu bodu,edit point
EDM,EDM
elektrické vybavení,electrical equipment
elektronický měřič vzdáleností,electronic distance meter
výška,elevation
osa výšek,elevation axis
vnořená stěna,embedded wall
délka vjezdu,entry length
rovnice,equation
teoretické převýšení koleje,equilibrium cant
EVC,EVC
EVCE,EVCE
odváděný vzduch,exhaust air
výjezd,exit lane
externí datová reference,External Data Reference
externí sečna,external secant
výrobní součásti,fabrication parts
měřický zápisník,field book
vzor výplně,fill pattern
zaoblení,fillet
Povrchová úprava,Final Surface
navržený profil,finished grade profile
pevná tečna,fixed line
pevné okno,fixed window
instalační jednotka,fixture unit
bod připojení rigolu,flange point
plovoucí oblouk,float curve
plovoucí tečna,floating line
proudnice,flow line
bednění,formwork
přebytek výkopu,freehaul
faktor tření,friction factor
odsazení přední hrany parcely,front yard
průčelí parcely,frontage
odsazení průčelí parcely,frontage offset
počáteční bod průčelí parcely,frontage start point
FU,FU
plný dostředný sklon,full super
fuzzy,fuzz
Ganttův diagram,Gantt
manipulátor,gizmo
klín,gore
terénní úprava,grading plan
cíl svahování,grading target
vtokové mříže,grate inlet
gravitační síť,gravity network
gravitační potrubí,gravity pipe
vzdálenost bodů souřadnicového systému,grid distance
souřadnice rastru X,grid easting
souřadnice rastru Y,grid northing
Přesah hlavního rastru,grid padding
povrch definovaný rastrem,grid surface
objemový povrch definovaný rastrem,grid volume surface
světlá výška,ground clearance
ochranný vodič,ground conductor
svodidlo,guardrail
závěs,hanger
HDS,HDS
výška vody nad referenčním povrchem,head
ztrátová výška,headloss
výtokové čelo,headwall
Přírůstek tepla,heat gain
tepelný ostrov,heat island
zatížení vytápění a chlazení,heating and cooling loads
návrhová teplota pro vytápění,heating design temperature
HGL,HGL
vyšší strana,high side
poloha vyšší strany,highside location
metoda horizontální úpravy,horizontal adjustment method
vodič pod napětím,hot conductor
HP,HP
čelní deska HS,HS end plate
zóna HVAC,HVAC zone
čára hydraulického sklonu,hydraulic grade line
hydraulický poloměr,hydraulic radius
teplovodní,hydronic
Ia,Ia
dopočítaný vrchol směrového polygonu,implied point of intersection
počáteční nasycení,initial abstraction
vtok,inlet
způsob zadání,input type
Vada,Issue
Typ vady,issue type
křižovatka,junction
stavební objekt s přípojkami,junction structure
indexovaná poznámka,keynote
tabulka indexované poznámky,keynote table
