source,target
3D-minikort,3D Mini-map
håndtag til 3D-flytning,3D Move gizmo
håndtag til 3D-rotering,3D Rotate gizmo
håndtag til 3D-skalering,3D Scale gizmo
ACC,ACC
kontoadministrator,account administrator
Aktivitetsvisning i Gantt-diagram,Activity Gantt View
administrator,administrator
samlet visning,aggregate View
ALKIS,ALKIS
analytisk overflade,analytical surface
afsætningspunkt,APL point
godkender,approver
ATIL,ATIL
vedhæftet fil,attachment
BCA,BCA
faktureringsperiode,billing period
BIM-objekt,BIM object
BIM-værktøj,BIM tool
Databro,Bridge
Bridge Design for InfraWorks 360,Bridge Design for InfraWorks 360
forretningsenheder,business units
BVC,BVC
BVCE,BVCE
BVCS,BVCS
CDE,CDE
Ændringsanalyse,change analysis
Ændringsværktøj,Changes tool
Kollisionsmatrix,clash grid
kollisionspakke,clash group
kollisionskontrol,clash service
klassiske tjenester,classic services
cloudmodel,cloud model
virksomhed,company
kontaktperson,contact
Uforudsete,contingency
kontrolleret deling,controlled sharing
koordineringsområde,coordination space
Anmodning om ordreændring,COR
Indvirkning på omkostninger,cost impact
CWFU,CWFU
dashboard,dashboard
datacenter,data center
DECDEG,DECDEG
DEM,DEM
design,design
DMS,DMS
dokument,document
dokumentlog,document log
Document Management,Document Management
Drainage Design for Infraworks 360,Drainage Design for Infraworks 360
DTM,DTM
jordarbejde,earthworks
EDM,EDM
opstalt,elevation
EVC,EVC
EVCE,EVCE
leder,executive
funktion,feature
fil,file
filoversigt,files log
formular,Form
FU,FU
Gantt,Gantt
Hovedentreprenør,general contractor
Hovedentreprenørvirksomhed,general contractor company
håndtag,gizmo
HDS,HDS
HGL,HGL
HP,HP
Ia,Ia
intern budgetoverførsel,internal budget transfer
element,item
Rapport over arbejde og arbejdsstyrke,labor and workforce report
grad af glathed,level of smoothness
LF,LF
lineær opmåling,linear takeoff
placering,location
Lokationer,Locations
log,log
LP,LP
bygherrekontrakt,main contract
markering,markup
medlem,member
oversigtsbillede,mini-map
næste handling af,next action by
ikke et problem,not an issue
objekt,object
tilbud,offering
organisation,organization
oprindeligt budget,original budget
ejerændringer,owner changes
tilladelse,permission
Piranesi EPix,Piranesi EPix
Placer mig,Place Me
superbruger,power collaborator
Primær model,primary model
produkt,product
projekt,project
projektadministrator,project administrator
projektliste,Project List
Pype,Pype
Kvalitetsrisiko,Quality Risk
Tendens for kvalitetsrisiko,Quality Risk Trend
reference,reference
rapport,report
gransker,reviewer
Risikoniveau,Risk Level
Roadway Design for InfraWorks 360,Roadway Design for InfraWorks 360
Roamer,Roamer
rolle,role
Sikkerhedstjekliste,safety Checklist
Sikkerhedsobservation,safety observations
pris- og ydelsesoversigt,schedule of values
snitlinje,section plane
indstillinger,settings
tegning,sheet
SketchUp,SketchUp
stempel,stamp
byggeteknisk modellering,structural modeling
Indsendelser,Submittals
ordreændring for leverandør,supplier change order
Swagger API,Swagger API
SWPPP,SWPPP
opmåling,takeoff
opmålingspakke,takeoff package
Arbejdsopgave,task
team,team
Teamområde,Team Space
Teams,Teams
skabelon,template
Tidslinje,Timeline
TimeLiner,TimeLiner
titel,title
værktøj,tool
Vehicle Tracking,Vehicle Tracking
viewer,viewer
Igangværende model,WIP model
XDRef,XDRef
