source,target
3D-verkkoprimitiivi,3D mesh primitive
3D-objektin siirtokoje,3D Move gizmo
3D-objektin kiertokoje,3D Rotate gizmo
3D-objektin skaalauskoje,3D Scale gizmo
ALKIS,ALKIS
analyyttinen pinta,analytical surface
ATIL,ATIL
BCA,BCA
Bridge Design for InfraWorks 360,Bridge Design for InfraWorks 360
BVC,BVC
BVCE,BVCE
BVCS,BVCS
CWFU,CWFU
DECDEG,DECDEG
DEM,DEM
DMS,DMS
Drainage Design for Infraworks 360,Drainage Design for Infraworks 360
DTM,DTM
EDM,EDM
korkeustaso,elevation
EVC,EVC
EVCE,EVCE
pyöristys,fillet
FU,FU
koje,gizmo
HDS,HDS
HGL,HGL
HP,HP
tasaisuuden taso,level of smoothness
LF,LF
LP,LP
Piranesi EPix,Piranesi EPix
Roadway Design for InfraWorks 360,Roadway Design for InfraWorks 360
Roamer,Roamer
SketchUp,SketchUp
Structural Analysis for Revit,Structural Analysis for Revit
rakenteiden mallinnus,structural modeling
TimeLiner,TimeLiner
Vehicle Tracking,Vehicle Tracking
XDRef,XDRef
