source,target
3D मिनी-मैप,3D Mini-map
3D मूव गिज़्मो,3D Move gizmo
3D मेश प्राचीन,3D mesh primitive
3D रोटेट गिज़्मो,3D Rotate gizmo
3D स्केल गिज़्मो,3D Scale gizmo
Airtable,Airtable
ALKIS,ALKIS
ArchiCAD मॉडल,ArchiCAD model
ASBD,ASBD
ASHRAE फ़िटिंग,ASHRAE fitting
ATIL,ATIL
AutoCAD मॉडल,AutoCAD model
Autodesk इमेज लाइब्रेरी,Autodesk Image Library
BCA,BCA
BCF,BCF
BIM ऑब्जेक्ट,BIM object
BVC,BVC
BVCE,BVCE
BVCS,BVCS
CADmep,CADmep
CDE,CDE
COR,COR
CS,CS
CWFU,CWFU
DECDEG,DECDEG
DEM,DEM
DLL,DLL
DMS,DMS
DTM,DTM
EDM,EDM
EGL,EGL
EVC,EVC
EVCE,EVCE
FU,FU
HDS,HDS
HGL,HGL
HP,HP
HS अंत प्लेट,HS end plate
HVAC ज़ोन,HVAC zone
IMX,IMX
InfraWorks मॉडल,InfraWorks model
ISD,ISD
LandXML,LandXML
LAS,LAS
LF,LF
LP,LP
MACP,MACP
Max मॉडल,Max model
NRV,NRV
P&ID Modeler,P&ID Modeler
PCO,PCO
Photo on ReCap 360,Photo on ReCap 360
PI बिंदु,PI point
PID,PID
Piranesi EPix,Piranesi EPix
PlanGrid,PlanGrid
PRC,PRC
RCP,RCP
RFI कस्टम फ़ील्ड,RFI custom field
Roamer,Roamer
SCS,SCS
SCSCS,SCSCS
SCSSCS,SCSSCS
SketchUp,SketchUp
SPI,SPI
Structural Analysis for Revit,Structural Analysis for Revit
TimeLiner,TimeLiner
UCS,UCS
VAV,VAV
Vehicle Tracking,Vehicle Tracking
WFU,WFU
WIP मॉडल,WIP model
XDRef,XDRef
अंतिम कनेक्टर,end connector
अकाउंट व्यवस्थापक,account administrator
अटैचमेंट,attachment
अतिउत्थान गुण,superelevation properties
अतिउत्थान दर,superelevation rate
अतिउत्थान प्राप्ति विधि,superelevation attainment method
अधिभोग,occupancy
अनावश्यक कमरा,redundant room
अनुदैर्ध्य अंतर,longitudinal spacing
अनुप्रस्थ बार,transversal bar
अनुमोदक,approver
अनुशासन,discipline
अपस्ट्रीम बजट परिवर्तन क्रम,upstream budget change order
अर्थवर्क,earthworks
अविभाजित तलीय,undivided planar
अविभाजित सड़कों की स्थितियां,undivided crowned
अव्यक्त गर्मी,latent heat
असेट लाइब्रेरी,asset library
आइटम सारांश,item summary
आइस जायंट,ice giants
आकस्मिकता,contingency
आधार परत,base layer
आधार मैप,basemap
आपूर्ति वायु प्रणाली,supply air system
आपूर्तिकर्ता परिवर्तन आदेश,supplier change order
आरंभकर्ता,initiator
आर्क-कॉर्ड दूरी,arc-chord distance
आविष्कारक सर्वर,Inventor Server
इंटरफ़ेस कतरनी,interface shear
इलेक्ट्रिकल उपकरण,electrical equipment
इलेक्ट्रॉनिक दूरी मीटर (EDM),electronic distance meter
ईंट की पतली परत,brick veneer
उत्तल,convex
उदारता,ampacity
उद्योग मॉडल,industry model
उधार लेने वाला,borrower
उन्नयन ऐक्सिस,elevation axis
उपयोगकर्ता रिसर्च,user research
उपयोगकर्ता रूपरेखा,user contour
उभार,bulge
ऊंचाई,elevation
ऊपरी मिट्टी को अलग करना,stripping top soil
ऊर्ध्वाधर समायोजन,vertical adjustment
एक तरफ़ा स्लैब,one way slab
एक ही परिवार के,base family
एकाधिक सदस्य,multiple members
एक्सटर्नल डेटा रिफ़रेंस (XDRefs),external data reference
एनालेम्मा,analemma
एब्यूटमेंट,abutment
एम्बेडेड वॉल,embedded wall
एयर हेंडलर,air handler
ऐक्टिविटी गैंट व्यू,Activity Gantt View
ऑफ़सेट संरेखण,offset alignment
ओनर द्वारा परिवर्तन,owner changes
औद्योगिक शिखर प्रवाह कारक,Industrial Peak Flow Factor
औसत अंत क्षेत्र,average end area
औसत दैनिक सीमा,mean daily range
कंपोज़िशन छत,composition roof
कट-आउट गति हवा,cut-out speed wind
कट-इन गति हवा,cut-in speed wind
कटी हुई घास की चौड़ाई,swath width
कतरनी वॉल,shear wall
कदम बढ़ाना,step footing
कनेक्टर,connector
कमरे का शेड्यूल,room schedule
कस्टम गर्डर,custom girder
काउंट टेकऑफ़,count takeoff
कार्टून सेट,cartoon set
काल्पनिक लोड,notional load
कीनोट,keynote
कीनोट टैग,keynote tag
कीनोट तालिका,keynote table
कीनोट पाठ,keynote text
केंद्र चिह्न,center mark
केंद्र रेखा,center line
केचमेंट,catchment
केचमेंट क्षेत्र,catchment area
केचमेंट लोकेशन,catchment location
केबल ट्रे,cable tray
केसमेंट,casement
कैंट,cant
कैंट ग्रेडियेंट,cant gradient
कैंट व्यू,cant view
कैच बेसिन,catch basin
कैप,cap
कैमरा-केंद्रित,camera-centric
कैविटी वॉल,cavity wall
कॉन्टेंट जागरूकता,content awareness
कॉन्टेंट पैक,content pack
कॉन्टेंट लाइब्रेरी,content library
कॉलआउट टैग,callout tag
कॉलआउट मार्कअप,callout markup
कोड संयोजन,code combination
कोणीय गति,angular speed
कोप,cope
कोरिडोर सेक्शन,corridor section
क्यूबिक पैराबोला,cubic parabola
क्राउन,crown
क्राउन वाली सड़क,crowned roadway
क्रॉसओवर लाइब्रेरी,crossover library
क्रॉसिंग पाइप,crossing pipe
क्लाउड मॉडल,cloud model
क्लिप वॉल्यूम,clip volume
क्लेस्टोरी,clerestory
क्वॉलिटी रिस्क ट्रेंड,quality risk trend
क्षेत्र रेखा,region line
क्षैतिज समायोजन विधि,horizontal adjustment method
खड़ी दीवार,stacked wall
