source,target
2 カット垂直,two-cut square
2 カット鉛直,two-cut plumb
3 次曲線,cubic parabola
3D ミニマップ,3D Mini-map
3D メッシュ プリミティブ,3D mesh primitive
3D 回転ギズモ,3D Rotate gizmo
3D 尺度変更ギズモ,3D Scale gizmo
3D 移動ギズモ,3D Move gizmo
ACC,ACC
Airtable,Airtable
ALKIS,ALKIS
APL,APL
ArcGIS,ArcGIS
ArcGIS データセット,ArcGIS dataset
ArchiCAD モデル,ArchiCAD model
ASBD,ASBD
ASHRAE 継手,ASHRAE fitting
ATIL,ATIL
AUM チーム,AUM team
AutoCAD モデル,AutoCAD model
Autodesk Collaboration,Autodesk Collaboration
Autodesk Image Library,Autodesk Image Library
Batch Print,Batch Print
BCA,BCA
BCF,BCF
BIM ツール,BIM tool
Bridge Design for InfraWorks 360,Bridge Design for InfraWorks 360
BVC,BVC
BVCE,BVCE
BVCS,BVCS
CAD マネージャ,CAD manager
Changes ツール,Changes tool
Changes 解析,change analysis
Cipolletti,Cipolletti
Clash Detective,Clash Detective
COGO ポイント,Cogo Points
CWFU,CWFU
DECDEG,DECDEG
DEM,DEM
Desktop Connector,Desktop Connector
dll,DLL
DMS,DMS
Document Management,Document Management
Drainage Design for Infraworks 360,Drainage Design for Infraworks 360
DTM,DTM
EDM,EDM
EVC,EVC
EVCE,EVCE
FGDB,FGDB
FU,FU
HDS,HDS
HGL,HGL
HP,HP
HS エンド プレート,HS end plate
HVAC ゾーン,HVAC zone
Ia,Ia
InfraWorks モデル,InfraWorks model
Inventor サーバ,Inventor Server
LAS,LAS
LF,LF
LP,LP
Max モデル,Max model
MSQ,MSQ
NNI,NNI
OCR,OCR
P&ID Modeler,P&ID Modeler
Piranesi EPix,Piranesi EPix
PYPE,Pype
RCP,RCP
Revit でクラウド ワークシェアリング,Revit Cloud Worksharing
Roadway Design for InfraWorks 360,Roadway Design for InfraWorks 360
Roamer,Roamer
Scripter,Scripter
Space Naming Utility,Space Naming Utility
Structural Analysis for Revit,Structural Analysis for Revit
Structural Bridge Design,Structural Bridge Design
TimeLiner,TimeLiner
TSDB バージョン時間,TSDB version time
UCS,UCS
VAV,VAV
Vehicle Tracking,Vehicle Tracking
WFU,WFU
Worksharing Monitor,Worksharing Monitor
XDRef,XDRef
アイ ライト,eye
アイス ジャイアント,ice giants
アカウント管理者,account administrator
アスファルト防水屋根,built-up roof
アセット ライブラリ,asset library
アナレンマ,analemma
インスタンス,instance
インタフェースせん断,interface shear
インテグレーテッド プロジェクト デリバリー,integrated project delivery
インベントリ,inventory
ウェブ スティフナ,web stiffener
ウェブの厚さ,web thickness
ウォークスルー,walkthrough
エア ハンドラ,air handler
エネルギー勾配線,EGL
オブジェクト,object
オフセット距離,Offset Distance
オリフィス,orifice
カーテン ウォール グリッド,curtain wall grid
カーテン ウォール フレーム,curtain wall frame
カーテン ウォール ユニット,curtain wall unit
カーテン グリッド,curtain grid
カーテン システム,curtain system
カーテン パネル,curtain panel
カーテン マリオン,curtain wall mullion
カーテンウォール,curtain wall
ガードレール,guardrail
カスタム桁,custom girder
カットアウト風速,cut-out speed wind
カットイン風速,cut-in speed wind
カメラ中心,camera-centric
カント,cant
ガント,Gantt
カントリー キット,country kit
カント勾配,cant gradient
キーノート,keynote
キーノート タグ,keynote tag
キーノート テーブル,keynote table
キーノート テキスト,keynote text
ギズモ,gizmo
グラード,grad
クラウド モデル,cloud model
クラッシュ グループ,clash
クリアランス,clearance
クリアランス クラッシュ,clearance clash
グリッド余白,grid padding
グループ呼び長さ,group nominal length
ケーブル ラック,cable tray
コード セット スタイル,code set style
コード組み合わせ,code combination
コーベル,corbel
コストの影響,impact cost
コリドー サーフェス,corridor surface
コリドー全体処理,corridor shrinkwrap
コリドー横断,corridor section
コリドー横断エディタ,corridor section editor
コンセプト エネルギー解析,Conceptual Energy Analysis
コンセプト マス,conceptual mass
コンテンツ パック,content pack
コンテンツ ライブラリ,content library
コンテンツ認識,Content Awareness
コントロールされた共有,controlled sharing
サービス,offering
サーフェス縦断,surface profile
