source,target
3D 메쉬 기본체,3D mesh primitive
3D 이동 장치,3D Move gizmo
3D 회전 장치,3D Rotate gizmo
3D 축척 장치,3D Scale gizmo
공조기,air handler
정렬 단면도,aligned section view
선형 지오메트리 점,alignment geometry point
선형 간격띄우기,alignment offset
ALKIS,ALKIS
전류용량,ampacity
아날렘마,analemma
해석 가새,analytical brace
해석 바닥,analytical floor
해석 표면,analytical surface
편각,angle of deflection
각속도,angular speed
주석,annotation
APL,APL
피상 전력,apparent power
모양 스타일,appearance style
호-현 거리,arc-chord distance
ArcGIS,ArcGIS
ArchiCAD 모형,ArchiCAD model
건축 바닥,architectural floor
가상 지평선,artificial horizon
ASHRAE 피팅,ASHRAE fitting
자산 라이브러리,asset library
자산,Assets
ATIL,ATIL
AutoCAD Civil 3D,AutoCAD Civil 3D
AutoCAD 모형,AutoCAD model
AutoCAD Revit Architecture Suite,AutoCAD Revit Architecture Suite
AutoCAD Revit LT Suite,AutoCAD Revit LT Suite
Autodesk Docs,Autodesk Docs
Autodesk Drive,Autodesk Drive
오토데스크 이미지 라이브러리,Autodesk Image Library
평균 끝 면적,average end area
방위각,azimuth
후시,backsight
기본 패밀리,base family
기준 지표면,base surface
배치 변환기,batch converter
Batch Print,Batch Print
배치 유틸리티,Batch Utility
BCA,BCA
내력벽,bearing wall
구부림 지름,bend diameter
노견,berm
Bloss,bloss
대여자,borrower
경계점,boundary point
경계 상자,bounding box
분기 회로,branch circuit
횡단경사변경부 제거,breakover removal
벽돌 베니아,brick veneer
브리지,Bridge
Bridge Design for InfraWorks 360,Bridge Design for InfraWorks 360
예산지급 청구서,Budget Payment Application
건물 공통 영역,building common area
건물 외곽설정,building footprint
건물 레벨,building level
내장 지붕,built-up roof
벌지,bulge
버트,butt
BVC,BVC
BVCE,BVCE
BVCS,BVCS
케이블 트레이,cable tray
CADmep,CADmep
콜아웃 마크업,callout markup
콜아웃 태그,callout tag
카메라 중심,camera-centric
캔트,cant
마감,cap
카툰 세트,cartoon set
여닫이창,casement
현장타설,cast-in-place
유역,catchment
캐비티 벽,cavity wall
천장 평면도,ceiling plan
중심선,center line
중심 표식,center mark
세라믹 타일,ceramic tile
모따기,chamfer
계약 변경,Change Order
현 거리,chord distance
간섭 그룹,clash
Clash Detective,Clash Detective
이격거리,clearance
유효 간섭 범위,clearance clash
채광창,clerestory
객체 자르기,clip volume
코드 세트 스타일,code set style
냉수기구배수부하,cold water fixture unit
나침반 각도,compass angle
복합 객체,composite object
복합재 지붕,composition roof
개념 에너지 해석,Conceptual Energy Analysis
컨셉 매스,conceptual mass
응축수 배수,condensate drain
배선,conduit
배선 커넥터,conduit connector
구속조건 요소,constraint element
시공 가능성 모델링,constructability modeling
컨텐츠 라이브러리,content library
컨텐츠 팩,content pack
등고선 레이블,contour label
대류 하중,convection load
볼록,convex
좌표 추적기,Coordinate Tracker
코핑,cope
코벨,corbel
서신,Correspondence
코리더 횡단 편집기,corridor section editor
코리더 형상단순화,corridor shrinkwrap
코리더 표면,corridor surface
비용 지급 청구서,Cost Payment Application
국가별 키트,country kit
교차 파이프,crossing pipe
숙임,crouch
3차 포물선,cubic parabola
현재 디렉토리,current directory
커튼 그리드,curtain grid
커튼 패널,curtain panel
커튼 시스템,curtain system
커튼월,curtain wall
커튼월 프레임,curtain wall frame
커튼월 그리드,curtain wall grid
커튼월 멀리언,curtain wall mullion
커튼월 단위,curtain wall unit
원곡선 다듬기 거리,curve tessellation distance
곡선 보,curved beam
기동 바람,cut-in speed wind
정지 바람,cut-out speed wind
CWFU,CWFU
단면정보 테이블,data band
일광 포탈,daylight portal
일광 유리,daylighting glass
고정 하중,dead load
DECDEG,DECDEG
도 분 초,degrees minutes seconds
DEM,DEM
수요율,demand factor
디지털 지형 모형,digital terrain model
DimConstraint,DimConstraint
공종,Discipline
dll,DLL
DMS,DMS
Drainage Design for Infraworks 360,Drainage Design for Infraworks 360
도면 그룹,drawing group
삭제 양,drop amount
단차 참조 위치,drop reference location
단차 값,drop value
누락,drop-out
건구,dry bulb
건식벽,drywall
DTM,DTM
덕트 커넥터,duct connector
덕트 댐퍼,duct damper
덕트 라이닝,duct lining
덕트 시스템,duct system
중복 간섭,duplicate clash
동향,easting
점 편집,edit point
EDM,EDM
전기 장비,electrical equipment
전자 거리 미터,electronic distance meter
고도,elevation
고도 축,elevation axis
내포된 벽,embedded wall
끝단 커넥터,end connector
Engineer-to-Order,Engineer-to-Order
평형 캔트,equilibrium cant
EVC,EVC
EVCE,EVCE
배기,exhaust air
외부 거리,external distance
외부 시컨트,external secant
눈,eye
면분할 계수,faceting factor
야장,field book
시야,field of view
현장 보고서,field report
채우기 패턴,fill pattern
모깎기,fillet
피팅,fitting
고정 선,fixed line
고정 창,fixed window
설비 단위,fixture unit
플랜지 점,flange point
부동 원곡선,float curve
평면도,floor plan
초점,focal point
양식 요소,form element
FormIt,FormIt
양식,Forms
프레임,frame
프레임속도,frame rate
FU,FU
퍼지,fuzz
장치,gizmo
그래드,grad
정지 평면,grading plan
중력식 관망,gravity network
중력식 파이프,gravity pipe
그리드 패딩,grid padding
접지 컨덕터,ground conductor
난간,guardrail
행거,hanger
겹친 간섭,hard clash
HDS,HDS
열 취득,heat gain
열섬,heat island
난방 및 냉방 부하,heating and cooling loads
난방 설계 온도,heating design temperature
HGL,HGL
위쪽 위치,highside location
수평 조정 방법,horizontal adjustment method
핫 컨덕터,hot conductor
핫스폿,hotspot
HP,HP
HS 엔드 플레이트,HS end plate
HVAC 구역,HVAC zone
동수경사선,hydraulic grade line
순환수,hydronic
임시 교차점,implied point of intersection
InfraWorks 360,InfraWorks 360
