source,target
prymityw siatki 3D,3D mesh primitive
metauchwyt Przesunięcie 3D,3D Move gizmo
metauchwyt Obrót 3D,3D Rotate gizmo
metauchwyt Skala 3D,3D Scale gizmo
urządzenie wentylacyjne,air handler
przekrój dopasowany,aligned section view
punkt geometrii linii trasowania,alignment geometry point
odsunięcie linii trasowania,alignment offset
ALKIS,ALKIS
obciążalność prądowa,ampacity
analema,analemma
stężenie analityczne,analytical brace
model analityczny stropu,analytical floor
powierzchnia modelu analitycznego,analytical surface
kąt ugięcia,angle of deflection
prędkość kątowa,angular speed
opis,annotation
zbrojenie przeciwskurczowe,anti-shrinkage reinforcement
Moc pozorna,apparent power
styl wyglądu,appearance style
droga dojazdowa,approach road
szerokość pierścienia,apron
strzałka łuku,arc-chord distance
ArcGIS,ArcGIS
strop architektoniczny,architectural floor
złączka ASHRAE,ASHRAE fitting
biblioteka zasobów,asset library
przekrój normalny jezdni asymetrycznej,asymmetrical roadway template
ATIL,ATIL
Biblioteka obrazów Autodesk,Autodesk Image Library
średnia powierzchni końcowych,average end area
odsunięcie osi,axis offset
azymut,azimuth
pomiar wstecz,backsight
rodzina bazowa,base family
warstwa podstawowa,base layer
konwerter wsadowy,batch converter
Batch Print,Batch Print
BCA,BCA
ściana nośna,bearing wall
tarasowanie,benching
Średnica gięcia,bend diameter
krzywa Blossa,bloss
odsunięcie ramki i linii odniesienia,border and leader gap
wypożyczający,borrower
punkt obwiedni,boundary point
objętości ograniczone,bounded volume
ramka ograniczająca,bounding box
kształt ograniczający,bounding shape
obwód rozgałęziony,branch circuit
usuwanie różnicy nachylenia,breakover removal
oblicowanie cegłą,brick veneer
Przekazy danych,Bridge
Bridge Design for InfraWorks 360,Bridge Design for InfraWorks 360
powierzchnia wspólna budynku,building common area
obrys budynku,building footprint
Poziom budynku,building level
pokrycie dachu wielowarstwowe,built-up roof
wybrzuszenie,bulge
łączyć doczołowo,butt
BVC,BVC
BVCE,BVCE
BVCS,BVCS
pas objazdu,bypass lane
drabinka kablowa,cable tray
CADmep,CADmep
adnotacja z objaśnieniem,callout markup
oznaczenie znacznika opisowego,callout tag
przechyłka kolejowa,cant
przyrost  przechyłki kolejowej,cant gradient
zaślepka,cap
zestaw rysunków,cartoon set
skrzydło okienne,casement
wylewany na miejscu,cast-in-place
wpust uliczny,catch basin
zlewnia,catchment
położenie zlewni,catchment location
ściana szczelinowa,cavity wall
rzut odwrócony,ceiling plan
znacznik środka,center mark
płytka ceramiczna,ceramic tile
kanały,channel
długość cięciwy,chord distance
LŚ,CL
odstęp,clearance
clerestorium,clerestory
objętość przycięcia,clip volume
kombinacje normowe,code combination
styl zestawu kodów,code set style
jednostka armatury do zimnej wody,cold water fixture unit
wlot złożony,combination inlet
objętości złożone,composite volumes
dach z pokryciem bitumicznym,composition roof
krzywa złożona,compound curve
narzędzie koncepcyjnej analizy energetycznej,Conceptual Energy Analysis
masa koncepcyjna,conceptual mass
dren kondensacyjny,condensate drain
rura kablowa,conduit
złącze przewodu,conduit connector
osprzęt do rurkowania,conduit fitting
złącze,connector
element ograniczający,constraint element
modelowanie wykonalności,constructability modeling
