source,target
сетевой 3D-примитив,3D mesh primitive
гизмо 3D-переноса,3D Move gizmo
гизмо 3D-поворота,3D Rotate gizmo
гизмо 3D-масштабирования,3D Scale gizmo
устой,abutment
установка для кондиционирования воздуха,air handler
сечение с выравниванием,aligned section view
точка геометрии трассы,alignment geometry point
смещение трассы,alignment offset
ALKIS,ALKIS
допустимая токовая нагрузка,ampacity
аналемма,analemma
аналитическая модель раскоса,analytical brace
аналитическая модель перекрытия,analytical floor
аналитическая поверхность,analytical surface
угол отклонения,angle of deflection
угловая скорость,angular speed
аннотация,annotation
полная установленная мощность,apparent power
стиль представления,appearance style
примыкающая дорога,approach road
переходная полоса,apron
расстояние от хорды до дуги,arc-chord distance
модель ArchiCAD,ArchiCAD model
архитектурный вид,architectural floor
ASBD,ASBD
фитинг по нормам ASHRAE,ASHRAE fitting
асимметричный шаблон дорожного полотна,asymmetrical roadway template
ATIL,ATIL
модель AutoCAD,AutoCAD model
Библиотека изображений Autodesk,Autodesk Image Library
усредненная площадь,average end area
азимут,azimuth
обратное визирование,backsight
базовое семейство,base family
базовый слой,base layer
пакетное преобразование,batch converter
BCA,BCA
несущая стена,bearing wall
берма,benching
диаметр изгиба,bend diameter
кривая Блосса,bloss
промежуток рамки и линии выноски,border and leader gap
заемщик,borrower
точка контура,boundary point
ограниченный объем,bounded volume
ограничивающая рамка,bounding box
форма контура,bounding shape
коробчатая балка,box girder
участок цепи,branch circuit
удаление перелома,breakover removal
кирпичная облицовка,brick veneer
зона общего пользования в здании,building common area
проекция здания,building footprint
информационное моделирование объектов строительства,Building Information Modeling
этаж здания,building level
многослойная кровля,built-up roof
прогиб,bulge
стыковое соединение,butt
BVC,BVC
BVCE,BVCE
BVCS,BVCS
полоса объезда,bypass lane
кабельный лоток,cable tray
марка выносного элемента,callout tag
заглушка,cap
набор эскизов,cartoon set
распашной переплет,casement
монолитный,cast-in-place
местоположение водосбора,catchment location
пустотная стена,cavity wall
план потолка,ceiling plan
маркер центра,center mark
керамическая плитка,ceramic tile
канал,channel
нормативная прочность,characteristic strength
длина хорды,chord distance
верхний ряд окон,clerestory
усечение объема,clip volume
облачная модель,cloud model
сочетание норм,code combination
стиль набора кодов,code set style
расход прибора для холодной воды,cold water fixture unit
комбинированный слив,combination inlet
композитные объемы,composite volumes
кровля комбинированной конструкции,composition roof
составная кривая,compound curve
концептуальный расчет энергопотребления,Conceptual Energy Analysis
формообразующий элемент,conceptual mass
конденсатопровод,condensate drain
короб,conduit
соединитель короба,conduit connector
фитинг короба,conduit fitting
обозначение соединения,connection symbol
соединитель,connector
зависимый элемент,constraint element
моделирование технологичности строительства,constructability modeling
конструктивный треугольник,construction triangle
пакет компонентов,content pack
метка горизонтали,contour label
управляющая область,control region
конвективная нагрузка,convection load
выпуклый,convex
карниз,corbel
редактор сечений коридора,corridor section editor
контрфорсный,counterfort
пакет адаптации,country kit
пересекающая труба,crossing pipe
гребень,crown
двускатная дорога,crowned roadway
тупик,cul-de-sac
бордюр,curb
входное отверстие в бордюре,curb opening inlet
сопряжение на пересечении,curb return
рабочий каталог,current directory
схема разрезки стен,curtain grid
панель витража,curtain panel
витражная система,curtain system
витраж,curtain wall
каркас витража,curtain wall frame
сетка витража,curtain wall grid
импост витража,curtain wall mullion
блок витража,curtain wall unit
протяженность мозаичной структуры для кривой,curve tessellation distance
криволинейная балка,curved beam
пользовательская балка,custom girder
скорость ветра с наветренной стороны,cut-in speed wind
скорость ветра с подветренной стороны,cut-out speed wind
CWFU,CWFU
область данных,data band
световой фонарь,daylight portal
стекло естественного освещения,daylighting glass
постоянная нагрузка,dead load
DECDEG,DECDEG
настил,deck
градусы минуты секунды,degrees minutes seconds
DEM,DEM
коэффициент нагрузки,demand factor
низшая точка впадины,depression low point
отчет по проекту,design report
метод поиска проектной скорости,design speed lookup method
поверхность по разности,differential surface
цифровая модель рельефа,digital elevation model
размерная зависимость,DimConstraint
тип направления,direction type
dll,DLL
DMS,DMS
дренажная сеть,drainage network
группа чертежей,drawing group
величина стока,drop amount
база отсчета перепада,drop reference location
значение стока,drop value
по сухому термометру,dry bulb
гипсокартон,drywall
DTM,DTM
соединитель воздуховода,duct connector
клапан воздуховода,duct damper
соединительная деталь воздуховода,duct fitting
внутренняя изоляция воздуховода,duct lining
система воздуховодов,duct system
восточное положение,easting
редактирование точки,edit point
EDM,EDM
эластомерный,elastomeric
электрооборудование,electrical equipment
электронный измеритель расстояния,electronic distance meter
отметка,elevation
ось отметки,elevation axis
вложенная стена,embedded wall
конечный соединитель,end connector
длина въезда,entry length
изменение пикетажа,equation
EVC,EVC
EVCE,EVCE
отработанный воздух,exhaust air
полоса съезда,exit lane
Ссылка на внешние данные,External Data Reference
внешнее расстояние,external distance
внешняя секущая,external secant
полевой журнал,field book
предохранительная накладка,field splice
образец заливки,fill pattern
сопряжение,fillet
радиус сопряжения,fillet radius
проектный профиль,finished grade profile
расчет моста методом конечных элементов,finite-element bridge analysis
фиксированная линия,fixed line
глухое окно,fixed window
расход прибора,fixture unit
точка кромки,flange point
плоская грань,flat face
плавающая кривая,float curve
плавающая линия,floating line
план этажа,floor plan
линия потока,flow line
элемент формы,form element
фундамент,foundation
кадр,frame
частота кадров,frame rate
перемещение в пределах заданного расстояния,freehaul
коэффициент трения,friction factor
смещение от границы по дороге,front yard
внешняя граница,frontage
смещение от внешней границы,frontage offset
начальная точка внешней границы,frontage start point
FU,FU
полный вираж,full super
допуск,fuzz
точка геометрии,geometry point
балка,girder
форма балки,girder shape
гизмо,gizmo
сегментный отвод,gore
план профилирования,grading plan
цель профилирования,grading target
решетчатый слив,grate inlet
самотечная сеть,gravity network
самотечная труба,gravity pipe
расстояние по сетке,grid distance
восточное положение в координатах сетки,grid easting
северное положение в координатах сетки,grid northing
заполнение сеткой,grid padding
сетчатая поверхность,grid surface
сетчатая поверхность для вычисления объема,grid volume surface
заземляющий проводник,ground conductor
грунтовые воды,ground water
перила,guardrail
HDS,HDS
напор,head
потеря напора,headloss
оголовок водовыпуска,headwall
теплоприток,heat gain
тепловой купол,heat island
отопительные и холодильные нагрузки,heating and cooling loads
проектная температура отопления,heating design temperature
