source,target
enkelt 3D-nät,3D mesh primitive
verktyg för 3D-förflyttning,3D Move gizmo
verktyg för 3D-rotation,3D Rotate gizmo
verktyg för 3D-skalning,3D Scale gizmo
ACC,ACC
kontoadministratör,account administrator
"Aktivitet, Gantt-vy",Activity Gantt View
administratör,administrator
sammansatt vy,aggregate View
ALKIS,ALKIS
analytisk yta,analytical surface
godkännare,approver
ATIL,ATIL
bilaga,attachment
AutoCAD Civil 3D,AutoCAD Civil 3D
AutoCAD Revit LT Suite,AutoCAD Revit LT Suite
Autodesk Insight,Autodesk Insight
Autodesk Takeoff,Autodesk Takeoff
BCA,BCA
anbudspaket,bid package
faktureringsperiod,billing period
BIM-verktyg,BIM tool
Bridge,Bridge
Bridge Design for InfraWorks 360,Bridge Design for InfraWorks 360
budgetbetalningsansökan,budget payment application
företagsenheter,business units
BVC,BVC
BVCE,BVCE
BVCS,BVCS
CDE,CDE
företag,company
kontakt,contact
Innehållsmedvetenhet,Content Awareness
kontrollerad delning,controlled sharing
samordningsutrymme,coordination space
kostnadspåverkan,cost impact
kostnadsbetalningsansökan,cost payment application
CWFU,CWFU
datacenter,data center
DECDEG,DECDEG
DEM,DEM
DMS,DMS
dokument,document
dokumentlogg,document log
Dokumenthantering,Document Management
Drainage Design for Infraworks 360,Drainage Design for Infraworks 360
DTM,DTM
EDM,EDM
höjd,elevation
ellipssegment,ellipse segment
EVC,EVC
EVCE,EVCE
chef,executive
funktion,feature
fil,file
fillogg,files log
FormIt,FormIt
FU,FU
huvudentreprenörsföretag,general contractor company
HDS,HDS
värmeöar,heat island
HGL,HGL
HP,HP
Hypermodell,hypermodel
hypermodellering,hypermodeling
Ia,Ia
InfraWorks 360,InfraWorks 360
InfraWorks 360 LT,InfraWorks 360 LT
initiator,initiator
inventarieförteckning,inventory
ärende,issue
Ärenden,Issues
arbetsplatsfoton,jobsite photos
arbetskraftsrapport,labor and workforce report
jämnhet,level of smoothness
LF,LF
plats,location
logg,log
LP,LP
markering,markup
medlem,member
minikarta,mini-map
Justera modell,model alignment
Navisworks,Navisworks
Navisworks Exporters,Navisworks Exporters
Navisworks Freedom,Navisworks Freedom
Navisworks Manage,Navisworks Manage
Navisworks Simulate,Navisworks Simulate
nästa åtgärd av,next action by
nod,node
inte ett ärende,not an issue
erbjudande,offering
organisation,organization
behörighet,permission
Photo on ReCap 360,Photo on ReCap 360
Piranesi EPix,Piranesi EPix
Placera mig,Place Me
PlanGrid,PlanGrid
primär modell,primary model
produkt,product
produktväljare,product picker
förloppsfoton,progress photos
förloppsspårning,Progress Tracking
projekt,project
projektadministratör,project administrator
projektlista,Project List
Pype,Pype
Kvalitetsrisk,Quality Risk Trend
ReCap,ReCap
ReCap 360,ReCap 360
ReCap 360 Ultimate,ReCap 360 Ultimate
referens,reference
rapport,report
granskare,reviewer
Granskningar,Reviews
Revit,Revit
Revit Collaboration Suite,Revit Collaboration Suite
Revit LT,Revit LT
RFI,RFI
synlighet för RFI,RFI visibility
RFIs,RFIs
Risknivå,Risk Level
Roadway Design for InfraWorks 360,Roadway Design for InfraWorks 360
Roamer,Roamer
roll,role
grundorsak,root cause
sektionsplan,section plane
uppsättning,set
inställningar,settings
SketchUp,SketchUp
specifikation,spec section
Beskrivning,specification
stämpel,stamp
strängfält,string field
Structural Analysis for Revit,Structural Analysis for Revit
konstruktionsmodellering,structural modeling
underplats,sub-location
Inlämning,submittal
Inlämningar,Submittals
uppgift,task
team,team
Teamutrymme,Team Space
mall,template
Tidslinje,Timeline
TimeLiner,TimeLiner
Tinkerplay,Tinkerplay
rubrik,title
verktyg,tool
Överföringar,Transmittals
avarkivera,unarchive
användarforskning,user research
Vehicle Tracking,Vehicle Tracking
visningsfönstret,viewer
XDRef,XDRef
