source,target
3D,3D
3ds Max,3ds Max
3ds Max Design,3ds Max Design
à des fins lucratives,for-profit purposes
A propos d'Autodesk,About Us
A360,A360
A360 Rendering,A360 Rendering
A360 Team,A360 Team
ABCP,ABCP
abonné,subscriber
abonnement,subscription
abonnement d'un an,1-year subscription
Abonnez-vous dès maintenant,Subscribe Now
Accéder aux dernières versions,Get Current
accélération,acceleration
accélération matérielle,hardware acceleration
Accès aux données Fusion,Fusion Data Access
accès aux produits intégrés à l'abonnement,in-product subscription access
accès multi-utilisateur,multi-user access
accès privilégié,greater access
accès utilisateur unique,single-user access
accord de licence,license agreement
accord de licence de logiciel,Software License Agreement
Accord de licence de logiciel Autodesk,Autodesk Software License Agreement
Accord de licence de l'utilisateur final de l'App Store,app store end user license agreement
accord de recherche sur les clients,customer research agreement
accord sur les versions d'évaluation des produits,Pre-Release Products Agreement
Accounting Standards Codification,Accounting Standards Codification
accrochage aux objets,object snap
accrocher,snap
ACE,ACE
Acheter,Buy
Acheter dès maintenant,Buy Now
Acheter en ligne,Buy Online
ACI,ACI
acquisition de données,data acquisition
actif corporel,tangible asset
actif incorporel,intangible asset
Activation et enregistrement,Activate & Register
Active Directory,Active Directory
Activity Monitor,Activity Monitor
Actualités du secteur,Industry News
adaptateur Ethernet,Ethernet adapter
adaptateur vidéo,video adapter
ADI,ADI
AdLM,AdLM
administrateur d'équipe,Team Administrator
administrateur du contrat,Contract Administrator
Administration des contrats,Contract Administration
admissible,qualifying
ADN,ADN
ADP,ADP
adresse de livraison,shipping address
ADSK,ADSK
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
AEC,AEC
AEC Collection,AEC Collection
AECO,AECO
aéronautique,aerospace
Afficher des demandes d'assistance,View Support Cases
agence d'architecture,design firm
agence gouvernementale,governmental agency
agent de l'assistance,support agent
agent de l'assistance Autodesk,Autodesk support agent
agent senior de l'assistance Autodesk,senior Autodesk support agent
agent virtuel,virtual agent
Agissez maintenant,Act Now
AIA,AIA
Aide pour la connexion au compte Autodesk,Autodesk Sign In Help
Aide sur l'installation et la gestion des licences,Installation and Licensing Help
Airtable,Airtable
Ajouter un nouveau moyen de paiement,Add new payment method
ajustement des données,data fitting
alerte,alert
Alias,Alias
Alias AutoStudio,Alias AutoStudio
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias SpeedForm,Alias SpeedForm
Alias Surface,Alias Surface
allocation de crédits cloud,cloud credits allocation
amélioration du produit,product enhancement
améliorations successives des produits,incremental product enhancement
aménagement,hardscape
American Institute of Architects,American Institute of Architects
AMP,AMP
analyse ad hoc,ad hoc analysis
analyse de l'ossature,Frame Analysis
analyse d'énergie,Energy Analysis
analyse des émissions de carbone,carbon emission analysis
Analyse des événements Autodesk,Autodesk Event Analysis
analyse des modes de défaillance et de leurs effets,failure mode and effects analysis
analyse modale,modal analysis
analyse préliminaire,preliminary analysis
analyseur de licence,License Parser
ancrage,anchor
angle,angle
animation de caméra,camera animation
Annonces,Announcements
annuler,undo
anti-boycott,anti-boycott
anti-corruption,anti-corruption
anti-crénelage,anti-aliasing
AOTC,AOTC
API,API
App Store,App Store
App Store d'Apple,Apple App Store
appelant identifié,named caller
AppFrame,AppFrame
APPID,APPID
application de la loi,law enforcement
application Mobile AutoCAD,Autocad Mobile app
application tierce,third-party application
application verticale,vertical application
Apprentissage et formation Autodesk,Autodesk Learning and Education
approvisionnement,procurement
appuyer sur,tap
après moulage,post-molding
ArcGIS,ArcGIS
architectural decision record,architectural decision record
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
"architecture, ingénierie et construction","architecture, engineering and construction"
"Architecture, ingénierie, construction et opérations","Architecture, Engineering, Construction, and Operations"
argument clé de vente,key selling point
argumentaire de vente,value prompter
ASI,ASIs
Ask Autodesk,Ask Autodesk
ASM,ASM
assise de briques en palissade,brick soldier course
assistance avancée Autodesk Advanced Support,Autodesk Advanced Support
assistance avec prise en main à distance,remote desktop assistance
Assistance client Autodesk,Autodesk Customer Support
assistance de base Autodesk Basic Support,Autodesk Basic Support
assistance de mise en route,start-up support
Assistance du Partner Center,Partner Center Helpdesk
assistance individualisée,one-to-one support
assistance par incident Autodesk,Autodesk Per-Incident Support
assistance prioritaire Autodesk Enterprise Priority Support,Autodesk Enterprise Priority Support
assistance prioritaire Enterprise Priority Support,Enterprise Priority Support
Assistance produit,Product Support
assistance technique,tech support
assistance téléphonique,phone support
assistance Up and Ready,Up & Ready Support
Assistant Autodesk,Autodesk Assistant
Assistant d'activation du produit,Product Activation Wizard
assistant de migration,Migration Assistant
assistant d'installation,installation wizard
Association européenne de libre-échange,European Free Trade Association
associé certifié,Certified Associate
ATC,ATC
atelier Autodesk dédié aux disciplines STEAM numériques,Autodesk Digital STEAM Workshop
atelier d'exploration de l'ingénierie,Engineering Exploration Workshop
Atelier sur le développement durable,Sustainability Workshop
attachement tardif,Late Attach
AU,AU
AU Virtual,AU Virtual
AUGI,AUGI
authentification,authentication
authentification multifactorielle,multi-factor authentication
authentification unique,single sign-on
"Authentification, autorisation et comptabilité","Authentication, Authorization and Accounting"
AutoCAD,AutoCAD
AutoCAD 360,AutoCAD 360
AutoCAD authentique,genuine AutoCAD
AutoCAD Civil 3D,AutoCAD Civil 3D
AutoCAD Electrical,AutoCAD Electrical
AutoCAD for Mac,AutoCAD for Mac
AutoCAD Inventor LT Suite,AutoCAD Inventor LT Suite
AutoCAD LT,AutoCAD LT
AutoCAD LT for Mac,AutoCAD LT for Mac
AutoCAD Map 3D,AutoCAD Map 3D
AutoCAD Mechanical,AutoCAD Mechanical
AutoCAD Migration Assistance,AutoCAD Migration Assistance
AutoCAD mobile,AutoCAD Mobile
AutoCAD OEM,AutoCAD OEM
AutoCAD P&ID,AutoCAD P&ID
AutoCAD Plant 3D,AutoCAD Plant 3D
AutoCAD Raster Design,AutoCAD Raster Design
AutoCAD Revit Architecture Suite,AutoCAD Revit Architecture Suite
AutoCAD Revit LT Suite,AutoCAD Revit LT Suite
autocast,Autocast
AutoCorrect,AutoCorrect
Autodesk - Aide à l'installation,Autodesk Installation Help
Autodesk Animation Academy,Autodesk Animation Academy
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk Backburner,Autodesk Backburner
Autodesk BIM Collaborate,Autodesk BIM Collaborate
Autodesk BIM Collaborate Pro,Autodesk BIM Collaborate Pro
Autodesk Business Center,Autodesk Business Center
Autodesk CAD Manager Tools Setup Wizard,Autodesk CAD Manager Tools
Autodesk Construction Cloud,Autodesk Construction Cloud
Autodesk Construction Solutions,Autodesk Construction Solutions
Autodesk Consulting,Autodesk Consulting
Autodesk Content Explorer,Autodesk Content Explorer
Autodesk Content Service,Autodesk Content Service
