source,target
"16,8 milioni di colori",true color
3D,3D
3ds Max,3ds Max
3ds Max Design,3ds Max Design
A termine non prorogabile,Term Non-Extendable
A termine prorogabile,Term Extendable
A360,A360
A360 Rendering,A360 Rendering
A360 Team,A360 Team
Abbinamento successivo,Late Attach
abbonamento,subscription
abbonamento annuale,1-year subscription
abbonamento per singolo utente,single-user subscription
abbonamento utente singolo,SU subscription
Abbonati,Subscribe
Abbonati subito,Subscribe Now
abbonato,subscriber
ABCP,ABCP
accedere,sign in
accelerazione,acceleration
accelerazione hardware,hardware acceleration
Accesso ai dati di Fusion,Fusion Data Access
accesso all'abbonamento dai prodotti,in-product subscription access
accesso multiutente,multi-user access
accesso per utente singolo,single-user access
accesso più ampio,greater access
accordo commerciale aziendale,Enterprise Business Agreement
Accordo di Assistenza,Support Agreement
accordo di licenza,license agreement
Accordo di licenza del software,Software License Agreement
Accordo di licenza del software Autodesk,Autodesk Software License Agreement
accordo di riservatezza,non-disclosure agreement
Accordo sui livelli di servizio,Service Level Agreement
account manager del supporto,Support Account Manager
account nominativo,named account
account personale,My Account
account strategico,strategic account
Accounting Standards Codification,Accounting Standards Codification
ACE,ACE
ACI,ACI
acquisizione di dati,data acquisition
acquisizione schermo,screen capture
Active Directory,Active Directory
Activity Monitor,Activity Monitor
ADA,Autodesk Design Academy
adattamento dei dati,data fitting
addetto al Servizio clienti Autodesk,Autodesk Customer Service representative
addetto commerciale Autodesk,Autodesk sales representative
ADI,ADI
AdLM,AdLM
ADN,ADN
ADN Open,Autodesk Developer Network Open
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
AEC,AEC
AEC Information Model,AEC Information Model
AECO,AECO
aerospaziale,aerospace
affinamento della mesh,mesh refinement
agente del supporto,support agent
agente del supporto Autodesk,Autodesk support agent
agente senior del supporto Autodesk,senior Autodesk support agent
agente virtuale,virtual agent
Aggiorna il profilo,Update your profile
Aggiorna la licenza,Upgrade your license
aggiornamento automatico,auto-fulfilment
aggiornamento del prodotto,product upgrade
aggiornamento software,software upgrade
aggiornare,refresh
Aggiungi nuovo metodo di pagamento,Add new payment method
al di fuori del processo,out-of-process
Alias,Alias
Alias AutoStudio,Alias AutoStudio
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias SpeedForm,Alias SpeedForm
Alias Surface,Alias Surface
Aligned Marketing Program,Aligned Marketing Program
ambiente,environment
ambiente cloud commerciale,commercial cloud environment
ambiente di dati comuni,common data environment
ambiente ibrido,hybrid environment
American Institute of Architects,American Institute of Architects
amministratore del contratto,Contract Administrator
Amministratore del team,Team Administrator
amministrazione contratto,Contract Administration
AMP,AMP
analisi ad hoc,ad hoc analysis
analisi delle emissioni di anidride carbonica,carbon emission analysis
Analisi energetica,Energy Analysis
analisi modale,modal analysis
analisi preliminare,preliminary analysis
ancoraggio,anchor
angolo,angle
angolo pubblicazioni,publisher corner
animazione cinematica,camera animation
animazione comando,ToolClip
annullare,undo
Annullare un abbonamento,Unsubscribe
Annunci,Announcements
anti-aliasing,anti-aliasing
antiboicottaggio,anti-boycott
anticorruzione,anti-corruption
AOTC,AOTC
API,API
app registrata,regapp
App Store,App Store
App Store di Apple,Apple App Store
appaltatore,contractor
appaltatore in sede,onsite contractor
AppFrame,AppFrame
Application Engineer,Application Engineer
Application Programming Interface,Application Programming Interface
applicazione di terze parti,third-party application
applicazione verticale,vertical application
Applicazioni di esempio,Sample Applications
approvvigionamento,procurement
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
"architettura, ingegneria e costruzioni","architecture, engineering and construction"
"Architettura, ingegneria, costruzione e operazioni","Architecture, Engineering, Construction, and Operations"
archiviazione di file in un vault,file vaulting
area di dispersione dell'alta pressione,high-pressure loss area
area di raccolta,detention area
aree pavimentate e costruite,hardscape
argomento di vendita principale,key selling point
array,array
ASI,ASIs
Ask Autodesk,Ask Autodesk
ASM,ASM
assegnazione crediti cloud,cloud credits allocation
asset,asset
assieme,assembly
assistenza clienti,Customer Care
assistenza desktop remota,remote desktop assistance
assistenza tecnica di Partner Center,Partner Center Helpdesk
Associazione europea di libero scambio,European Free Trade Association
ATC,ATC
attivare/disattivare,toggle
Attivazione guidata prodotto,Product Activation Wizard
attrezzature per l'edilizia,building equipment
AU,AU
AU Virtual,AU Virtual
AUGI,AUGI
autenticazione,authentication
autenticazione a più fattori,multi-factor authentication
"Autenticazione, autorizzazione e contabilità","Authentication, Authorization and Accounting"
AutoCAD,AutoCAD
AutoCAD 360,AutoCAD 360
AutoCAD Civil 3D,AutoCAD Civil 3D
AutoCAD Electrical,AutoCAD Electrical
AutoCAD for Mac,AutoCAD for Mac
AutoCAD including specialized toolsets,AutoCAD including specialized toolsets
AutoCAD Inventor LT Suite,AutoCAD Inventor LT Suite
AutoCAD LT,AutoCAD LT
AutoCAD LT for Mac,AutoCAD LT for Mac
AutoCAD Map 3D,AutoCAD Map 3D
AutoCAD Mechanical,AutoCAD Mechanical
AutoCAD Migration Assistance,AutoCAD Migration Assistance
AutoCAD OEM,AutoCAD OEM
AutoCAD originale,genuine AutoCAD
AutoCAD P&ID,AutoCAD P&ID
AutoCAD Plant 3D,AutoCAD Plant 3D
AutoCAD Raster Design,AutoCAD Raster Design
AutoCAD Revit Architecture Suite,AutoCAD Revit Architecture Suite
AutoCAD Revit LT Suite,AutoCAD Revit LT Suite
Autocast,Autocast
AutoCorrect,AutoCorrect
Autodesk Academic Value Added Reseller,Autodesk Academic Value Added Reseller
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk Animation Academy,Autodesk Animation Academy
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,Autodesk Basic Support
Autodesk BIM Collaborate,Autodesk BIM Collaborate
Autodesk BIM Collaborate Pro,Autodesk BIM Collaborate Pro
Autodesk BIM Transformation Services,Autodesk BIM Transformation Services
Autodesk Business Center,Autodesk Business Center
Autodesk Certified Instructor,Autodesk Certified Instructor
Autodesk Channel Sales Manager,Autodesk Channel Sales Manager
Autodesk Channel Team,Autodesk Channel Team
Autodesk Classroom Training,Autodesk Classroom Training
Autodesk Clean Tech Partner Program,Autodesk Clean Tech Partner Program
Autodesk Cloud Standards,Autodesk Cloud Standards
Autodesk Collaboration and Data Management Services,Autodesk Collaboration and Data Management Services
Autodesk Compliance Program,Autodesk Compliance Program
Autodesk Compute Platform,Autodesk Compute Platform
Autodesk Construction Magazine,Autodesk Construction Magazine
Autodesk Construction Solutions,Autodesk Construction Solutions
Autodesk Consulting,Autodesk Consulting
Autodesk Consulting Media & Entertainment,Autodesk Consulting Media & Entertainment
Autodesk Consulting Specialization Program,Autodesk Consulting Specialization Program
Autodesk Content Service,Autodesk Content Service
Autodesk Creative Commons,Autodesk Creative Commons
Autodesk Customer Environment,Autodesk Customer Environment
Autodesk Customer Experience Team,Autodesk Customer Experience Team
Autodesk Customer Lifecycle,Autodesk Customer Lifecycle
Autodesk Design for Industry,Autodesk Design for Industry
Autodesk Design Institute,Autodesk Design Institute
Autodesk Design Package,Autodesk Design Package
Autodesk Design Suite e Creation Suite,Autodesk Design and Creation Suites
Autodesk Desktop Connector,Autodesk Desktop Connector
Autodesk DevDays Conference,Autodesk DevDays Conference
Autodesk Developer Network,Autodesk Developer Network
Autodesk Digital Magazine,Autodesk Digital Magazine
Autodesk Digital STEAM Workshop,Autodesk Digital STEAM Workshop
Autodesk Docs,Autodesk Docs
Autodesk Drive,Autodesk Drive
Autodesk Education,Autodesk Education
Autodesk Education Community,Autodesk Education Community
Autodesk Education Experience,Autodesk Education Experience
Autodesk Education Suite per la progettazione industriale,Autodesk Education Suite for Industrial Design
Autodesk Education Suite per l'architettura e l'ingegneria,Autodesk Education Suite for Architecture & Engineering
Autodesk Education Suite per l'ingegneria civile e la progettazione strutturale,Autodesk Education Suite for Civil & Structural Engineering
Autodesk Education Suite per l'ingegneria meccanica,Autodesk Education Suite for Mechanical Engineering
Autodesk Employee Purchase Program,Autodesk Employee Purchase Program
Autodesk Engineer-to-Order Services,Autodesk Engineer-to-Order Services
Autodesk Enterprise Priority Support,Autodesk Enterprise Priority Support
Autodesk Event Analysis,Autodesk Event Analysis
Autodesk Flex,Autodesk Flex
Autodesk FLUX Design Competition,Autodesk FLUX Design Competition
Autodesk Gallery,Autodesk Gallery
Autodesk Growth Marketing,Autodesk Growth Marketing
Autodesk Health Dashboard,Autodesk Health Dashboard
Autodesk iiko Experience,Autodesk iiko Experience
Autodesk in the News,Autodesk in the News
Autodesk Industry Careers Framework for Games and Animation,Autodesk Industry Careers Framework for Games and Animation
Autodesk Infrastructure Solutions,Autodesk Infrastructure Solutions
Autodesk Inventor Mentor,Autodesk Inventor Mentor
Autodesk IPv4 License Manager for Mac,Autodesk IPv4 License Manager for Mac
Autodesk IPv6 License Manager for Mac,Autodesk IPv6 License Manager for Mac
Autodesk Job Processor,Autodesk Job Processor
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk Labs,Autodesk Labs
Autodesk Learning Central,Autodesk Learning Central
Autodesk Learning e Autodesk Education,Autodesk Learning and Education
Autodesk Legacy Program,Autodesk Legacy Program
Autodesk License Compliance Team,Autodesk License Compliance Team
Autodesk Licensing Manager,Autodesk License Manager
Autodesk Lightning Integrated Case Experience,Autodesk Lightning Integrated Case Experience
Autodesk Live,Autodesk Live
Autodesk Machine Learning Platform,Autodesk Machine Learning Platform
Autodesk Manufacturing Team,Autodesk Manufacturing Team
Autodesk MasterClasses,Autodesk MasterClasses
Autodesk Masters Awards,Autodesk Masters award
Autodesk Masters Program,Autodesk Masters Program
Autodesk Meshmixer Toolkit,Autodesk Meshmixer Toolkit
Autodesk Network License Manager,Autodesk Network License Manager
Autodesk Online Testing Service,Autodesk Online Testing Service
Autodesk Order Entry,Autodesk Order Entry
Autodesk Panorama,Autodesk Panorama
Autodesk Partner Manager,Autodesk Partner Manager
Autodesk Partner Portal,Autodesk Partner Portal
Autodesk Partner Program,Autodesk Partner Program
Autodesk Platform Services,Autodesk Platform Services
Autodesk Preferred Industry Partner,Autodesk Preferred Industry Partner
Autodesk Premier Solutions Provider,Autodesk Premier Solutions Provider
Autodesk Productstream Compass Office,Autodesk Productstream Compass Office
Autodesk Productstream Compass Pro,Autodesk Productstream Compass Pro
Autodesk Professional Excellence,Autodesk Professional Excellence
Autodesk Renovation and Retrofit Playbook,Autodesk Renovation and Retrofit Playbook
Autodesk Retirement Program,Autodesk Retirement Program
Autodesk Sales Development Fund,Autodesk Sales Development Fund
Autodesk Sales Incentive Management System,Autodesk Sales Incentive Management System
Autodesk Services Marketplace,Autodesk Services Marketplace
Autodesk Shape Manager,Autodesk Shape Manager
Autodesk Shared Component,Autodesk Shared Component
Autodesk Streamline,Autodesk Streamline
Autodesk Sustainable Design Center,Autodesk Sustainable Design Center
Autodesk Sync,Autodesk Sync
Autodesk Translation Framework,Autodesk Translation Framework
Autodesk Trust Center,Autodesk Trust Center
Autodesk University,Autodesk University
Autodesk University Virtual,Autodesk University Virtual
Autodesk Upgrade and Retirement Program,Autodesk Upgrade and Retirement Program
Autodesk User Group International,Autodesk User Group International
Autodesk Vault Professional Edition,Autodesk Vault Professional edition
Autodesk Virtual Classroom Training,Autodesk Virtual Classroom Training
Autodesk® Product Design & Manufacturing Collection,Autodesk® Product Design & Manufacturing Collection
autorizzazione di visualizzazione per i rivenditori,Reseller View Permission
Autorizzazioni della cartella Fusion,Fusion Folder Permissions
AVAR,AVAR
avviso di rinnovo,renewal notice
azienda innovatrice Clean Tech,clean technology innovator
Backburner,Backburner
Background Reactor,Background Reactor
banner principale,hero image
banner statico,static banner
banner statico e flash personalizzabile,brandable static and flash banner
banner Web,web banner
barra degli strumenti Accesso rapido,Quick Access Toolbar
barra degli strumenti di navigazione,navigation toolbar
barra dei prodotti,product tray
barra delle applicazioni,system tray
barra di stato,status tray
barra laterale,sidebar
barra multifunzione,ribbon
barra multifunzione orizzontale,horizontal ribbon
barra multifunzione verticale,vertical ribbon
bene non tangibile,intangible asset
bene tangibile,tangible asset
Beyond Trust,Beyond Trust
BIM,BIM
BIM 360,BIM 360
BIM 360 Ops,BIM 360 Ops
BIM Adoption and Change Management services,BIM Adoption and Change Management services
BIM Implementation and Integration Services,BIM Implementation and Integration Services
BIM360,BIM360
Binary Large Object,binary large object
biomimetica,biomimicry
bioplastica,bioplastics
Bitmap Pager,Bitmap Pager
Blackmagic UltraStudio Express,Blackmagic UltraStudio Express
bloccare il prezzo,secure pricing
bloccare il prezzo scontato,secure discounted pricing
blocco multivista,multi-view block
Blocco note,Notepad
blocco popup,pop-up blocker
blog,blog
Blog BIM and Beam,Autodesk BIM and Beam Blog
BlueSnap,BlueSnap
Boot Camp,Boot Camp
BPT,BPT
Brainshark,Brainshark
BREP,BREP
B-rep,B-rep
brochure del prodotto,product brochure
brochure introduttiva,overview brochure
b-roll,b-roll
Browser del catalogo elettrico,Electrical Catalog Browser
browser modelli,model browser
Browser supporto,Media Browser
browser Web,web browser
Building for Environmental and Economic Sustainability,BEES
Building Industry Strategy & Relations,Building Industry Strategy & Relations
Building Information Modeling,Building Information Modeling
BuildingConnected,BuildingConnected
Business Development,Business Development
business plan,business plan
Business Planning Tool,Business Planning Tool
bussola,compass
CAD,CAD
CAE,CAE
calcolatrice,calculator
Call to Action,Call to Action
CAM,CAM
campagna di marketing,marketing campaign
canale alfa,alpha channel
canale YouTube Autodesk Building Solutions,Autodesk Building YouTube Channel
Caratteristiche delle licenze,License Behaviors
caricamento della risorsa,resource loading
caricare,upload
carico di lavoro,workload
carico energetico,energy load
carrello,shopping basket
cartesiano,Cartesian
Casi di utilizzo,Use cases
catena di approvvigionamento,supply chain
catena di approvvigionamento del settore automobilistico,automotive supply chain
catena di approvvigionamento del settore manifatturiero,manufacturing supply chain
cavo HDMI,HDMI cable
CDF,CDF
CEC,CEC
cedente,transferor
Celebrating Creativity,Celebrating Creativity
Centro aiuto integrato Autodesk,Autodesk LaunchPad
centro di comunicazione,communication hub
centro di eccellenza,center of excellence
Centro di formazione autorizzato Autodesk,Autodesk Authorized Training Center
Centro di formazione autorizzato Autodesk (ATC),Autodesk Training Center
certificato del diritto,entitlement certificate
certificazione Autodesk,Autodesk Certification
Certified Associate,Certified Associate
cessionario,transferee
CFD,CFD
CFD Advanced,CFD Advanced
CFD Motion,CFD Motion
Channel Development Fund,Channel Development Fund
Character Generator,Character Generator
Character Large Object,character large object
charrette di progettazione,design charrette
chiamante designato,named caller
chiave del Registro di sistema,registry key
chiave di licenza,license key
Chief Education Officer,Chief Education Officer
chief executive officer,chief executive officer
ciclo di vita del cliente digitale,digital customer lifecycle
ciclo read-eval-print,read-eval-print loop
CIP,CIP
Clean Tech,clean tech
Client Relations Team,Client Relations Team
cliente del settore didattico,Education customer
cliente di un ente pubblico,government customer
cliente non aggiornato,non-current customer
cloud privato virtuale,virtual private cloud
co-branding,co-branding
Co-branding Assets & Templates,Co-branding Assets & Templates
codec,codec
codice CVC,CVC
codice dannoso,malicious code
codice del buono,voucher code
codice del pacchetto,package code
codice del titolo,ticker symbol
codice di attivazione,activation code
codice di errore,error code
codice funzione,feature code
codice prodotto,product key
coefficiente di diffusione,diffusion coefficient
coefficiente di film,film coefficient
Collaboration and Data Management Implementation Services,Collaboration and Data Management Implementation Services
Collaboration and Data Management Strategy Services,Collaboration and Data Management Strategy Services
Collaboration For Revit,Collaboration For Revit
collaboratore del progetto,Project Contributor
collaboratore indipendente,independent contractor
Collegamenti correlati,Related Links
collegamento,shortcut
colore ambiente,ambient color
Commercial New,Commercial New
commercializzare,get to market
Common Data Experience,common data experience
Communication Center,Communication Center
community di esercitazioni pratiche,community of practice
Community di utenti,User Communities
compilare,populate
componente aggiuntivo,add-on
componente dell'edificio,building component
componente prefabbricato,precast component
comportamento etico,ethical behavior
comportamento imprevisto,unexpected behavior
Computer Aided Design,computer aided design
Computer Aided Engineering,computer aided engineering
Computer Aided Manufacturing,computer aided manufacturing
computer con nuova immagine,re-imaged computer
computer master,master computer
Computer-Aided Design,computer-aided design
Computer-Aided Engineering,computer-aided engineering
Computer-Aided Manufacturing,computer-aided manufacturing
comunicato stampa,press release
comunicazione,notice
concavo,concave
Condizioni d’uso,terms of use
condizioni di partecipazione alla ricerca,customer research agreement
