source,target
1:1 지원,one-to-one support
1년 서브스크립션,1-year subscription
1회 업그레이드 프로세스,one-time upgrade process
3 버튼 마우스,three-button mouse
30일 무료 체험판,30-day trial
3D,3D
3D 프린터,3D printer
3D 프린팅,3D printing
3ds Max,3ds Max
3ds Max Design,3ds Max Design
ACE,ACE
ACI,ACI
Active Directory,Active Directory
Activity Monitor,Activity Monitor
ADI,ADI
AdLM,AdLM
ADN,ADN
ADP,ADP
ADP(Autodesk 데이터 플랫폼),Autodesk Data Platform
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
Advanced Illuminance,Advanced Illuminance
AEC,AEC
AEC 정보 모델,AEC Information Model
AIA,AIA
AMP,AMP
AOTC,AOTC
APEX,APEX
API,API
App Store,App Store
AppFrame,AppFrame
APPID,APPID
Apple App Store,Apple App Store
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
"Architecture, Engineering, Construction, and Operations","Architecture, Engineering, Construction, and Operations"
ASI,ASIs
ASM,ASM
ATC,ATC
ATC 계약,ATC Agreement
ATC 글로벌 프로그램 가이드,ATC Global Program Guide
ATC 사이트 등록 및 사업 계획 양식,ATC Site Enrolment and Business Plan Form
ATC 온라인 평가 시스템,ATC Online Evaluation System
ATC 위치 찾기,ATC Locator
AU,AU
AUGI,AUGI
"Authentication, Authorization and Accounting","Authentication, Authorization and Accounting"
AutoCAD 산업군,AutoCAD vertical
AutoCorrect,AutoCorrect
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk App Store 검증 다운로드,Autodesk App Store Verified Download
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,Autodesk Basic Support
Autodesk BIM and Beam 블로그,Autodesk BIM and Beam Blog
Autodesk BIM Collaborate,Autodesk BIM Collaborate
Autodesk BIM Collaborate Pro,Autodesk BIM Collaborate Pro
Autodesk Building YouTube 채널,Autodesk Building YouTube Channel
Autodesk Construction Magazine,Autodesk Construction Magazine
Autodesk Construction Solutions,Autodesk Construction Solutions
Autodesk Consulting,Autodesk Consulting
Autodesk Consulting Media & Entertainment,Autodesk Consulting Media & Entertainment
Autodesk Content Service,Autodesk Content Service
Autodesk Creative Commons,Autodesk Creative Commons
Autodesk Creative Commons 라이센스,Autodesk Creative Commons license
Autodesk Customer Engagement 프로그램,Autodesk Customer Engagement Program
Autodesk Customer Experience 팀,Autodesk Customer Experience Team
Autodesk Design & Creation Suite,Autodesk Design and Creation Suites
Autodesk Design Package,Autodesk Design Package
Autodesk DevDays Conference,Autodesk DevDays Conference
Autodesk Education Suite for Architecture & Engineering,Autodesk Education Suite for Architecture & Engineering
Autodesk Education Suite for Civil & Structural Engineering,Autodesk Education Suite for Civil & Structural Engineering
Autodesk Education Suite for Industrial Design,Autodesk Education Suite for Industrial Design
Autodesk Education Suite for Mechanical Engineering,Autodesk Education Suite for Mechanical Engineering
Autodesk Enterprise Priority Support,Autodesk Enterprise Priority Support
Autodesk Flex 토큰,Autodesk flex token
Autodesk iiko Experience,Autodesk iiko Experience
Autodesk Industry Careers Framework for Games and Animation,Autodesk Industry Careers Framework for Games and Animation
Autodesk IPv4 License Manager for Mac,Autodesk IPv4 License Manager for Mac
Autodesk IPv6 License Manager for Mac,Autodesk IPv6 License Manager for Mac
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk LaunchPad,Autodesk LaunchPad
Autodesk Learning Central,Autodesk Learning Central
Autodesk License Manager,Autodesk License Manager
Autodesk Material Library,Autodesk Material Library
Autodesk Meshmixer 툴킷,Autodesk Meshmixer Toolkit
Autodesk Network License Manager,Autodesk Network License Manager
Autodesk Panorama,Autodesk Panorama
Autodesk Professional Excellence,Autodesk Professional Excellence
Autodesk Retopology Tools for 3ds Max,Autodesk Retopology Tools for 3ds Max
Autodesk Route 66 전문 기술 교육,Autodesk Route 66 Professional Skills Training
Autodesk Services Marketplace,Autodesk Services Marketplace
Autodesk Shape Manager,Autodesk Shape Manager
Autodesk Streamline,Autodesk Streamline
Autodesk Sync,Autodesk Sync
Autodesk Training Center,Autodesk Training Center
Autodesk Translation Framework,Autodesk Translation Framework
Autodesk Trust Center,Autodesk Trust Center
Autodesk University,Autodesk University
Autodesk University 온라인,Autodesk University Virtual
Autodesk University(AU) 온라인,AU Virtual
Autodesk User Group International,Autodesk User Group International
Autodesk 분석 프로그램,Autodesk Analytics
Autodesk 설치제거 도구,Autodesk uninstall tool
AVAR,AVAR
b 롤,b-roll
Backburner,Backburner
Be BIM Ready,Be BIM Ready
Better by Design,Better by Design
Beyond Trust,Beyond Trust
BIM,BIM
BIM 360 Ops,BIM 360 Ops
BIM 구현 및 통합 서비스,BIM Implementation and Integration Services
BIM 엔터프라이즈 실행 계획,BIM Enterprise Execution Plan
BIM 적용 및 변경 관리 서비스,BIM Adoption and Change Management services
BIM 전략 서비스,BIM Strategy services
BIM 지식 패키지,BIM Knowledge Package
BIM 표준 및 프로세스 서비스,BIM Standards and Processes services
BIM(빌딩 정보 모델링),Building Information Modeling
BIM(빌딩 정보 모델링) 전문 가이드,The professional guide to Building Information Modelling (BIM)
BIM360,BIM360
Blackmagic UltraStudio Express,Blackmagic UltraStudio Express
BlueSnap,BlueSnap
Boot Camp,Boot Camp
BPT,BPT
Brainshark,Brainshark
Building Information Modeling,building information model
BuildingConnected,BuildingConnected
Business Planning Tool,Business Planning Tool
CAD,CAD
CAE,CAE
Call to Action,Call to Action
CAM,CAM
CDF,CDF
CEC,CEC
Celebrating Creativity,Celebrating Creativity
Character Generator,Character Generator
CIP,CIP
