source,target
підписка на 1 рік,1-year subscription
30-денна пробна версія,30-day trial
3D,3D
3D-принтер,3D printer
3D-друк,3D printing
3ds Макс,3ds Max
Дизайн в 3ds Max,3ds Max Design
A360,A360
Рендеринг A360,A360 Rendering
Команда A360,A360 Team
ACC,ACC
прискорення,acceleration
Управління обліковими записами,Account Management
ACE,ACE
ACI,ACI
код активації,activation code
сценарій активації,activation scenario
Активний контракт,active contract
Активний каталог,Active Directory
активний план оренди,active rental plan
стрічка активності,activity feed
Монітор активності,Activity Monitor
надбудова,add-in
адитивне виробництво,additive manufacturing
доповнення,add-on
ADI,ADI
AdLM,AdLM
Адміністративні інструменти,Administrative Tools
ADN,ADN
ADP,ADP
Попередній бетон,Advance Concrete
Передова сталь,Advance Steel
Покращена освітленість,Advanced Illuminance
AEC,AEC
Колекція AEC,AEC Collection
аерокосмічний,aerospace
Автостудія Alias,Alias AutoStudio
Концепція Alias,Alias Concept
Дизайн Alias,Alias Design
Форма швидкості Alias,Alias SpeedForm
Поверхня Alias,Alias Surface
Узгоджена маркетингова програма,Aligned Marketing Program
альфа-канал,alpha channel
Альтернативні методи розповсюдження,Alternative Distribution Methods
навколишній колір,ambient color
навколишня оклюзія,ambient occlusion
температура навколишнього середовища,ambient temperature
поправка,amendment
Американський інститут архітекторів,American Institute of Architects
AMP,AMP
точка прив'язки,anchor point
кут,angle
обмеження кута нахилу,angle constraint
відпал,annealing
Механічний Ansys,Ansys Mechanical
антібойкот,anti-boycott
боротьба з корупцією,anti-corruption
тривожне питання,anxiety question
AOTC,AOTC
API,API
Магазин App Store,App Store
Ліцензійна угода з кінцевим користувачем app Store,app store end user license agreement
Додаток AppFrame,AppFrame
APPID,APPID
Магазин додатків Apple App Store,Apple App Store
Інженер-прикладник,Application Engineer
ідентифікатор додатка,application ID
Інтерфейс прикладного програмування,Application Programming Interface
Апріорі,aPriori
ArcGIS,ArcGIS
Додаткова інструкція архітектора,Architect's Supplemental Instruction
Додаткові архітектурні інструкції,Architectural Supplemental Instructions
"Колекція архітектури, інженерії та будівництва","Architecture, Engineering & Construction Collection"
"Архітектура, інжиніринг та будівництво","architecture, engineering and construction"
масив,array
ASIs,ASIs
ASM,ASM
співвідношення сторін,aspect ratio
зібрання,assembly
актив,asset
ATC,ATC
Угода ATC,ATC Agreement
Керівництво по глобальній програмі ATC,ATC Global Program Guide
Локатор ATC,ATC Locator
