source,target
Alias,Alias
CLDATA,CLDATA
CV,CV
DPI,DPI
DSS,DSS
EDM,EDM
Flex,Flex
Fusion PCB,Fusion PCB
iCopy,iCopy
iFeatures,iFeatures
iProperties,iProperties
ISO,ISO
ISTE,ISTE
PDF Publish,PDF Publish
Simulation CFD 3D Viewer,Simulation CFD 3D Viewer
Simulation CFD Viewer,Simulation CFD Viewer
T-Spline,T-Spline
اتجاه الأداة,tool orientation
اتجاه التماس,tangent direction
اتجاه الحبيبات,grain direction
اتجاه الدوران,rotary direction
اتجاه السحب,pull direction
اتجاه المحور,spindle orientation
اتجاه الوجه,face direction
اتصال شبكة عبر الهاتف,dial-up network connection
اختيار السلسلة,chain selection
ارتفاع,elevation
ارتفاع الحافة,flange height
ارتفاع الطبقة,layer height
ارتفاع مقطع العمود,shaft segment height
استراتيجيات مسار أدوات التصنيع,manufacturing toolpath strategies
استراتيجية,strategy
استراتيجية التخشين,roughing strategy
استراتيجية التشكل,morph strategy
استراتيجية تشغيل خط التدفق,flowline machining strategy
استنتاج القيود,infer constraints
اسم الملف الأصلي,original file name
الاتجاه,direction
الاتجاه الموجب,positive direction
الاتجاهات المحاكية,simulated orientations
الاستدلال,inference
الاصطدام,collision
الانبعاج,buckling
الانحراف الزاوي,angularity
الانعكاسية,reflectivity
الإجهاد الرئيسي,principal strain
الإسقاط بالزاوية الثالثة,third-angle projection
الإصدار الاحترافي من Autodesk Vault,Autodesk Vault Professional edition
الإطار الخارجي,external frame
البقايا الباردة,cold slug
البوابة,gate
البوابة المخروطية الدائرية,circular tapered gate
التثبيت,fixturing
التحديث المباشر,live update
التحقق التلقائي,automatic verification
التحكم في الأذونات,permission control
التداخل,nesting
الترتيب التلقائي,automatic ordering
التركيب الميداني,field fit
التركيز,concentricity
التسلسل,chaining
التشكيل المائي,hydroforming
التصفية التكيفية,adaptive clearing
التصميم الوظيفي,functional design
التصنيع الإضافي,AM
التصنيع الإضافي المعدني بطبقة مسحوق,powder bed metal additive manufacturing
التصنيع الإضافي بتقنية الشعيرات المنصهرة,FFF additive manufacturing
التطبيق,application
التظليل,hatching
التظليل الخلوي,cel shading
التظليل المسطح,flat shading
التعرف التفاعلي على الميزات,Interactive Feature Recognition
التغليف ثلاثي الأبعاد,3D Packing
التفاوت,tolerance
التكنولوجيا التوليدية,generative technology
التلبيد بالليزر الانتقائي,selective laser sintering
التمييز المتقاطع,cross-highlighting
التناسب الكتلي,mass proportional
التنقيح التكيفي,adaptive refinement
التوجيه التلقائي,automatic routing
التوسع إلى الصندوق,Grow to Box
الثقب المركب,compound hole
الحافة,edge
الحافة الرئيسية,base flange
الحافة والمجرى,lip and groove
الحد,boundary
الحرارة الداخلية,internal heat
الحركة الآلية,mechanistic movement
الحفاظ على الهندسة,preserve geometry
الحلقة,loop
الحلول والميزات التوليدية التجريبية,Experimental Generative Solvers and Features
الحمل الحراري الهوائي,air convection
الحمل الخطي العالمي,linear global load
الحمل الزاوي العام,angular global load
الخصائص الكهربائية للطرفيات,terminal electrical properties
الدليل الحالي,current directory
الدورة المعلبة,canned cycle
الرافعة,lifter
السحب الحر,free drag
السرعة الزاويّة,angular speed
السرعة المحيطية,circumferential speed
السطح التحليلي,analytical surface
السطح الرئيسي,base face
السلسلة التلقائية للوجوه,automatic face chain
الطارة,torus
الطلاء,coating
الظل الأرضي,ground shadow
العرض,width
العرض المساعد,auxiliary view
العضو,member
العلامة,markup
الفاصل الزمني,interval
القالب,mold
القرص المدمج مع الشفرات,blisk
القشرة السلبية,negative shell
القطب الكهربائي,electrode
القطر الخارجي,OD
القطر العلوي للعمود,shaft upper diameter
القيد المتطابق,coincident constraint
القيم المتعددة,MultiValue
الكتلة الخام,stock
اللب,core
اللوحة القماشية,canvas
المادة المشتركة,common material
المبرد,coolant
المحور,axis
المحور B الدوار,rotary B axis
المحور C الدوار,rotary C axis
المحور المركزي,centric axis
المخروط,cone
المدار الحر,free orbit
المستوى الأرضي,ground plane
المستوى البؤري,focal plane
المسؤول,administrator
المشرف,moderator
المصفوفة,matrix
المضيف,host
المعالجة في الخلفية,background processing
المعايير الأساسية المشتركة,Common Core
المكون الهدف,target component
المكون غير النشط,inactive component
المنحنى المركب,composite curve
المواد الحيوية المتوافقة,biocompatible material
المواد الخام للرسوم المتحركة,animation footage
الموصل,connector
الموقع الأساسي,home location
المؤشر الذكي,intelligent cursor
الناقل,carrier
النسخ المتماثل,replication
النسخة الأقدم,lesser version
النمذجة التوليدية,generative modeling
النمذجة العضوية,organic modeling
النهاية,terminator
الهندسة,geometry
الهيكل الرئيسي,base body
الوحدة البديلة,alternate unit
الوريقات الملونة,colored confetti
الوضع السريع,Express mode
انتحال المستخدم,impersonating user
انتقال حاد,hard transition
انتقال ناعم,soft transition
انخفاض الضغط,pressure drop
اندماج مسحوق المعدن,metal powder bed fusion
انكماش,shrinkage
إجهاد,strain
إجهاد القص للجدار,wall shear stress
إحداثي,coordinate
إرشادات واجهة المستخدم من Autodesk,Autodesk Human Interface Guidelines
إزاحة التثبيت,fixture offset
إزاحة العزل,insulation displacement
إزالة التفاصيل الصغيرة,defeaturing
إسفين,wedge
إسقاط السطح,surface projection
إصدار الإنتاج,production version
إصدار محفوظ,vaulted version
إطار التحكم بالميزة,feature control frame
إطار داخلي,internal frame
إطار سلكي,wireframe
إطار مرجعي للبيانات,datum reference frame
إعادة الطلاء,recoating
إعادة الفهرسة,re-index
إعداد التحكم الرقمي,NC setup
إعداد التصميم التوليدي,generative design setup
إعدادات الدعم,support settings
إنشاء الدعم,support generation
إنشاء ميزات متوازية,parallel feature construction
أثر القلم,pencil trace
أجيال التخشين,coarsening generations
أخدود,groove
أداة,tool
أداة الإخراج,ejector
أداة الآلة,machine tool
أداة التحكم,manipulator
أداة التشطيب الذكية,barrel tool
أداة التمكين التلقائي للكائنات,Live Enabler
أداة الرسم التلقائي,auto-draw tool
أداة الشبكات,mesher
أداة الشطف,chamfer tool
أداة الطحن,milling tool
أداة إنشاء التعبيرات,Expression Builder
أداة توسيع وتجويف الفتحات,boring bar
أداة ذات رأس كروي,ball nosed tool
أداة ضمن واجهة العمل,in-canvas tool
أدوات الشطف,chamfering tools
أسطوانة,cylinder
أصل الوصلة,joint origin
أقصى قوة تثبيت,maximum clamp force
أقصى قوة شد,ultimate tensile strength
أمر التغيير,change order
أنبوب,conduit
أنبوب نقل الحرارة,heat transfer pipe
أنواع الأحمال الحرارية الداخلية,internal heat load types
آلة SLM,SLM machine
آلة تصنيع الشعيرات المنصهرة,FFF machine
آلة يدوية,manual machine
بُعد,dimension
بُعد السلسلة,chain dimension
باقة,bouquet
بديل التغليف الانكماشي,shrinkwrap substitute
برامج التحكم الرقمي,NC Programs
برج دوران,turret
برغي اليد,thumb screw
برغي ذاتي القطع,self-tapping screw
برنامج التحكم الرقمي,NC program
برنامج إعداد النماذج للطباعة,build preparation software
بطاقة البيانات,data card
بطاقة الرسومات,graphics card
بناء المهارات,Skill Builder
بناء الميزة,feature construction
بوصة مربعة,square inch
بيانات السحابة,cloud data
بيانات القياس,measurement data
بيانات ساق الأداة,tool shank data
بيئة التصنيع,manufacturing environment
تأخير القفزة,jump delay
تأخير المضلع,polygon delay
تأخير قفزة الليزر,laser jump delay
تأخير مضلع الليزر,laser polygon delay
تأخير وضع علامة الليزر,laser mark delay
تبريد الإلكترونيات,electronics cooling
تبسيط الهندسة,geometry simplification
تبسيط مساحة العمل,simplify workspace
تثبيت اللوح,plate fixture
تجاوز تخفيف الانحناء,bend relief override
تجميع الأداة,tool assembly
تجنب الاصطدام,collision avoidance
تجهيز الأدوات,tooling
تحرير الشكل الحر,freeform edit
تحرير في الموقع,edit in place
تحسين الشبكة والجلد,lattice and skin optimization
تحليل الإجهاد,stress analysis
تحليل المقطع العرضي,cross section analysis
تحميل مُجمع للبيانات,bulk load
تخصص التصنيع,machining discipline
تخطيط البروز,bump map
تداخل الخطوات,stepover
تدرج الزوايا,corner filleting
ترابط السطح,surface associativity
ترجمة,translation
ترجمة النموذج,model translation
ترس دودي,worm gear
ترس مستقيم,spur gear
ترقية السطح,promote surface
تروخيد,trochoid
تسخين القص,shear heating
تسلسل الفحص,inspection sequence
تشخيص الفصل,parting diagnostic
تشذيب السطح,surface trimming
تشغيل السلك,wire run
تشكيل الحقن والانضغاط,injection-compression molding
تصادم الميزة,feature collision
تصدير قواعد البيانات,database exports
تصميم الآلة,machine design
تصميم الفصل,parting design
تصميم مرجعي,reference design
تعارض الأسماء,name collision
تعارض التصميم,design conflict
تعريف الرمز,symbol definition
تعريف المنحنى,curve definition
تعقيد النموذج,model complexity
تعلم Inventor 2010,Learning Inventor 2010
تعليق,annotation
تعويض القاطع,cutter compensation
تعيين الخصائص,property mapping
تغليف انكماشي,shrinkwrap
تفاصيل العوارض,beam detail
تقنية التصنيع الإضافي,additive technology
تقوية الضلع,rib fillet
تكوين الرقائق,chip formation
تلف اللحام,weld damage
تلميح تدريجي,progressive tooltip
تماثل ذاتي,self symmetric
تمريرات الملف الشخصي,profile passes
تناسب الصلابة,stiffness proportional
تنسيق المراجعة,revision format
تنسيق مخطط المراجعة,revision scheme format
تنعيم,smooth
تنعيم الحواف بالتغطية,cap filleting
توصيل فرع,branch connection
توليد PRM,PRM generation
ثقب التوسيع المتدرج,counterdrill hole
ثقب التوسيع المحوري,counterbore hole
ثقب التوسيع المخروطي,countersink hole
ثقب إرشادي,pilot hole
ثقب بسيط,trivial hole
جانب,side
جدول الثقوب,hole table
جذر الأخدود,groove root
جزء الحزام,harness part
جزء بلاستيكي,plastic part
جزء مروحة التبريد,cooling fan part
جسم T-Spline,T-Spline body
جسم السطح,surface body
جسم المسبار,probe body
جسم صلب,solid
جلبة الصب,sprue bushing
جهاز الإدخال,puck
جهاز طرفي,peripheral
حافة الرسم,sketch edge
حافة مغلقة,closed edge
حالة القيد,constraint status
حجز,reservation
حجز التصميم,design reservation
حد القطع,trim boundary
حد انتقال دورة الحياة,lifecycle transition limit
حد محور الأداة,tool axis limit
حدود النموذج,model limits
حدود الهدف,objective limits
حدود نقطة التلامس,contact point boundary
حركة السوائل,fluid motion
حزام V,v-belt
حزمة اللغة,language pack
حساب Vault,Vault account
حساس,sensor
حل للفيضانات,flood solution
حلقة O,o-ring
حلقة التحديد,location ring
حلقة الجريان,runoff loop
حلقة قفل,circlip
حمل الحرارة الداخلي,internal heat load
حمل العزم,torque load
حمل الهيكل,body load
حمل حراري,heat load
حمل عابر,transient load
خادم الترخيص,license server
خادم المهام,Job Server
خاصية الأداة,tool property
خاصية درجة الحرارة الحرجة,critical temperature attribute
خدش,gouge
خرزة لحام تجميلية,cosmetic weld bead
خريطة الأخطاء,error map
خزان الرقائق,foil reservoir
خصائص الكتلة,mass properties
خصائص ما بعد المعالجة,post processing properties
خط الخطوة,pitch line
خط الرؤية,sight line
خط القطع,cutting line
خط اللحام,weld line
خط المنتصف,center line
خط درز عشوائي,randomized seam
خط متساوي,isoline
خطوة دائرية,circular pitch
خطوة هبوط,stepdown
خلوص الحامل,holder clearance
خلوص الحائط,wall clearance
خلوص الساق,shank clearance
خلوص الموزع,recoater clearance
خيار النحت الداخلي,Undercut option
خيارات التلوين,colorization options
خيارات المبرد,coolant options
دبوس التوقف,stop pin
دبوس اللب,core pin
دبوس المنتصف,center pin
دبوس أداة الإخراج,ejector pin
دراسة الانبعاج الهيكلي,structural buckling study
دراسة المحاكاة,simulation study
دراسة المحاكاة المتقدمة,advanced simulation study
دراسة محاكاة العملية,process simulation study
دراسة محاكاة حقن القوالب,injection molding simulation study
درجة حرارة القذف,ejection temperature
دقة المادة,material accuracy
دقة فوكسل,voxel resolution
دوامية,vorticity
دورات الحفر,drilling cycles
دوران المحور,spindle revolution
دوران أفقي,yaw
ذاكرة مؤقتة للبيانات,data buffer
ذراع القبضة,gripper arm
ذيل مسار الأداة,toolpath tail
رسم توضيحي,sketch illustration
رسوم Show Me المتحركة,Show Me animation
رصيد أرصدة السحابة,cloud credit balance
رقعة الحدود,boundary patch
رقم العنصر,item number
رقم الميزة,feature number
