source,target
“云积分”面板,Cloud Credits panel
“制造”环境,manufacturing environment
“完成”面板,Finish panel
“平滑”显示模式,smooth display mode
“操作修改器”按钮,action modifier button
“文件夹”面板,Folders Panel
“电子”工作空间,electronics workspace
“简化”工作空间,simplify workspace
“结果”工作空间,results workspace
“绘制”面板,Draw panel
“编辑模型”工作空间,edit model workspace
1/4 剖视图,quarter section view
3/4 剖视图,three quarter section view
3D 打印,3D Print
A360,A360
A360 Rendering,A360 Rendering
A360 Team,A360 Team
ABF,ABF
Alias,Alias
Alias AutoStudio,Alias AutoStudio
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias SpeedForm,Alias SpeedForm
Alias Surface,Alias Surface
Ansys Discovery,Ansys Discovery
Ansys Mechanical,Ansys Mechanical
Arcam EBM,Arcam EBM
ATU,ATU
AutoCAD 2019 Add-In,AutoCAD 2019 Add-In
AutoCAD 360,AutoCAD 360
AutoCAD Architecture 2019 Add-In,AutoCAD Architecture 2019 Add-In
AutoCAD Civil 3 D 2019 Add-In,AutoCAD Civil 3 D 2019 Add-In
AutoCAD DXF,AutoCAD DXF
AutoCAD Electrical 2019 Add-In,AutoCAD Electrical 2019 Add-In
AutoCAD Inventor LT Suite,AutoCAD Inventor LT Suite
AutoCAD LT 2019 Add-In,AutoCAD LT 2019 Add-In
AutoCAD Map 2019 Add-In,AutoCAD Map 2019 Add-In
AutoCAD Mechanical 2019 Add-In,AutoCAD Mechanical 2019 Add-In
AutoCAD MEP 2019 Add-In,AutoCAD MEP 2019 Add-In
AutoCAD Plant 3 D 2019 Add-In,AutoCAD Plant 3 D 2019 Add-In
AutoCAD Structural Detailing 2019 Add-In,AutoCAD Structural Detailing 2019 Add-In
AutoCAD Utility Design 2019 Add-In,AutoCAD Utility Design 2019 Add-In
Autodesk Desktop Connector,Autodesk Desktop Connector
Autodesk Flex,Autodesk Flex
Autodesk Forge,Autodesk Forge
Autodesk Inventor 2019 Add-In,Autodesk Inventor 2019 Add-In
Autodesk Inventor LT 2019 Add-In,Autodesk Inventor LT 2019 Add-In
Autodesk Inventor Mentor,Autodesk Inventor Mentor
Autodesk Job Processor,Autodesk Job Processor
Autodesk Prodsmart,Autodesk Prodsmart
Autodesk Revit 2019 Add-In,Autodesk Revit 2019 Add-In
Autodesk Vault Office Client,Autodesk Vault Office Client
Autodesk Vault Professional 版本,Autodesk Vault Professional edition
Autodesk 制造业社区门户,Autodesk Manufacturing Community Portal
Autodesk 合作伙伴,Autodesk Partner
Autodesk 项目,Autodesk Projects
B 轴,B axis
Being Inventive,Being Inventive
BIM 360,BIM 360
BINVOX,BINVOX
BRDF,BRDF
C 轴,C axis
CA 证书,CA certificates
CAD 表面,CAD surface
CAM 功能,CAM capabilities
CAM 编程,CAM programming
Cel 着色,cel shading
CFD,CFD
CFD Advanced,CFD Advanced
CFD Motion,CFD Motion
CNC 控制器,CNC controller
Configurator 360,Configurator 360
COPPA,COPPA
Copy Design,copy Design
CORS,CORS
CV,CV
Desktop Connector,Desktop Connector
DirectX Runtime,DirectX Runtime
DM,DM
DPI,DPI
DRF,DRF
DSS,DSS
DTD,DTD
DTLS 服务器,DTLS server
DWF visualization,DWF
dxf,dxf
EBM,EBM
EDM,EDM
F3Z,F3Z
FEA 网格,FEA mesh
FeatureCAM,FeatureCAM
Flex,Flex
Flex 代币,Flex token
Fraunhofer 线,Fraunhofer line
Fusion,Fusion
Fusion 360,Fusion 360
Fusion Electronics,Fusion Electronics
Fusion Lifecycle,Fusion Lifecycle
Fusion Modeling Data,Fusion Modeling Data
Fusion PCB,Fusion PCB
Fusion Team 管理员,Fusion Team administrator
Fusion 材料库,Fusion material library
GATT 服务已更改,GATT Service Changed
GCode,GCode
GGX,GGX
GTC,GTC
Gurmukhi,Gurmukhi
Helius Composite,Helius Composite
Helius PFA,Helius PFA
HMD,HMD
HSM 内核,HSM kernel
HSMWorks,HSMWorks
HSMWorks for SOLIDWORKS,HSMWorks for SOLIDWORKS
HSV,HSV
I 型,I section
ICC 配置,ICC profile
iCopy,iCopy
ID 2019 Add-In,ID 2019 Add-In
iFeatures,iFeatures
iLogic checks,iLogic
iLogic 设计复制,iLogic Design Copy
Inventor,Inventor
Inventor CAM,Inventor CAM
Inventor LT,Inventor LT
Inventor LT Suite,Inventor LT Suite
Inventor Professional,Inventor Professional
inventor View,inventor View
iPart 编写器,iPart Author
iProperties,iProperties
ISO,ISO
ISTE,ISTE
JIT 选项,JIT option
kPa,kPa
L 型,L section
Lambertian 曲面,lambertian surface
lbf,lbf
Live Enabler,Live Enabler
LOD,LOD
LRO,LRO
MachineDNA,MachineDNA
MD 文件,MD file
Mipmap,mipmapping
Monarch 信封,Monarch envelope
MPBF,MPBF
MR,MR
MTT,MTT
Nastran,Nastran
Nastran In-CAD,Nastran In-CAD
NC 代码,NC code
NC 程序项,NC Program item
NC 设置,NC setup
Netfabb,Netfabb
netfabb 引擎,netfabb Engine
NG,NG
NGSS,NGSS
NPR 材质,NPR material
O 形密封圈,o-ring
OpenSSL,OpenSSL
PCB,PCB
PCB 特征,PCB feature
PCRE,PCRE
PDF 发布,PDF Publish
PMI,PMI
POSIX 对照元素,POSIX collating elements
PowerInspect,PowerInspect
PowerMill,PowerMill
PowerMill 增材制造,PowerMill Additive
PowerShape,PowerShape
PRM 文件,PRM file
Project Simulus,Project Simulus
QML 引擎,QML engine
Rapid Shape 打印机,Rapid Shape printers
RGB 吸收系数,rgb absorption coefficient
Rho 值,rho value
RLE,RLE
Shera 打印机,Shera printers
Simulation CFD 3D Viewer,Simulation CFD 3D Viewer
Simulation CFD Viewer,Simulation CFD Viewer
Simulation Utility,Simulation Utility
Skill Builder,Skill Builder
SLM 机床,SLM machine
SMD,SMD
SolidscapeDL 打印机,SolidscapeDL Printer
SolidWorks,SolidWorks
SSL 会话,SSL session
SSL 握手,SSL handshake
STL,STL
Straumann 打印机,Straumann printers
Structo Velox 打印机,Structo Velox printer
Substance 全景,substance panorama
Substance 属性,Substance property
Substance 预设,Substance preset
TinkerBox,TinkerBox
Tresca,Tresca
T-Spline,T-Spline
T-Spline 实体,T-Spline body
U 型,U Section
ULP,ULP
Upchain,Upchain
UTF,UTF
UV 孤岛,UV island
UV 布局,UV layout
UV 快照,UV snapshot
UV 贴图,UV mapping
V 型皮带,v-belt
Vault,Vault
Vault Basic,Vault Basic
Vault Professional,Vault Professional
Vault Workgroup,Vault Workgroup
Vault 中的限制,vaulting restriction
Vault 博客,Vault blog
Vault 帐户,Vault account
Vault 版本,vaulted version
vif,vif
Vin 平铺,vin tiles
VRED,VRED
VRED Cluster Service,VRED Cluster Service
VRED Design,VRED Design
VRED Presenter,VRED Presenter
VRED Professional,VRED Professional
VRED Server,VRED Server
VRED 群集守护程序,VRED Cluster Daemon
VRED 项目,VRED project
VRML 动画,VRML animation
VRPN,VRPN
WCS,WCS
X 射线地面阴影,X-ray ground shadow
X 间隙位置,X clearance position
XBUILD,XBUILD
万向节,gimbal
三线性插值,trilinear interpolation
三线性过滤,trilinear filtering
三维打包,3D Packing
三角形翻转,triangle flip
上下文断开链接,context break link
上表皮,upskin
下刀进给率,plunge feed rate
下切步距,stepdown
下切点,plunge point
下表皮,downskin
下表皮分析,downskin analysis
不可压缩材料,incompressible material
不透明度值,opacity values
世界坐标系,global coordinate system
中心标记图示符,center mark glyph
中心轴,centric axis
中心销,center pin
中轴,medial axis
临界温度属性,critical temperature attribute
主位置,home location
主应变,principal strain
主机,Host
主要,Primary
主轴,spindle
主轴旋转,spindle revolution
主轴朝向,spindle orientation
主轴校准,Spindle calibration
了解 Inventor 2010,Learning Inventor 2010
云积分,Cloud Credits
云积分任务,cloud credit task
云积分余额,cloud credit balance
云积分使用量,cloud credit usage
交互亮显,cross-highlighting
交互式景深质量,interactive DoF quality
交互特征识别,Interactive Feature Recognition
亮度响应曲线,luminance response curve
代码节点显示,outlining
仰角,elevation
仿真方向,Simulated Orientations
仿真网格,simulation mesh
传感器,sensor
传播延迟,propagation delay
估计时间,time estimation
体积,volume
体积模量,bulk modulus
体积流动速率,volumetric flow rate
体素,voxel
体素分辨率,voxel resolution
体载荷,body load
余量,allowance
作业服务器,Job Server
依外形加工策略,morph strategy
侧边,side
保留,reservation
保留几何图元,preserve geometry
信号完整性,signal integrity
修剪,trim
修剪边界,trim boundary
修改边形状,sketch edge
修订,revision
修订方案格式,revision scheme format
修订标签,revision tag
修订标记,revision mark
倒色散系数,constringence
倒角加工刀具,chamfering tools
倒角孔,countersink hole
倾斜度,angularity
偏航,yaw
元素,element
光子焦散,photon caustic
光度学,photometric
光栅,raster
光线跟踪,raytracing
光线跟踪模式,raytracing mode
光谱,spectrum
克隆,clone
全周边符号,all-around symbol
全圆角,full round fillet
全导航控制盘,Full Navigation wheel
公差,tolerance
公差带,tolerance band
共注塑成型,co-injection molding
共面,coplanar
关联 PCB,associative PCB
关键点,key point
内半径,inner radius
内热载荷属性,internal heat load attribute
内热载荷类型,Internal Heat load types
内部热量,internal heat
内部热量载荷,internal heat load
内部结构件,internal frame
冲压成型钣金放样,die formed lofted flange
决策支持系统,decision support system
冷却液,coolant
冷却风扇,cooling fan
冷却风扇零件,cooling fan part
冷料,cold slug
几何体节点,geometry node
几何图元简化,geometry simplification
几何形体,geometry
几何特征,geometric feature
凸柱特征,boss feature
凸缘轮廓,flange profile
凸缘高度,flange height
凸雕,emboss
凹凸,bump
刀具,tool
刀具侧刃加工,Swarf
刀具半径,tool radius
刀具属性,tool property
刀具库,tool magazine
刀具数据库,tool database
刀具方向按钮,tool direction button
刀具朝向,tool orientation
刀具组件,tool entity
刀具补偿,cutter compensation
刀具路径,toolpath
刀具路径仿真,toolpath simulation
刀具路径尾部,toolpath tail
刀具路径工作平面,toolpath workplane
刀具路径段,toolpath segments
刀具路径点,toolpath points
刀具轴角度,tool axis angle
刀具轴限制,tool axis limit
刀具部件,tool assembly
刀尖半径,tool tip radius
刀柄,shank
刀柄轮廓,Shank profile
刀柄间隙,Shank clearance
分型线,runoff loop
分型设计,parting design
分型诊断,parting diagnostic
分型面,runoff surface
分析类型,study type
分模面,split surface
切削深度,depth of cut
切屑成型,chip formation
切线方向,tangent direction
刚度比例,stiffness proportional
制动转矩,braking torque
制造刀具路径加工策略,manufacturing toolpath strategies
制造扩展程序,manufacturing extension
前板,frontplate
剖切线,cutting line
剖视图,section view
剪切热,shear heating
剪切速率,shear rate
剪裁平面,clip planes
副主轴,subspindle
功能设计,functional design
加工刀具路径,machining toolpath
加工扩展程序,Machining extension
加工规程,machining discipline
加强筋倒角,rib chamfer
加强筋圆角,rib fillet
加速结构,acceleration structure
动态点,dynamic point
动态预览,dynamic preview
动画准备区,scratch zone
包裹向导,Wrap Wizard
包覆面提取,shrinkwrap
包覆面提取替换,shrinkwrap substitute
十字槽,cross recessed
升级曲面,promote surface
半径,radius
协作会话,collaboration session
单个组合,single composite
单主轴车床,single-spindle lathe
单元删除标准,element deletion criteria
单点故障,Single Point of Failure
单边 V 型坡口对接焊,bevel butt
历史标记,history marker
历史记录,history
压力损失,pressure loss
压力降,pressure drop
压接,crimp
原始文件名,Original File Name
原点定位特征,origin work feature
去毛刺,deburr
去除特征,defeaturing
参数,parameter
参照编辑器,Reference Editor
参考几何图元,reference geometry
参考刀具路径,referencing toolpaths
参考底图,underlay
参考底图几何图元,underlay geometry
参考线,pattern
参考线条目,pattern entity
参考设计,reference design
参考零部件,referenced component
双对称,twin-symmetric
反作用力,reaction force
反射率,reflectivity
反馈中心,Feedback Hub
发光强度,luminous intensity
取消锐化,uncrease
受约束对象,constrained object
变半径圆角,variable-radius fillet
变换变量,transform variant
可变速率着色,Variable Rate Shading
可视化文件,visualization file
同心,concentricity
名称冲突,name collision
名称空间声明,Namespace declarations
后台处理,background processing
后处理器,post processor
周节,circular pitch
啄钻退刀,pecking retract
喇叭形焊,flare v
喷淋管,cascade water junction
回路,loop
团队,team
固定,fixed
固定工作点,grounded work point
固定边拔模,fixed edge draft
图像帧缓冲区,image framebuffer
图像降噪,image denoise
图像降噪器,image denoiser
图层,layer
图形区域内工具,in-canvas tool
图形卡,graphics card
图形控制柄,graphic handle
图案填充,hatching
图纸栏,sheet bar
圆,circle
圆倒角样式,fillet style
圆周速度,circumferential speed
圆弧,arc
圆柱,cylinder
圆环,torus
圆角特征,fillet feature
圆锥,cone
圆锥浇口,circular tapered gate
在位编辑,edit in place
地平面,ground plane
地理编码管理器,geocode manager
地面阴影,ground shadow
场景板,sceneplate
坡口焊,groove weld
型腔,cavity
型芯,core
型芯背面,core back
基准参考框,datum reference frame
基准注释,datum note
基点,base point
基础凸缘,base flange
基类,base class
堆栈检查,stack check
塑料零件,plastic part
填充图案,fill pattern
填充末端压力,end of fill pressure
增材制造,AM
增材制造仿真,additive manufacturing simulation
增材制造技术,additive technology
壁厚,wall thickness
壁间隙,wall clearance
外侧拐角,exterior corner
外凸,convex
外半径,Outer radius
外径,OD
外角,outer angle
外部结构件,external frame
多个组合,multiple composites
多值,MultiValue
多夹具文档,multiple fixture document
多实体,multi-body
多腔模,multi-cavity mold
多边形化,polygonised
多边形延迟,polygon delay
天光环境,skylight environment
头节点,Headnode
夹具 ID,fixture ID
夹具偏移,fixture offset
夹头,chuck
夹头卡盘,chuck jaws
夹持间隙,holder clearance
套件工作流,Suite Workflows
子刀轴,sub-spindle
孔特征,hole feature
孔表,hole table
学生设计,student design
定位器,lock set
定位特征,work feature
定位环,location ring
定位面,landing surface
定向点,orientation point
实体,solid
实体支撑,Solid Support
实体类型,body type
实体面,solid face
实时更新,live update
实验性衍生式求解器和功能,Experimental Generative Solvers and Features
家长帐户,parent account
宽度,width
密封塞,sealing plug
密码策略要求,password policy requirement
对焦距离,focus distance
对称平面,symmetry plane
对象类别,object category
对齐定位,alignment
导向凹槽,pilot recess
导向孔,pilot hole
导点,guided point
导热管,heat transfer pipe
导线接线,wire run
导线进给速率,wire feedrate
导航栏,navigation bar
封口圆角,cap filleting
小工具栏,mini toolbar
局部坐标系,local coordinate system
层堆栈,layer stack
层间温度,interlayer temperature
层高,layer height
屈曲,buckling
屈服强度,yield strength
展开列表,Flat List
展开方式,unfold method
展开模式,flat pattern
嵌套绘图,nesting drawing
工作曲面,work surface
工作轴,work axis
工具栏,toolbar
工程图组,drawing group
带状电缆,ribbon cable
帧步长,frame step
帧缓冲区,framebuffer
常用材料,common material
平台夹具,plate fixture
平垫圈,plain washer
平整面,planar face
平滑,smooth
平滑模式,smoothing mode
平移,translation
平移帧,transition frames
平行平面,parallel plane
平行特征构造,parallel feature construction
平面,plane
平面曲线,planar curve
平面板参数,plate detail face
平面着色,flat shading
年度固定期限的使用许可,1-year subscription
应力分析,stress analysis
应变,strain
应变能,strain energy
应用,Apply
应用程序,application
底座挤出机,raft extruder
底板,Baseplate
开口铆钉,split rivet
开始点,start point
开始角,start angle
异形板,contour flange
引导轨道,guide rail
弯头,elbow
弯管管线,bent tubing route
弹簧垫圈,spring washer
当前目录,current directory
形位公差,feature control frame
形状,shape
循环,cycle
