source,target
「完成」面板,Finish panel
「繪製」面板,Draw panel
3D 列印,3D Print
ABF,ABF
Arcam EBM,Arcam EBM
ATU,ATU
Autodesk Vault Professional 版本,Autodesk Vault Professional edition
Autodesk 合作夥伴,Autodesk Partner
Autodesk 大師獎項,Autodesk Masters award
Autodesk 大師計劃,Autodesk Masters Program
Autodesk 專案,Autodesk Projects
Autodesk 製造業社群入口網站,Autodesk Manufacturing Community Portal
BINVOX,BINVOX
BOM 物件,BOM Object
CA 認證,CA certificates
Configurator 360,Configurator 360
COPPA,COPPA
Copy Design,Copy Design
CV,CV
CV 關聯線,CV hull
Dental Wings 印表機,Dental Wings printers
DirectX Runtime,DirectX Runtime
DPI,DPI
DSS,DSS
DTD,DTD
DTLS 伺服器,DTLS server
EBM,EBM
EDM,EDM
ELF 物件,ELF object
Fusion Lifecycle,Fusion Lifecycle
Fusion Modeling Data,Fusion Modeling Data
GATT 服務已變更,GATT Service Changed
Helius Composite,Helius Composite
Helius PFA,Helius PFA
HSV,HSV
I 型,I section
iCopy,iCopy
iFeatures,iFeatures
iLogic 設計複製,iLogic Design Copy
iPart 建立,iPart Author
iProperties,iProperties
ISTE,ISTE
JIT 選項,JIT option
L 型,L section
lbf,lbf
Live Enabler,Live Enabler
LRO,LRO
MachineDNA,MachineDNA
Mapbox 外掛程式,Mapbox plugin
MTT,MTT
NC 程式,NC Programs
NC 設置,NC setup
netfabb 引擎,netfabb Engine
NG,NG
NGSS,NGSS
O 型環,o-ring
OpenSSL,OpenSSL
PCRE,PCRE
POSIX,POSIX
POSIX 校勘元素,POSIX collating elements
PowerMill 增材,PowerMill Additive
PRM 檔案,PRM file
PRM 產生,PRM generation
Pro,Pro
Project Simulus,Project Simulus
RLE,RLE
Shera 印表機,Shera printers
Simulation Utility,Simulation Utility
SLS,SLS
SolidscapeDL 印表機,SolidscapeDL Printer
SSL 交握,SSL handshake
SSL 階段作業,SSL session
STL,STL
Straumann 印表機,Straumann printers
Structo Velox 印表機,Structo Velox printer
Thick Client,Thick Client
Thin Client,Thin Client
U 型,U Section
V 型皮帶,v-belt
Vault 中的版本,vaulted version
Vault 部落格,Vault blog
Vault 限制,vaulting restriction
Vin 並排,vin tiles
X 射線地面陰影,X-ray ground shadow
一般用途扁圓頭開口鉚釘,split rivet
上表層,upskin
上表層邊界多邊形,Upskin Border Polygon
下表層,downskin
下表層分析,downskin analysis
下表層邊界多邊形,Downskin Border Polygon
下頂出板,ejector plate
不動工作點,grounded work point
中心線,center line
中心軸線,centric axis
中心銷,center pin
中心點,centre point
中斷連結,Break Link
中軸,medial axis
主節點,Headnode
主要,Primary
主軸校正,Spindle calibration
交互亮顯,cross-highlighting
人性化介面裝置通訊協定,Human Interface Device Protocol
使用者資料包通訊協定,User Datagram Protocol
來源組件,source component
保留,reservation
修補曲面,patching surface
修訂標籤,revision tag
倒勾選項,Undercut option
倒圓角樣式,fillet style
倒斜角工具,chamfer tool
偏擺,yaw
偏移距離,offset distance
側型芯,side core
側面閉鎖器,side lock
元件可見性,component visibility
充填結束時的壓力,end of fill pressure
內部框架,internal frame
全周符號,all-around symbol
全圓圓角,full round fillet
公模,core
公母模仁胚料,workpiece
共同核心,Common Core
共射出成型,co-injection molding
冷卻液,coolant
冷料穴,cold slug
凸紋,bump
凸轂,boss
凸面,convex
刀具,tool
刀具實體,tool entity
刀具組件,tool assembly
刀具資料庫,tool database
刀具路徑,toolpath
刀具路徑工作座標,toolpath workplane
刀具路徑線段,toolpath segments
刀具路徑編輯功能表,Toolpath Edit menu
刀具路徑計算,Toolpath Calculation
刀具路徑點,toolpath points
刀尖半徑,tool tip radius
刀桿輪廓,Shank profile
刀桿間隙,Shank clearance
刀軸,tool axis
刀間距,stepover
分型線,runoff loop
分型面,runoff surface
分支連接,branch connection
分模設計,parting design
分模診斷,parting diagnostic
分模面,split surface
切削深度,depth of cut
切削補償,cutter compensation
切線方向,tangent direction
制動扭矩,braking torque
剪切率,shear rate
剪切生熱,shear heating
割面線,cutting line
功能設計,functional design
加壓接頭,pressed joint
加工刀具路徑,machining toolpath
動態預覽,dynamic preview
動畫畫面,animation footage
包封,air trap
包膜,shrinkwrap
包膜替代件,shrinkwrap substitute
印花,decal
即時更新,live update
卷曲,crimp
厚度,thickness
原始檔名,Original File Name
原點工作特徵,origin work feature
參考刀具路徑,referencing toolpaths
參考底圖,underlay
參考底圖幾何圖形,underlay geometry
參考線實體,pattern entity
反作用力,reaction force
反射,reflectivity
受約束的物件,constrained object
可塑性零件,plastic part
同圓心,concentricity
周節,circular pitch
命令視窗,command window
命名空間宣告,Namespace declarations
啟動台,Launchpad
單一故障點,Single Point of Failure
單一複合,single composite
四分之一剖面視圖,quarter section view
