source,target
3D tisk,3D Print
aditivní technologie,additive technology
aditivní výroba FFF,FFF additive manufacturing
AFR,AFR
aktuální adresář,current directory
Alias,Alias
alternativní jednotky,alternate unit
americké promítání,third-angle projection
analytický povrch,analytical surface
analýza průřezu,cross section analysis
asociativita povrchu,surface associativity
Autodesk Desktop Connector,Autodesk Desktop Connector
automatická kontrola,automatic verification
automatické řazení,automatic ordering
automatické řetězení ploch,automatic face chain
automatické rozpoznání prvku,automatic feature recognition
automatické trasování,automatic routing
Autor iSoučásti,iPart Author
blokovací jednotka,lock set
boční tvárník,side core
boční zámek,side lock
bod kvadrantu,quadrant point
bod zanoření,plunge point
bodů na palec,dots per inch
box ohraničení,Bounding Box
brzdný moment,braking torque
čára řezu,cutting line
čelist,chuck
čelní ozubené kolo,spur gear
chladicí médium,coolant
číslo položky,item number
člen,member
CNC,CNC
Configurator 360,Configurator 360
copy design,copy Design
čtvrtinový řez,quarter section view
CV,CV
cyklus,cycle
data dříku nástroje,tool shank data
databáze nástrojů,tool database
dělicí povrch,runoff surface
deska vyhazovače,ejector plate
Desktop Connector,Desktop Connector
detail nosníku,beam detail
diagnostika dělení,parting diagnostic
diskusní skupina,newsgroup
dorazový kolík,stop pin
DPI,DPI
dráha nástroje,machining toolpath
dráhy vrtání,drilling toolpaths
drážka,groove
drážková fréza,slot mill
DRF,DRF
dřík,shank
dřík nástroje,tool shank
DSS,DSS
dutina,cavity
dynamický náhled,dynamic preview
edice Autodesk Vault Professional,Autodesk Vault Professional edition
editor křivek,curve editor
Editor Obsahového centra,Content Center Editor
EDM,EDM
elektrické vlastnosti svorkovnice,terminal electrical properties
elektroerozivní obrábění,electric discharge machining
elektronický měřič vzdáleností,electronic distance meter
entita nástroje,tool entity
exporty databází,database exports
expresní režim,Express mode
extrahovat,extract
FFF,FFF
filtr stavu životního cyklu,Lifecycle State Filter
forma,mold
forma s více dutinami,multi-cavity mold
formát schématu revizí,revision scheme format
fragment,snippet
fragment kódu,code snippet
frézovací nástroj,milling tool
fronta úloh,job queue
funkční navrhování,functional design
Fusion Lifecycle,Fusion Lifecycle
fúze tavení kovového prášku,metal powder bed fusion
fyzický materiál,physical material
generátor sítě,mesher
Generátor výrazů,Expression Builder
generování podpor,support generation
geometrická tolerance,feature control frame
geometrický prvek,geometric feature
geometrie,geometry
geometrie podložení,underlay geometry
geometrie sondy,probe geometry
g-funkce,GCode
grafická karta,graphics card
Helius Composite,Helius Composite
Helius PFA,Helius PFA
hladina,layer
hloubka řezu,depth of cut
horizontální oblouk,horizontal arc
housenka,caterpillar
hranice kontaktního bodu,contact point boundary
hraniční záplata,boundary patch
hromadné načtení,bulk load
hrubovací řez,roughing slice
hrubování modelu,Model area clearance
HSV,HSV
hydraulické tváření,hydroforming
I profil,I section
iCopy,iCopy
ID počátku,fixture ID
identifikační kód pro recyklaci,resin identification code
iFeatures,iFeatures
IFR,IFR
ilustrace náčrtu,sketch illustration
iniciativa Common Core,Common Core
interaktivní rozpoznání prvků,Interactive Feature Recognition
iProperties,iProperties
izočára,isoline
jazykový balíček,language pack
jeden kompozitní,single composite
jednobodové selhání,Single Point of Failure
kabelová lávka,cable tray
kaskádový vodní spoj,cascade water junction
kaskádový vtok,valve gate
kinematický řetěz,kinematic chain
klín,wedge
Knihovna obsahu,content library
knihovna položek,asset library
knihovna spojovacích součástí,Fasteners library
kolečko Plná navigace,Full Navigation wheel
koleno,elbow
kolík otvoru tvárníku,core pin
kolík vyhazovače,ejector pin
kolize prvků,feature collision
kompozitní křivka,composite curve
koncový bod,end point
konec dráhy nástroje,toolpath tail
konektor,connector
konflikty návrhu,design conflict
konstrukční prvek,structural member
kontura,contour
konvexní,convex
kopie modelu iLogic,iLogic Design Copy
korekce nástroje,cutter compensation
kosmetické svarové housenky,cosmetic weld bead
krček,neck
kreslicí plocha,canvas
křídlatý šroub,thumb screw
krok,stepover
kuličkový šroub,ball screw
kuželový vtok,circular tapered gate
L profil,L section
lapač součásti,part catcher
libovolné úpravy,freeform edit
licenční server,license server
licí kanál,sprue
limity modelu,model limits
linie roztavení,weld line
lisovaný spoj,pressed joint
Live Enabler,Live Enabler
Live Update,live update
