source,target
3D-Anordnung,3D Packing
3D-Druck,3D Print
abhängiges Objekt,constrained object
Abhängigkeit,constraint
Abhängigkeit Koinzident,coincident constraint
Abhängigkeiten ableiten,infer constraints
Abhängigkeitsstatus,constraint status
Ableitung,inference
Abrundung der Rippe,rib fillet
Abstand und Winkelfase,distance and angle chamfer
Abstandswert,clearance value
Abwicklung,flat pattern
Abwicklungsmethode,unfold method
Abziehbild,decal
Abzweigungsverbindung,branch connection
AD,OD
Adaptive Clearing,adaptive clearing
adaptive Verfeinerung,adaptive refinement
additive Fertigung von Pulverbettmetall,powder bed metal additive manufacturing
additive Fertigungssimulation,additive manufacturing simulation
additive FFF-Fertigung,FFF additive manufacturing
additive Technologie,additive technology
Admin,admin
Administrator,administrator
AF,AM
AFE,AFR
aktuelles Verzeichnis,current directory
Alias,Alias
Alternativeinheit,alternate unit
Analysezeit,analysis time
Änderungsauftrag,change Order
Anflachung,spotface
angeordnetes Element,pattern feature
angrenzende Flächen,automatic face chain
Anguss,sprue
Angussbuchse,sprue bushing
Anmeldedaten für Identitätswechsel,impersonating user
Anschnitt,gate
Ansichtsbereich,canvas
Anspritzkegel,injection cone
Anspritzpunkt,injection location
Antastgeometrie,probe geometry
Antastmodus,probe mode
Antasttyp,probe type
Anwenden,Apply
Anwendung,application
Arbeitsachse,work axis
Arbeitsbereich Elektronik,electronics workspace
Arbeitsbereich Ergebnisse,results workspace
Arbeitsbereich Modell bearbeiten,edit model workspace
Arbeitsbereich Vereinfachen,simplify workspace
Arbeitselement,work feature
Arbeitsfläche,work surface
Arbeitsgruppe,workgroup
Artikelnummer,item number
Artikelrevision,item revision
assoziative Leiterplatte,associative PCB
Attribut für kritische Temperatur,critical temperature attribute
Auflagereinstellungen,support settings
Auflagergenerierung,support generation
Auftragsschicht,deposition layer
Aufwickel-Assistent,Wrap Wizard
Ausdrehen,bore
Ausdruckserstellung,Expression Builder
Ausgangsebene,ground plane
Ausgangskurve,seed curve
Ausgangsposition,home location
Ausgangspunkt,Seed point
Ausgerichtete Schnittansicht,aligned section view
Ausrichtung,alignment
Ausrichtungspunkt,orientation point
Ausschnitt,snippet
Außenecke,exterior corner
Außenradius,Outer radius
äußerer Winkel,outer angle
Auswahl-Puck,puck
Auswerferplatte,ejector plate
Auswerferstift,ejector pin
Autodesk Vault Professional Edition,Autodesk Vault Professional edition
Autodesk-Partner,Autodesk Partner
Autodesk-Projekte,Autodesk Projects
Autodesk-Richtlinien für die Mensch-Maschine-Schnittstelle,Autodesk Human Interface Guidelines
automatisch akzeptieren,auto-accept
automatische Anordnung,automatic ordering
automatische Feature-Erkennung,automatic feature recognition
automatische Überprüfung,automatic verification
