source,target
ABF,ABF
acabado superficial,surface texture
Aceptar,Accept
Activación directa,Live Enabler
actualización directa,live update
aditiva,additive
administrador,administrator
administrador de Fusion Team,Fusion Team administrator
administrador de geocodificación,geocode manager
Administrar extensión,Manage Extension
agarre,gripper
agujero abocardado,counterdrill hole
agujero avellanado,countersink hole
agujero ciego,blind hole
agujero compuesto,compound hole
agujero escariado,counterbore hole
agujero piloto,pilot hole
agujero trivial,trivial hole
ajuste de campo,field fit
ajuste rotacional,rotational adjustment
alineación,alignment
almacén de archivos,filestore
altura de capa,layer height
análisis de pandeo estructural,structural buckling study
análisis de secciones transversales,cross section analysis
análisis de simulación de procesos,process simulation study
análisis de superficie inferior,downskin analysis
análisis de tensión,stress analysis
análisis de tensión estática no lineal,nonlinear static stress study
anchura,width
angularidad,angularity
ángulo de entrada,lead angle
ángulo de raya,stripe angle
ángulo de saliente,overhang angle
ángulo del eje de la herramienta,tool axis angle
ángulo externo,outer angle
ángulo final,end angle
ángulo inicial,start angle
ángulo no dirigido,undirected angle
anidación,nesting
anilla anular,annular ring
anilla de centrado,location ring
anillo de humo,smoke circle
anillo de seguridad,circlip
animación de ejemplo,Show Me animation
anotación,annotation
anulación del desahogo de plegado,bend relief override
aplicación,application
Aplicar,Apply
Aprendizaje de Inventor 2010,Learning Inventor 2010
arandela Beleville,Belleville spring
arandela de ajuste,shim ring
arandela hexagonal,hex washer
arandela ondulada,crinkle washer
arandela redonda,round washer
árbol de secuencia,sequence tree
Arcam EBM,Arcam EBM
archivo de diseño,design file
archivo de registro de diagnóstico,diagnostic log file
archivo de visualización,visualization file
archivo PRM,PRM file
arco,arc
arco horizontal,horizontal arc
arco normal a superficie,surface normal arc
área inclinada,steep area
área plana,shallow area
arista de boceto,sketch edge
aristas cerradas,closed edge
arrastre libre,free drag
asignación de nodo de hoja,leaf node mapping
asignación de propiedades,property mapping
Asistente de envoltura,Wrap Wizard
asistente de refrigeración,cooling wizard
asociatividad de superficies,surface associativity
aspecto estándar,standard appearance
aspecto realista,realistic appearance
atrapamiento de aire,air trap
ATU,ATU
auto aceptar,auto-accept
auto dibujar herramienta,auto-draw tool
Autodesk Vault Professional Edition,Autodesk Vault Professional edition
avance,feed rate
bajar de nivel,demote
banda de tolerancia,tolerance band
bandeja de cables,cable tray
barra de herramientas,toolbar
barra de navegación,navigation bar
barra deslizante,slider
barrido,sweep
base,raft
base de datos de herramientas,tool database
bebedero,sprue
biblioteca de contenido,content library
biblioteca de fiadores,Fasteners library
biblioteca de herramientas,tool library
biblioteca de materiales de Fusion,Fusion material library
biblioteca de objetos,asset library
biblioteca de piezas personalizadas,custom part library
BINVOX,BINVOX
biselar,miter
blog de Vault,Vault blog
bloque,stock
bloqueo lateral,side lock
boceto de trayectoria,path sketch
booleano,bool
boquilla,collet
brazo de agarre,gripper arm
brida de collar para soldadura,welding neck flange
broca de puntear,spot drill
búfer de datos,data buffer
cabezal de impresión,print head
cable de arco eléctrico,electric arc wire
cable plano,ribbon cable
cadena cinemática,kinematic chain
cadena de caras automática,automatic face chain
caída de presión,pressure drop
calco subyacente,underlay
calcomanía,decal
cálculo de la ruta de impresión,Toolpath Calculation
calentamiento por esfuerzo cortante,shear heating
calibración,calibration
calibración del husillo,Spindle calibration
caña,shank
caña de la herramienta,tool shank
capa,layer
capa de deposición,deposition layer
cara,face
cara coincidente,mating face
cara de chapa,sheet metal face
cara de referencia en la chapa,plate detail face
cara de superficie,surface face
cara plana,planar face
cara sólida,solid face
característica predefinida,placed feature
carga de la pieza,body load
carga de torsión,torque load
carga en masa,bulk load
carga global angular,angular global load
carga global lineal,linear global load
carga transitoria,transient load
casquillo de bebedero,sprue bushing
categoría de objeto,object category
caudal,flow rate
cavidad,cavity
cazador de piezas,part catcher
centrador,interlock
Centro de recursos,Launchpad
cerrar plano,close flat
certificados de CA,CA certificates
chaflán,chamfer
chaflán de nervio,rib chamfer
ciclo,cycle
ciclo fijo,canned cycle
ciclos de taladrado,drilling cycles
cilindro,cylinder
cinta,ribbon
clase base,base class
CLDATA,CLDATA
CNC,CNC
CO,CO
codebase,codebase
código CN,NC code
código de identificación de la resina,resin identification code
codo,elbow
codo de retorno cerrado,closed return bend
coeficiente de Poisson,Poisson ratio
cola de ruta de herramienta,toolpath tail
colisión,collision
colisión de punta,gouge
Common Core,Common Core
compensación de herramienta,cutter compensation
complejidad del modelo,model complexity
componente,component
componente de destino,target component
componente de origen,source component
componente inactivo,inactive component
componente raíz,root component
compuerta de válvula,valve gate
con ranura en cruz,cross recessed
concentricidad,concentricity
conductor,Rider
conector de conducto,duct connector
Conector de la máquina,Machine Connector
conexión autodenudante,insulation displacement
conexión de ramificación,branch connection
conexión de red de acceso telefónico,dial-up network connection
configuración,settings
configuración CN,NC setup
configurar SCU,setup WCS
Configurator 360,Configurator 360
conflicto de diseño,design conflict
conflicto de nombre,name collision
conjunto de figuras,feature set
cono,cone
cono de inyección,injection cone
construcción de funciones,feature construction
construcción de operaciones paralelasparalelo,parallel feature construction
contorno de partición,runoff loop
contorno simplificado,shrinkwrap
Control deslizante de tiempo,time slider
control gráfico,graphic handle
control Haas,Haas control
controlador,handle
controlador CNC,CNC controller
controlador recto de spline,bowtie
conversión,translation
convertir en ladrillos,brickify
convexo,convex
coordenada,coordinate
Copia de diseño de iLogic,iLogic Design Copy
COPPA,COPPA
cordón de soldadura ficticio,cosmetic weld bead
correa trapezoidal,v-belt
cota continua,chain dimension
Creador inteligente de superficies,Smart Surfacer
Crear iPart,iPart Author
Crecer hasta el recuadro,Grow to Box
cuadrícula,grid
cuadrícula de la lista de materiales,BOM grid
cuadro de diálogo de configuración,setup dialog
cuadro suave,soft box
cuello,neck
cuenta de Vault,Vault account
cuenta parental,parent account
cuerpo base,base body
cuerpo de la sonda,probe body
cuerpo de superficie,surface body
cursor inteligente,intelligent cursor
curva,curve
curva base,seed curve
curva compuesta,composite curve
curva drive,drive curve
curva plana,planar curve
CV,CV
daño de soldadura,weld damage
Data Standard,Data Standard
datos de medición,measurement data
datos en la nube,cloud data
DE,OD
declaraciones de espacio de nombres,Namespace declarations
deducción,inference
deducir restricciones,infer constraints
definición de símbolo,symbol definition
deformación,strain
desarrollo,flat pattern
desfase de ejes,axis offset
desfase de fijación,fixture offset
desfase de raya,Stripe Offset
designación de rosca,thread designation
Desktop Connector,Desktop Connector
despeje,overtravel
detalle de viga,beam detail
diagnóstico de partición,parting diagnostic
diagrama de carga,load diagram
diámetro,diameter
diámetro de rosca,thread diameter
diámetro de taladro,drill diameter
diámetro primitivo,pitch diameter
diámetro superior del eje,shaft upper diameter
dibujo de aristas fija,fixed edge draft
dimensión,dimension
dirección,direction
dirección de desmoldeo,pull direction
dirección de la cara,face direction
dirección de la veta,grain direction
dirección de rotación,rotary direction
dirección tangente,tangent direction
directorio actual,current directory
Directrices de la interfaz humana de Autodesk,Autodesk Human Interface Guidelines
DirectX Runtime,DirectX Runtime
diseño de estudiante,student design
diseño de máquina,machine design
diseño de partición,parting design
diseño funcional,functional design
distancia de seguridad de la caña,Shank clearance
distancia de seguridad del portaherramientas,holder clearance
distanciómetro,electronic distance meter
distribución de puntos,point distribution
Distribuidor de Autodesk,Autodesk Partner
DPI,DPI
DSS,DSS
DTD,DTD
DWF visualization,DWF
EBM,EBM
edición de forma libre,freeform edit
edición in situ,edit in place
editor de curvas,curve editor
Editor del Centro de contenido,Content Center Editor
EDM,EDM
eje B,B axis
eje C,C axis
eje de centrado,centric axis
eje de rotación B,rotary B axis
eje de rotación C,rotary C axis
eje de trabajo,work axis
eje medio,medial axis
electrodo,electrode
electroerosión por hilo,Electro Discharge Machining
elemento,element
elemento de programa NC,NC Program item
elemento del patrón de ensamblaje desactivado,suppressed assembly pattern element
elemento del patrón restablecido,restored pattern element
elemento estructural,structural member
elementos de ordenación POSIX,POSIX collating elements
elevación,elevation
ELS,SLS
empalme,cap filleting
empalme de curvatura continua,curvature continuous fillet
empalme de nervio,rib fillet
empalme de radio constante,constant-radius fillet
empalme de radio variable,variable-radius fillet
empalme de superficie,surface fillet
empalme envolvente,full round fillet
empalme estándar,rule fillet
encadenado,chaining
energía de deformación,strain energy
engranaje helicoidal,worm gear
engranaje recto,spur gear
enrutamiento automático,automatic routing
enrutamiento de tubería curva,bent tubing route
ensamblaje de herramienta,tool assembly
entalladura,undercut
entidad de herramienta,tool entity
entidad de patrón,pattern entity
entorno de fabricación,manufacturing environment
entorno gestual,gesture behavior
entrada cónica circular,circular tapered gate
entramado,lattice
envolvente de la máquina,machine envelope
equipo,team
equipo SLM,SLM machine
escalar,scale
espacio de construcción,buildroom
espesor,thickness
espesor de capa,Layer Thickness
esquema de revisión,revision scheme
esquina exterior,exterior corner
estilo de llamada,callout style
estilo de redondeo,fillet style
estilo de redondeo de esquina,corner filleting style
estimación de tiempo,time estimation
estrategia,strategy
estrategia de desbaste,roughing strategy
estrategia de mecanizado de líneas de flujo,flowline machining strategy
estrategia de transformación,morph strategy
estructura de referencia,datum reference frame
estructura externa,external frame
estructura interna,internal frame
estudio de simulación de moldeado por inyección,injection molding simulation study
explorador de proyectos,project explorer
exportación de base de datos,database exports
expulsor,ejector
extensión de fabricación,manufacturing extension
extensión de mecanizado,Machining extension
extremo,terminator
extrusión insuficiente,under-extrusion
extrusor,extruder
FA,AM
fabricación aditiva de metal del lecho de polvo,powder bed metal additive manufacturing
fabricación de aditivos de FFF,FFF additive manufacturing
factor de tolerancia de suavizado,smoothing tolerance factor
FFF,FFF
fichero MD,MD file
ficheros de modelos,model files
fijación,fixturing
fijación de placa,plate fixture
fijación múltiple,multiple fixture document
filamento,filament
Flex,Flex
flujo de trabajo aditivo,additive workflow
flujo de trabajo de SLM optimizado,optimized SLM workflow
flujo volumétrico,volumetric flow rate
Flujos de trabajo de suite,Suite Workflows
forma,shape
forma de soporte con paredes finas,thin-walled support shape
forma del contorno,bounding shape
forma libre,freeform shape
formación de virutas,chip formation
formato de revisión,revision format
fresa cónica,tapered mill
fresa de contorno,form mill
fresa de ranura,slot mill
fuerza de cierre máxima,maximum clamp force
fuerza de reacción,reaction force
funciones de CAM,CAM capabilities
Funciones y solucionadores generativos experimentales,Experimental Generative Solvers and Features
fusión de lecho de polvo metálico,metal powder bed fusion
Fusion Electronics,Fusion Electronics
Fusion Lifecycle,Fusion Lifecycle
Fusion Modeling Data,Fusion Modeling Data
G-Code,GCode
generación de PRM,PRM generation
generación de soportes,support generation
generaciones aumentadas,coarsening generations
Generador de entramados,Lattice Commander
Generador de expresiones,Expression Builder
generador de mallas,mesher
Generate LUA Snippet,LUA
geodésica,geodesic
geometría,geometry
geometría de capa subyacente,underlay geometry
geometría de conservación,preserve geometry
geometría de obstáculo,obstacle geometry
geometría de sonda,probe geometry
gestor,moderator
Gestor de documentos,Document Manager
grosor de muro,wall thickness
grupo de dibujos,drawing group
grupo de figuras,feature group
grupo de inspección de superficies,surface inspection group
grupo de mediciones simples,simple measures group
grupo de noticias,newsgroup
