source,target
analyyttinen pinta,analytical surface
Autodesk Masters Awards,Autodesk Masters award
Autodesk Masters Program,Autodesk Masters Program
Autodesk-kumppani,Autodesk Partner
yhdistävä pinta,blend surface
DPI,DPI
DSS,DSS
EDM,EDM
pyöristys,fillet
Fusion,Fusion
iCopy,iCopy
iFeatures,iFeatures
rajoitteen johtaminen,infer constraints
iProperties,iProperties
kielipaketti,language pack
uusien ominaisuuksien workshop,new features workshop
orgaaninen mallinnus,organic modeling
tasopinta,planar face
Pro,Pro
reunan luonnostelu,sketch edge
pinnan normaalit,surface normal
Thick Client,Thick Client
Thin Client,Thin Client
pohjakuva,underlay
Vault,Vault
