source,target
à double symétrie,twin-symmetric
ABF,ABF
Accepter,Accept
accepter automatiquement,auto-accept
Accroître par boîte,Grow to Box
acier – satiné,steel satin
Activation directe,Live Enabler
affichage boîte,box display
affichage filaire,wireframe display
affichage simple,smooth display mode
afficher l'outil,auto-draw tool
affinement adaptatif,adaptive refinement
affleurement,flush
ajustement de la rotation,rotational adjustment
ajustement de surface,surface trimming
alésage,bore
alignement de la pièce,part alignment
âme,web
analyse de la partie inférieure,downskin analysis
analyse des contraintes,stress analysis
analyse des sections,cross section analysis
angle de départ,start angle
angle de dépouille,draft angle
angle de fin,end angle
angle de l'axe d'outil,tool axis angle
angle de surplomb,overhang angle
angle des bandes,stripe angle
angle externe,outer angle
angle longitudinal,lead angle
angle non dirigé,undirected angle
animation de démonstration,Show Me animation
anneau élastique,circlip
annuler le pli,uncrease
aperçu,preview
aperçu de l'extrusion,preview extrusion
aperçu dynamique,dynamic preview
apparence réaliste,realistic appearance
apparence standard,standard appearance
application,application
Appliquer,Apply
Apprentissage Inventor 2010,Learning Inventor 2010
appuyer/tirer,Press/Pull
arborescence,tree view
arborescence des noeuds,leaf node mapping
arc,arc
arc de la normale à la surface,surface normal arc
arc horizontal,horizontal arc
arête de plan de joint,runoff loop
arête fermée,closed edge
assemblage clinché,pressed joint
assemblage d'outil,tool assembly
assistant circuit de refroidissement,cooling wizard
assistant d'enroulement,Wrap Wizard
associativité de surface,surface associativity
Atelier des nouvelles fonctionnalités,New Features Workshop
attachement,fixturing
ATU,ATU
autosymétrique,self symmetric
avant-trou,pilot hole
axe,axis
axe B,B axis
axe C,C axis
axe central,center line
axe centré,centric axis
axe de construction,work axis
axe médian,medial axis
axe rotatif B,rotary B axis
axe rotatif C,rotary C axis
bac à feuilles,foil reservoir
bague de centrage,location ring
balayage,sweep
bande,stripe
bande de tolérance,tolerance band
barre d'alésage,boring bar
barre de navigation,navigation bar
barre d'outils,toolbar
base de données d'outil,tool database
Being Inventive,Being Inventive
bibliothèque de contenu,content library
bibliothèque de fixations,Fasteners library
bibliothèque de pièces personnalisées,custom part library
bibliothèque des équipements,asset library
BIM 360,BIM 360
BINVOX,BINVOX
boîte à lumière,soft box
boîte englobante,bounding box
bord tombé suivant profil,contour flange
bossage,boss
bouchon,sealing plug
