source,target
3D पैकिंग,3D Packing
3D प्रिंट,3D Print
AFR,AFR
Alias,Alias
AM,AM
Autodesk पार्टनर,Autodesk Partner
Autodesk प्रोजेक्ट्स,Autodesk Projects
Autodesk मानव इंटरफ़ेस दिशानिर्देश (HIG),Autodesk Human Interface Guidelines
Autodesk वॉल्ट प्रोफ़ेशनल एडिशन,Autodesk Vault Professional edition
B ऐक्सिस,B axis
BOM,BOM
BOM Oऑब्जेक्ट,BOM Object
BOM ग्रिड,BOM grid
C ऐक्सिस,C axis
CAM क्षमताएं,CAM capabilities
CAM प्रोग्रामिंग,CAM programming
CLDATA,CLDATA
CMM,CMM
CNC,CNC
CNC कंट्रोलर,CNC controller
COPPA,COPPA
CV,CV
CV पतवार,CV hull
DirectX Runtime,DirectX Runtime
DOF,DOF
DPI,DPI
DSS,DSS
dxf,dxf
EBM,EBM
EDM,EDM
F3Z,F3Z
FEA मेश,FEA mesh
FFF,FFF
FFF प्रिंट,FFF print
FFF मशीन,FFF machine
FFF योगात्मक विनिर्माण,FFF additive manufacturing
Fusion PCB,Fusion PCB
GCode,GCode
GTC,GTC
HSV,HSV
iCopy,iCopy
ID 2019 Add-In,ID 2019 Add-In
iFeatures,iFeatures
IFR,IFR
iLogic डिज़ाइन कॉपी,iLogic Design Copy
iPart Author,iPart Author
iProperties,iProperties
ISO,ISO
ISTE,ISTE
kPa,kPa
L सेक्‍शन,L section
MachineDNA,MachineDNA
MD फ़ाइल,MD file
MultiValue,MultiValue
NC प्रोग्राम,NC program
NC प्रोग्राम आइटम,NC Program item
NC प्रोग्राम्स,NC Programs
NC सेटअप,NC setup
NG,NG
NGSS,NGSS
OD,OD
o-रिंग,o-ring
PCB,PCB
PCB फ़ीचर,PCB feature
PDF पब्लिश,PDF Publish
Pozidriv,Pozidriv
PRM जनरेशन,PRM generation
PRM फ़ाइल,PRM file
Simulation CFD 3D Viewer,Simulation CFD 3D Viewer
Simulation CFD Viewer,Simulation CFD Viewer
SLM मशीन,SLM machine
SLS,SLS
SolidscapeDL Printer,SolidscapeDL Printer
SVG,SVG
U सेक्शन,U section
UCS,UCS
WCS,WCS
XBUILD,XBUILD
अंडरकट,undercut
अंडरकट विकल्प,Undercut option
अंत उपचार,end treatment
अंत कोण,end angle
अंतर,gap
अंतराल,interval
अंतिम तन्यता क्षमता,ultimate tensile strength
अंतिम बिंदु,end point
अधिकतम क्लैंप बल,maximum clamp force
अध्ययन का प्रकार,study type
अनुकूलित SLM वर्कफ़्लो,optimized SLM workflow
अनुकूली परिशोधन,adaptive refinement
अनुकूली समाशोधन,adaptive clearing
अनुक्रम वृक्ष,sequence tree
अनुमति नियंत्रण,permission control
अनुमान,inference
अनुवाद,translation
अपघर्षक प्रवाह दर,abrasive flow rate
अप्रत्यक्ष कोण,undirected angle
अभिविन्यास बिंदु,orientation point
अभिसरण कथानक,convergence plot
असंपीड्य सामग्री,incompressible material
असेंबली पैटर्न,assembly pattern
असेंबली बाधा,assembly constraint
असेट लाइब्रेरी,asset library
आंतरायिक वेल्ड,intermittent weld
आंतरिक ताप,internal heat
आंतरिक ताप लोड,internal heat load
आंतरिक ताप लोड प्रकार,internal heat load types
आंतरिक ताप लोड विशेषता,internal heat load attribute
आंतरिक फ़्रेम,internal frame
आइटम नंबर,item number
आइटम विलोपन प्रतिबंध,item deletion restrictions
आइटम संशोधन,item revision
आइटम संशोधन नंबर,item revision number
आइसोलाइन,isoline
आई सेक्शन,I section
आकार,shape
आधार चेहरा,base face
आधार निकला हुआ किनारा,base flange
आधार निकाय,base body
आधार बिंदु,base point
आयत,rectangle
आयाम,dimension
आर्क,arc
आविष्कारक व्यू,inventor View
इंजेक्शन कोन,injection cone
इंजेक्शन मोल्डिंग सिमुलेशन अध्ययन,injection molding simulation study
इंजेक्शन लोकेशन,injection location
इंजेक्शन-संपीड़न मोल्डिंग,injection-compression molding
इंटरलॉक,interlock
इंटरैक्टिव फ़ीचर पहचान (IFR),Interactive Feature Recognition
इजेक्टर,ejector
इजेक्टर पिन,ejector pin
इजेक्टर प्लेट,ejector plate
इजेक्शन तापमान,ejection temperature
इजेक्शन दिशा बटन,ejection direction button
इतिहास मार्कर,history marker
इन-कैनवास टूल,in-canvas tool
इन्सुलेशन विस्थापन,insulation displacement
इलेक्ट्रिक आर्क वायर,electric arc wire
इलेक्ट्रिक डिस्चार्ज मशीनिंग,electric discharge machining
इलेक्ट्रॉनिक दूरी मीटर (EDM),electronic distance meter
इलेक्ट्रॉनिक्स कार्यक्षेत्र,electronics workspace
इलेक्ट्रॉनिक्स कूलिंग,electronics cooling
इलेक्ट्रॉनिक्स घटक,electronics component
इलेक्ट्रो डिस्चार्ज मशीनिंग,electro discharge machining
इलेक्ट्रोड,electrode
इवेंट सिमुलेशन,event simulation
उत्थानक,lifter
उत्पादन संस्करण,production version
उथला क्षेत्र,shallow area
उद्देश्य सीमाएं,objective limits
उन्नत सिमुलेशन अध्ययन,advanced simulation study
उपधुरी,subspindle
उप-धुरी,sub-spindle
उपयोगकर्ता का प्रतिरूपण करना,impersonating user
उपयोगकर्ता समन्वय प्रणाली,user coordinate system
ऊंचाई,elevation
एकत्रीकरण,concentricity
एकल समग्र,single composite
एकाधिक सम्मिश्रण,multiple composites
एकाधिक स्थिरता दस्तावेज़,multiple fixture document
एक्स निकासी स्थिति,X clearance position
एक्सट्रूडर,extruder
एक्सप्रेशन बिल्डर,Expression Builder
एक्सप्रेस मोड,Express mode
एक्सप्लोरर विंडो,Explorer Window
एक्स-रे ग्राउंड छाया,X-ray ground shadow
एक्सेल,axle
एज,edge
एज इंडेक्स,edge index
एज लैम्ब्डा,edge lambda
एडिट इन-प्लेस,edit in place
एडिट मॉडल कार्यक्षेत्र,edit model workspace
एनीमेशन फ़ुटेज,animation footage
एल्बो,elbow
एसोसिएटिव PCB,associative PCB
ऐक्सिस,axis
ऐडमिन,admin
ऐप्लिकेशन,application
ऑटो-ड्रा टूल,auto-draw tool
ऑर्डर बदलें,change order
ऑल-अराउंड प्रतीक,all-around symbol
ओरिएंटेशन वैक्टर,orientation vectors
ओरिजनल फ़ाइल नाम,original file name
ओवरहैंग कोण,overhang angle
कंप्यूटेनोड,computenode
कटर मुआवजा,cutter compensation
कटिंग लाइन,cutting line
कटौती की गहराई,depth of cut
कठिन संक्रमण,hard transition
कठोरता आनुपातिक,stiffness proportional
कनेक्टर,connector
कनेक्टर पिन,connector pin
कमांड विंडो,command window
काउंटरड्रिल छेद,counterdrill hole
काउंटरबोर छेद,counterbore hole
काउंटरसिंक छेद,countersink hole
कार्यनीति,strategy
कार्यात्मक डिज़ाइन,functional design
कुलिंग फ़ैन पार्ट,cooling fan part
कुलिंग विज़ार्ड,cooling wizard
कृमि गियर,worm gear
केंद्र पिन,center pin
केंद्र बिंदु,centre point
केंद्र रेखा,center line
केन्द्रित ऐक्सिस,centric axis
केबल ट्रे,cable tray
कैनवास,canvas
कैप फ़िलेटिंग,cap filleting
कैलिब्रेशन,calibration
कॉन्टेंट लाइब्रेरी,content library
कॉन्टेंट सेंटर एडिटर,Content Center Editor
कॉन्फ़िगरेशन प्रशासक,Configuration Administrator
कॉमन कोर,Common Core
कॉर्नर की त्रिज्या,corner radius
कॉर्नर फ़िलेटिंग,corner filleting
कॉर्नर फ़िलेटिंग शैली,corner filleting style
कॉलआउट शैली,callout style
कॉस्मेटिक वेल्ड बीड,cosmetic weld bead
कोआर्डिनेट,coordinate
को-इंजेक्शन मोल्डिंग,co-injection molding
कोटिंग,coating
कोड स्निपेट,code snippet
कोडबेस,codebase
कोण की स्थिति,angularity
कोणीय गति,angular speed
कोणीय वेग,angular velocity
कोणीय वैश्विक भार,angular global load
कोन,cone
कोर,core
कोर पिन,core pin
कोलिट,collet
कोल्ड स्लग,cold slug
क्रमांकन योजना,numbering scheme
क्रमांकन योजनाएं,numbering schemes
क्रॉस सेक्शन विश्लेषण,cross section analysis
क्रॉस-हाइलाइटिंग,cross-highlighting
क्लाउड क्रेडिट कार्य,cloud credit task
क्लाउड क्रेडिट बैलेंस,cloud credit balance
क्लाउड डेटा,cloud data
क्लिप प्लेन,clip planes
क्षणिक भार,transient load
क्षेत्र की गहराई,depth of field
क्षैतिज आर्क,horizontal arc
खिंचाव,strain
खिंचाव की ऊर्जा,strain energy
गतिज श्रृंखला,kinematic chain
गतिशील पूर्वावलोकन,dynamic preview
गतिशील बिंदु,dynamic point
गेट,gate
गैर उत्पादन,non-production
गैर-आयताकार व्यूपोर्ट,non-rectangular viewport
गॉज,gouge
गोल वॉशर,round washer
गोलाकार पतला गेट,circular tapered gate
गोलाकार पिच,circular pitch
ग्राफ़िक कार्ड,graphics card
ग्राफ़िक हैंडल,graphic handle
ग्रिड,grid
ग्रिपर,gripper
ग्रिपर आर्म,gripper arm
ग्रेन दिशा,grain direction
ग्रो टू बॉक्स,Grow to Box
घटक,component
घटक दृश्यता,component visibility
घटक प्लेसमेंट,component placement
घूर्णी समायोजन,rotational adjustment
