source,target
3D nyomtatás,3D Print
műveletmódosító gomb,action modifier button
felnőtt Tinkercad-fiók,adult Tinkercad account
légzárvány,air trap
illesztett metszet,aligned section view
összetartozó felületek rajzjel,all-around symbol
Alternatív mértékegység,alternate unit
analitikus felület,analytical surface
Szögtartomány,Angular range
szögsebesség,angular speed
animációs nyersanyag,animation footage
összeállítási kényszer,assembly constraint
összeállítási kiosztás,assembly pattern
eszközelemtár,asset library
Autodesk Inventor mentor,Autodesk Inventor Mentor
Autodesk gépipari közösségi portál,Autodesk Manufacturing Community Portal
Autodesk mester díj,Autodesk Masters award
Autodesk mesterképzési program,Autodesk Masters Program
Autodesk Partner,Autodesk Partner
Autodesk-projektek,Autodesk Projects
Autodesk Vault Professional változat,Autodesk Vault Professional edition
automatikus laplánckövetés,automatic face chain
automatikus vezetés,automatic routing
automatikus ellenőrzés,automatic verification
tengelyeltolás,axis offset
háttérbeli feldolgozás,background processing
golyósmalom,ball mill
gömbvégű marószerszám,ball nosed tool
golyós orsó,ball screw
hordó alakú maró,barrel tool
bázistest,base body
bázispont,base point
átviteli sebesség,baud rate
tartó részletei,beam detail
Being Inventive,Being Inventive
tányérrugó,Belleville spring
hajlított cső útvonala,bent tubing route
simítási felület,blend surface
járókerék,blisk
testre ható terhelés,body load
DBJ,BOM
határvonalfolt,boundary patch
befoglaló téglatest,Bounding Box
fékezési nyomaték,braking torque
leágazó kötés,branch connection
kötegelt feltöltés,bulk load
felület,bump
felülettérkép,bump map
felülettérképezés,bump mapping
égési nyom,burn mark
kábeltálca,cable tray
buborékstílus,callout style
vászon,canvas
Lezárás lekerekítése,cap filleting
kaszkádoló vízcsatlakozó,cascade water junction
varratjel,caterpillar
középvonal,center line
központosító csap,center pin
középpont,centre point
középtengely,centric axis
láncméretezés,chain dimension
élletörő maró,chamfer tool
rögzítőgyűrű,circlip
kúpos beömlőcsatorna,circular tapered gate
kerületi sebesség,circumferential speed
hézag,clearance
lezárt él,closed edge
zárt visszahajlítás,closed return bend
felhőadatok,cloud data
kódrészlet,code snippet
codebase,codebase
egybeeső kényszer,coincident constraint
kétkomponensű fröccsöntés,co-injection molding
hideg ömledék,cold slug
ütközés,collision
általános anyag,common material
részegység láthatósága,component visibility
kompozitgörbe,composite curve
Összetett furat,compound hole
egytengelyűség,concentricity
vezeték,conduit
Konfiguráció-rendszergazda,Configuration Administrator
Configurator 360,Configurator 360
kapcsolódó munkacsoport,connected workgroup
csatlakozótű,connector pin
állandó sugarú lekerekítés,constant-radius fillet
kényszerezett objektum,constrained object
kényszer,constraint
Érintési pontra számított határgörbe,contact point boundary
tartalomtár,content library
kontúr,contour
vezérlő csúcspont,control vertex
hűtőanyag,coolant
koordináta,coordinate
COPPA,COPPA
magcsap,core pin
jelképes varrat,cosmetic weld bead
keresztmetszet-elemzés,cross section analysis
kiemelés a grafikus felületen,cross-highlighting
aktuális alkönyvtár,current directory
görbületfolytonos lekerekítés,curvature continuous fillet
görbe megadása,curve definition
görbeszerkesztő,curve editor
metszővonal,cutting line
ciklus,cycle
adatbázis-exportálás,database exports
dekoráció,decal
döntéstámogató rendszer,decision support system
kis sajátosságok eltávolítása,defeaturing
telefonos hálózati kapcsolat,dial-up network connection
préselt pásztázott perem,die formed lofted flange
pont hüvelykenként,dots per inch
DPI,DPI
oldalferdeség,draft angle
rajzi csoport,drawing group
fúróciklusok,drilling cycles
fúrópályák,drilling toolpaths
vezérgörbe,drive curve
DSS,DSS
Csővezeték csatlakozó,duct connector
dinamikus előnézet,dynamic preview
szerkesztés helyben,edit in place
EDM,EDM
oktatói fiók,educator account
kilökési hőmérséklet,ejection temperature
kilökő,ejector
kilökőcsap,ejector pin
kilökőlemez,ejector plate
könyök,elbow
szikraforgácsolás,electric discharge machining
elektronikus távmérő,electronic distance meter
dombornyomat,emboss
végső kitöltés,end fill
töltőnyomás vége,end of fill pressure
végpont,end point
végső megmunkálás,end treatment
Kifejezés-készítő,Expression Builder
külső sarok,exterior corner
külső keret,external frame
Kötőelemtár,Fasteners library
alaksajátosságok ütközése,feature collision
alaksajátosság-csoport,feature group
előtoló sebesség,feed rate
helyi szerelési,field fit
fájltároló,filestore
lekerekítés,fillet
lekerekítés sajátosság,fillet feature
lekerekítés típusa,fillet style
rögzített élű ferdeség,fixed edge draft
nullponteltolás,fixture offset
teríték,flat pattern
Rugalmas kiadási folyamat,Flexible Release Process
árvédelmi megoldás,flood solution
áramlás,flow rate
vezérgörbés simító stratégia,flowline machining strategy
egysíkú kényszer,flush constraint
szabadkézi húzás,free drag
szabadvonalas szerkesztés,freeform edit
szabadformájú alakzat,freeform shape
Teljes navigációs kerék,Full Navigation wheel
teljes lekerekítés,full round fillet
funkcióalapú tervezés,functional design
Fusion Modeling Data,Fusion Modeling Data
geometria,geometry
mozdulatvezérlés,gesture behavior
alámarás,gouge
videokártya,graphics card
fogó,gripper
peremvarrat,groove weld
talajsík,ground plane
talajra vetett árnyék,ground shadow
rögzített munkapont,grounded work point
kábelkorbács-alkatrész,harness part
kábelkorbácsszakasz,harness segment
sraffozási minta,hatch pattern
hőátadó cső,heat transfer pipe
Helius Composite,Helius Composite
Helius PFA,Helius PFA
tartó biztonsági távolsága,holder clearance
vízszintes körív,horizontal arc
HSV,HSV
vízsugaras megmunkálás,hydroforming
I-szelvény,I section
iCopy,iCopy
iFeatures,iFeatures
megtestesítő felhasználó,impersonating user
inaktív részegység,inactive component
rajzterületi eszköz,in-canvas tool
felismerés,inference
beömlőkúp,injection cone
