source,target
Add-In ID 2019,ID 2019 Add-In
admin,admin
administrator,administrator
Administrator Konfigurasi,Configuration Administrator
Administrator Tim Fusion,Fusion Team administrator
AFR,AFR
akar alur,groove root
Akun vault,Vault account
akurasi material,material accuracy
alat,tool
alat barel,barrel tool
alat chamfer,chamfer tool
alat chamfering,chamfering tools
alat dalam kanvas,in-canvas tool
alat gambar otomatis,auto-draw tool
alat mesin,machine tool
alat penggilingan,milling tool
Alias,Alias
alur,groove
alur kerja SLM yang dioptimalkan,optimized SLM workflow
alur kerja suite,suite workflow
AM,AM
analisis penampang melintang,cross section analysis
analisis stres,stress analysis
anggota,member
anggota struktural,structural member
angularitas,angularity
Animasi Show Me,Show Me animation
anotasi,annotation
aplikasi,application
arah,direction
arah butir,grain direction
arah muka,face direction
arah positif,positive direction
arah putar,rotary direction
arah singgung,tangent direction
arah tarik,pull direction
asosiativitas permukaan,surface associativity
atribut beban panas internal,internal heat load attribute
atribut suhu kritis,critical temperature attribute
aturan logam lembaran,sheet metal rule
aturan siklus hidup,lifecycle rules
Autodesk Projects,Autodesk Projects
Autodesk Vault Professional edition,Autodesk Vault Professional edition
bagan urutan,sequence tree
bagian harness,harness part
Bagian I,I section
bagian kipas pendingin,cooling fan part
Bagian L,L section
bagian plastik,plastic part
Bagian U,U section
bahan fisik,physical material
bahan umum,common material
bahan yang biokompatibel,biocompatible material
bahan yang tidak dapat dimampatkan,incompressible material
baki kabel,cable tray
ball nosed tool,ball nosed tool
basis data alat,tool database
basis kode,codebase
batang bor,boring bar
batas,boundary
batas objektif,objective limits
batas pangkas,trim boundary
batas sumbu alat,tool axis limit
batas titik kontak,contact point boundary
batas transisi siklus hidup,lifecycle transition limit
batasan,constraint
batasan bertepatan,coincident constraint
batasan model,model limits
batasan perakitan,assembly constraint
batasan pin,pin constraint
batasan vaulting,vaulting restriction
bayangan datar,flat shading
bayangan tanah,ground shadow
Bayangan tanah sinar-X,X-ray ground shadow
beban global linier,linear global load
beban global sudut,angular global load
beban panas,heat load
beban panas internal,internal heat load
beban torsi,torque load
beban transien,transient load
beban tubuh,body load
beberapa dokumen fixture,multiple fixture document
beberapa komposit,multiple composites
benda kerja,workpiece
benjolan,bump
bentuk,shape
bentuk bebas,freeform shape
bentuk penyangga berdinding tipis,thin-walled support shape
bersarang,nesting
bibir dan alur,lip and groove
bidang,plane
bidang cermin,mirror plane
bidang fokus,focal plane
bidang kerja jalur alat,toolpath workplane
bidang klip,clip planes
bidang paralel,parallel plane
bidang singgung,tangent plane
bidang tanah,ground plane
bilah alat mini,mini toolbar
bilah lembaran,sheet bar
bilah navigasi,navigation bar
bingkai eksternal,external frame
bingkai internal,internal frame
bingkai kawat,wireframe
bingkai kontrol fitur,feature control frame
blisk,blisk
Blog Vault,Vault blog
bodi permukaan,surface body
bodi probe,probe body
Bodi T-Spline,T-Spline body
BOM,BOM
bor titik,spot drill
buang,dump
buffer data,data buffer
buket,bouquet
busur,arc
busur horizontal,horizontal arc
busur normal permukaan,surface normal arc
butt v,v butt
cangkang,shell
cangkang negatif,negative shell
catatan,note
catatan datum,datum note
cel shading,cel shading
celah,gap
Cetak 3D,3D Print
Cetak FFF,FFF print
cetakan,mold
cetakan kompresi injeksi,injection-compression molding
cetakan multirongga,multi-cavity mold
chaining,chaining
chuck jaws,chuck jaws
cincin lokasi,location ring
cincin-o,o-ring
citra lingkungan,environment image
CLDATA,CLDATA
CMM,CMM
CNC,CNC
co-injection molding,co-injection molding
cold slug,cold slug
collet,collet
computenode,computenode
confetti berwarna,colored confetti
coplanar,coplanar
COPPA,COPPA
cuplikan,snippet
cuplikan animasi,animation footage
cuplikan kode,code snippet
CV,CV
daerah curam,steep area
daerah dangkal,shallow area
daftar bahan,bill of materials
daftar cepat,quick list
daftar datar,flat list
dasar cetakan,mold base
dasi kupu-kupu,bowtie
data betis alat,tool shank data
data cloud,cloud data
data pengukuran,measurement data
defeaturing,defeaturing
definisi kurva,curve definition
definisi simbol,symbol definition
desain fungsional,functional design
desain mesin,machine design
desain pemisahan,parting design
desain referensi,reference design
detail balok,beam detail
diagnostik pemisahan,parting diagnostic
diagram beban,load diagram
diameter,diameter
diameter atas poros,shaft upper diameter
diameter bor,drill diameter
diameter lapangan,pitch diameter
dimensi,dimension
dimensi rantai,chain dimension
diposisikan ulang,repositioned
DirectX Runtime,DirectX Runtime
direktori saat ini,current directory
disiplin pemesinan,machining discipline
DOF,DOF
dokter file,file doctor
DPI,DPI
draf tepi tetap,fixed edge draft
DSS,DSS
DWG yang disederhanakan,simplified DWG
