source,target
compattazione 3D,3D Packing
stampa 3D,3D Print
ABF,ABF
Accettare,Accept
pulsante di modifica dell'azione,action modifier button
affinamento adattivo,adaptive refinement
tecnologia additiva,additive technology
percorso utensile additivo,additive toolpath
AFR,AFR
intrappolamento d'aria,air trap
vista in sezione allineata,aligned section view
allineamento,alignment
simbolo su tutto il profilo,all-around symbol
sovrametallo,allowance
unità alternativa,alternate unit
superficie analitica,analytical surface
carico angolare globale,angular global load
ampiezza angolare,Angular range
velocità angolare,angular speed
angolarità,angularity
metraggio dell'animazione,animation footage
annotazione,annotation
applicazione,application
Applicare,Apply
arco,arc
vincolo di assieme,assembly constraint
serie di assiemi,assembly pattern
PCB associativo,associative PCB
accettazione automatica,auto-accept
portale Autodesk Manufacturing Community,Autodesk Manufacturing Community Portal
Partner Autodesk,Autodesk Partner
Autodesk-Progetti,Autodesk Projects
Disegno automatico utensile,auto-draw tool
catena di facce automatica,automatic face chain
Riconoscimento automatico delle lavorazioni,automatic feature recognition
ordinamento automatico,automatic ordering
percorso automatico,automatic routing
verifica automatica,automatic verification
auxetico,auxetic
vista ausiliaria,auxiliary view
scostamento dell'asse,axis offset
elaborazione in background,background processing
tornio a sfera,ball mill
utensile sferico,ball nosed tool
vite a ricircolo di sfere,ball screw
utensile a botte,barrel tool
corpo base,base body
flangia di base,base flange
punto base,base point
velocità di trasmissione,baud rate
dettagli della trave,beam detail
molla Belleville,Belleville spring
sostituzione scarico piega,bend relief override
percorso tubatura con piega,bent tubing route
a metà V,bevel butt
superficie di raccordo,blend surface
girante,blisk
contorno scheda,board outline
carico del corpo,body load
griglia della distinta componenti,BOM grid
barenatura,bore
barra di alesatura,boring bar
superficie di contorno,boundary patch
mazzetto,bouquet
modifica spline,bowtie
visualizzazione parallelepipedo,box display
momento frenante,braking torque
connessione diramazione,branch connection
Interrompi collegamento,Break Link
trasformare in mattoni,brickify
pennello,brush
software di preparazione della costruzione,build preparation software
stima del tempo di creazione,build-time estimation
caricamento globale,bulk load
modulo di aggregato,bulk modulus
composizione in rilievo,bump
mappa in rilievo,bump map
mappa di composizione in rilievo,bump mapping
segno di bruciatura,burn mark
regione di erosione,burn region
passerella,cable tray
calibrazione,calibration
stile richiamo,callout style
funzionalità CAM,CAM capabilities
programmazione CAM,CAM programming
ciclo fisso,canned cycle
area di disegno,canvas
raccordo delle estremità,cap filleting
Carrier,Carrier
collettore idraulico per cascata,cascade water junction
millepiedi,caterpillar
linea d'asse,center line
spina centrale,center pin
punto centrale,centre point
asse centrale,centric axis
quota in serie,chain dimension
selezione catena,chain selection
concatenamento,chaining
smusso,chamfer
utensile per smusso,chamfer tool
utensili di smussatura,chamfering tools
formazione di trucioli,chip formation
morse del mandrino,chuck jaws
cerchio,circle
graffa circolare,circlip
passo circonferenziale,circular pitch
punto di iniezione rastremato circolare,circular tapered gate
velocità circonferenziale,circumferential speed
CLDATA,CLDATA
applicare una chiusura piatta,close flat
spigolo chiuso,closed edge
piega doppia chiusa,closed return bend
dati del cloud,cloud data
CMM,CMM
CNC,CNC
copertura,coating
vincolo coincidente,coincident constraint
stampaggio a coiniezione,co-injection molding
punta fredda,cold slug
portapinze,collet
collisione,Collision
Parametri per evitare collisioni,collision avoidance parameters
percorso di collegamento libero da collisioni,collision free link path
tavolozza colori,colour palette
Finestra di Comando,command window
Common Core,Common Core
materiale comune,common material
componente,component
visibilità del componente,component visibility
curva composta,composite curve
foro composto,compound hole
nodo di calcolo,Computenode
concentricità,concentricity
tubo protettivo,conduit
cono,cone
Amministratore della configurazione,Configuration Administrator
Configurator 360,Configurator 360
gruppo di lavoro connesso,connected workgroup
connettore,connector
pin del connettore,connector pin
costante,constant
raccordo con raggio costante,constant-radius fillet
oggetto vincolato,constrained object
vincolo,constraint
punto di contatto,contact point
Editor del Centro contenuti,Content Center Editor
libreria di contenuti,content library
flangia contorno,contour flange
vertice di controllo,control vertex
grafico convergenza,convergence plot
convesso,convex
refrigerante,coolant
Procedura guidata raffreddamenti,cooling wizard
coordinata,coordinate
complanare,coplanar
COPPA,COPPA
nucleo,core
file centrale,core file
spina punzone,core pin
Raccordatura spigoli,Corner Filleting
stile raccordo spigolo,corner filleting style
raggio spigolo,corner radius
cordone di saldatura simulata,cosmetic weld bead
foro lamato,counterbore hole
foro di svasatura,countersink hole
aggraffatura,crimp
analisi sezione trasversale,cross section analysis
evidenziazione incrociata,cross-highlighting
directory corrente,current directory
radiale della curvatura,curvature comb
raccordo con curvatura continua,curvature continuous fillet
curva,curve
