source,target
[アクション モディファイヤ]ボタン,action modifier button
[クラウド クレジット]パネル,Cloud Credits panel
[モデルを編集]作業スペース,edit model workspace
[内部熱]荷重タイプ,Internal Heat load types
[単純化]作業スペース,simplify workspace
[原点]作業フィーチャ,origin work feature
[終了] パネル,Finish panel
[結果]作業スペース,results workspace
[表示] パネル,Draw panel
[電子デザイン]作業スペース,electronics workspace
1 インチあたりのドット数,dots per inch
3D パッキング,3D Packing
4 分の 1 断面,quarter section view
4 分の 3 断面,three quarter section view
ABF,ABF
AM,AM
Ansys Mechanical,Ansys Mechanical
aPriori,aPriori
Arcam EBM,Arcam EBM
ATU,ATU
AutoCAD DXF,AutoCAD DXF
Autodesk Masters アワード,Autodesk Masters award
Autodesk Masters プログラム,Autodesk Masters Program
Autodesk パートナー,Autodesk Partner
Autodesk プロジェクト,Autodesk Projects
B 軸,B axis
BINVOX,BINVOX
BNEP プロトコル,Bluetooth Network Encapsulation Protocol
BRDF,BRDF
C 軸,C axis
CA 証明書,CA certificates
CAD サーフェス,CAD surface
CAD マネージャ,CAD manager
CAM プログラミング,CAM programming
CAM 機能,CAM capabilities
CLDATA,CLDATA
CMM,CMM
CNC,CNC
CNC コントローラ,CNC controller
Common Core,Common Core
Configurator 360,Configurator 360
COPPA,COPPA
CORS,CORS
CV,CV
CV ハル,CV hull
DirectX ランタイム,DirectX Runtime
DPI,DPI
DSS,DSS
DTD,DTD
DTLS サーバ,DTLS server
dxf,dxf
EBM,EBM
EDM,EDM
Electro Discharge Machining,Electro Discharge Machining
ESDP プロトコル,Extended Service Discovery Protocol
export EXR,EXR
F3Z,F3Z
FEA メッシュ,FEA mesh
FFF プリント,FFF print
FFF マシン,FFF machine
FFF 積層造形,FFF additive manufacturing
Fusion Electronics,Fusion Electronics
Fusion Lifecycle,Fusion Lifecycle
Fusion Modeling Data,Fusion Modeling Data
Fusion PCB,Fusion PCB
Fusion Team 管理者,Fusion Team administrator
Fusion マテリアル ライブラリ,Fusion material library
G コード,GCode
GTC,GTC
Gurmukhi,Gurmukhi
Helius Composite,Helius Composite
Helius PFA,Helius PFA
HID プロトコル,Human Interface Device Protocol
HMD,HMD
HSM カーネル,HSM kernel
HSV,HSV
HTTP プロトコル,Hypertext Transfer Protocol
I 型断面,I section
iCopy,iCopy
iFeatures,iFeatures
iLogic デザイン コピー,iLogic Design Copy
iPart を作成,iPart Author
iProperties,iProperties
ISO,ISO
ISTE,ISTE
JIT オプション,JIT option
kPa,kPa
L 型断面,L section
Learning Inventor 2010,Learning Inventor 2010
Live Enabler,Live Enabler
Live Update,live update
LOD,LOD
LOD バイアス,LOD bias
MachineDNA,MachineDNA
MR,MR
MTT,MTT
MultiValue,MultiValue
NC コード,NC code
NC セットアップ,NC setup
NC プログラム項目,NC Program item
netfabb エンジン,netfabb Engine
NGSS,NGSS
NPR マテリアル,NPR material
O リング,o-ring
Offset UV,UV
PCB,PCB
PCB フィーチャ,PCB feature
PCRE,PCRE
POSIX,POSIX
POSIX の照合要素,POSIX collating elements
power feature,power feature
power surface,power surface
PowerMill アディティブ,PowerMill Additive
PRM の生成,PRM generation
PRM ファイル,PRM file
Pro,Pro
Project Simulus,Project Simulus
Rapid Shape プリンタ,Rapid Shape printers
