source,target
3D 프린트,3D Print
A360,A360
A360 Rendering,A360 Rendering
A360 Team,A360 Team
ABF,ABF
가속화 구조,acceleration structure
작업 수정자 버튼,action modifier button
가변 미세 조정,adaptive refinement
적층,additive
적층 기술,additive technology
적층 도구 경로,additive toolpath
관리자,admin
성인 Tinkercad 계정,adult Tinkercad account
에어 트랩,air trap
Alias,Alias
Alias AutoStudio,Alias AutoStudio
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias SpeedForm,Alias SpeedForm
Alias Surface,Alias Surface
정렬 단면도,aligned section view
온둘레 기호,all-around symbol
대체 단위,alternate unit
앰비언트 어클루젼,ambient occlusion
해석 표면,analytical surface
각도 증분,angle increment
각도 전역 하중,angular global load
각 강도,Angular Intensity
각도 범위,Angular range
각속도,angular speed
애니메이션 길이,animation footage
고리형 링,annular ring
Arcam EBM,Arcam EBM
조립품 구속조건,assembly constraint
조립품 패턴,assembly pattern
자산 라이브러리,asset library
자산 관리자,Asset Manager
연관 PCB,associative PCB
AFT 버전,ATF Version
ATU,ATU
AutoCAD 360,AutoCAD 360
AutoCAD Inventor LT Suite,AutoCAD Inventor LT Suite
Autodesk Desktop Connector,Autodesk Desktop Connector
Autodesk Flex,Autodesk Flex
Autodesk Inventor 멘토,Autodesk Inventor Mentor
Autodesk Job Processor,Autodesk Job Processor
Autodesk 파트너,Autodesk Partner
Autodesk Prodsmart,Autodesk Prodsmart
Autodesk 프로젝트,Autodesk Projects
Autodesk Vault Professional 버전,Autodesk Vault Professional edition
자동 면 체인,automatic face chain
자동 라우팅,automatic routing
보조 뷰,auxiliary view
축,axle
백그라운드 처리,background processing
베이크 설정,bake settings
볼 밀,ball mill
볼 나사,ball screw
배럴 공구,barrel tool
기본 본체,base body
기본 클래스,base class
기준 플랜지,base flange
기준점,base point
베이스 플레이트,Baseplate
기본 이미지 프로파일,Basic Imaging Profile
전송 속도,baud rate
빔 상세,beam detail
Being Inventive,Being Inventive
접시형 스프링,Belleville spring
절곡부,bend
절곡부 반지름,bend radius
절곡부 릴리프 재지정,bend relief override
절곡부 튜브 루트,bent tubing route
BINVOX,BINVOX
바이오 호환 재질,biocompatible material
혼합 표면,blend surface
블리스크,blisk
Bluetooth 네트워크 인캡슐레이션 프로토콜,Bluetooth Network Encapsulation Protocol
본체 하중,body load
BOM,BOM
보스,boss
경계 패치,boundary patch
경계 상자,Bounding Box
경계 쉐이프,bounding shape
부케,bouquet
보타이,bowtie
제동 토크,braking torque
분기 연결,branch connection
중단점,Breakpoint
블록으로 전환,brickify
브러시,brush
브러시 매핑 방사형 XY,brush mapping radial XY
빌드 플레이트,build plate
빌드 준비 소프트웨어,build preparation software
건축 프로세스,building process
빌드 공간,buildroom
예상 빌드 시간,build-time estimation
대량 로드,bulk load
범프,bump
범프 맵,bump map
범프 매핑,bump mapping
번 마크,burn mark
CA 인증서,CA certificates
케이블 트레이,cable tray
콜아웃 스타일,callout style
카메라 충돌 감지,camera collision detection
카메라 반시계 방향,camera counterclockwise
카메라 턴테이블,camera turntable
캔버스,canvas
캡을 씌운 모깎기,cap filleting
캡 서피스,cap surface
계단식 용수 합류점,cascade water junction
산란,caustics
캐비티,cavity
CEL 음영처리,cel shading
중심선,center line
중심 핀,center pin
중심 축,centric axis
CFD,CFD
CFD Advanced,CFD Advanced
CFD Motion,CFD Motion
체인 치수,chain dimension
체인 선택,chain selection
모따기 도구,chamfering tools
체커보드 텍스처,checkerboard texture
칩 구성,chip formation
색도,chromaticity
크롬 반사 색상,chrome reflection color
척 죠,chuck jaws
써클립,circlip
원형 피치,circular pitch
테이퍼된 원형 게이트,circular tapered gate
원주 속도,circumferential speed
이격거리,clearance
클립 평면,clip planes
평면 닫기,close flat
닫힌 모서리,closed edge
닫힌 복귀 절곡부,closed return bend
클라우드 데이터,cloud data
CO,CO
코드 조각,code snippet
codebase,codebase
