source,target
administrator konfiguracji,Configuration Administrator
Administrator usługi Fusion Team,Fusion Team administrator
adnotacja,annotation
aktualizacja na bieżąco,live update
analiza naprężeń,stress analysis
analiza przekroju,cross section analysis
aplikacja,application
ARC,AFR
"ARCHITECTURE, ENGINEERING & CONSTRUCTION COLLECTION","ARCHITECTURE, ENGINEERING & CONSTRUCTION COLLECTION"
Autodesk Desktop Connector,Autodesk Desktop Connector
Autodesk Flex,Autodesk Flex
automatyczna weryfikacja,automatic verification
automatyczne łączenie powierzchni,automatic face chain
automatyczne rozpoznawanie cech,automatic feature recognition
baza danych narzędzi,tool database
biblioteka części złącznych,Fasteners library
biblioteka materiałów Fusion,Fusion material library
biblioteka zasobów,asset library
biblioteka zawartości,content library
bieżący katalog,current directory
bryła,solid
bryła brzegowa,bounding box
cecha,feature
ceownik,U Section
chwytak,gripper
cień na podłożu,ground shadow
cieniowanie animacyjne,cel shading
cieniowanie płaskie,flat shading
cienkościenny kształt usztywniający,thin-walled support shape
ciśnienie na koniec napełniania,end of fill pressure
CLDATA,CLDATA
CMM,CMM
CNC,CNC
Configurator 360,Configurator 360
CV,CV
cykl,cycle
cykl maszynowy,canned cycle
cykle wiercenia,drilling cycles
część wiązki przewodów,harness part
część z tworzywa sztucznego,plastic part
czujnik,sensor
czynnik chłodzący,coolant
dalmierz elektroniczny,electronic distance meter
dane trzonka narzędzia,tool shank data
definicja krzywej,curve definition
definicja symbolu,symbol definition
Desktop Connector,Desktop Connector
diagnostyka podziału,parting diagnostic
DirectX Runtime,DirectX Runtime
długość okablowania,wire run
DM,DM
dokładność materiału,material accuracy
DPI,DPI
drabinka kablowa,cable tray
drugorzędny,Secondary
drukowanie 3D,3D Print
drzewo sekwencji,sequence tree
DSS,DSS
DWF visualization,DWF
działanie gestami,gesture behavior
EDM,EDM
edycja lokalna,edit in place
edycja punktu,edit point
edycja swobodna,freeform edit
Edytor Content Center,Content Center Editor
edytor krzywej,curve editor
Edytor symulatora,machine design
eksporty bazy danych,database exports
elektroda,electrode
element kształtujący szyku,pattern feature
element szkicu,sketched feature
element wstawiany,placed feature
element wzoru,pattern entity
element zaokrąglenia,fillet feature
elewacja,elevation
etykieta zmiany,revision tag
faza,chamfer
film animacji,animation footage
flush,flush
footprint,footprint
forma,mold
forma wielokrotna,multi-cavity mold
format rewizji,revision format
format schematu rewizji,revision scheme format
formowanie współwtryskowe,co-injection molding
formowanie wtryskowo-ściskające,injection-compression molding
fragment,snippet
fragment kodu,code snippet
frez baryłkowy,barrel tool
frez kulisty,ball nosed tool
frez stożkowy,tapered mill
Fusion Electronics,Fusion Electronics
Fusion Lifecycle,Fusion Lifecycle
Fusion Modeling Data,Fusion Modeling Data
gap,gap
geodezyjna,geodesic
geometria,geometry
geometria podrysu,underlay geometry
głębia ostrości,depth of field
globalny układ współrzędnych,global coordinate system
głowica,turret
główny,Primary
gniazdo krzyżowe,cross recessed
granica,boundary
granica plastyczności,yield strength
granica tolerancji,tolerance band
granica ucięcia,trim boundary
granice modelu,model limits
grubość środnika,web thickness
grubość warstwy,Layer Thickness
grupa cech,feature group
grupa dyskusyjna,newsgroup
grupa kontroli powierzchni,surface inspection group
grupa pomiarów prostych,simple measures group
grupa robocza,workgroup
grupa rysunkowa,drawing group
gwint,thread
Helius Composite,Helius Composite
Helius PFA,Helius PFA
HSV,HSV
hydroformowanie,hydroforming
iCopy,iCopy
identyfikator obiektu,Object ID
iFeatures,iFeatures
ilustracja szkicowania,sketch illustration
impedancja,impedance
inicjatywa Common Core,Common Core
Interaktywne rozpoznawanie cech,Interactive Feature Recognition
interwał,interval
iProperties,iProperties
IRC,IFR
ISTE,ISTE
izolinia,isoline
izometryczny,isometric
jądro HSM,HSM kernel
Jednostka dodatkowa,alternate unit
kabel taśmowy,ribbon cable
kalibracja,calibration
kanał wentylacyjny,vent
karta graficzna,graphics card
kaskadowy przepływ wody,cascade water junction
kąt końcowy,end angle
kąt niezorientowany,undirected angle
kąt pochylenia,draft angle
kąt początkowy,start angle
kąt zewnętrzny,outer angle
kątnik,elbow
kątownik,L section
kierunek,direction
kierunek styczny,tangent direction
kierunek wyciągnięcia,pull direction
klin,wedge
kod identyfikacyjny tworzywa polimerowego,resin identification code
kod NC,NC code
kolejność pomiaru,inspection sequence
kołek oporowy,stop pin
kolizja,collision
kołnierz konturowy,contour flange
kołnierz wyciągnięty,lofted flange
kołnierz z szyjką do przyspawania,welding neck flange
koło Pełna nawigacja,Full Navigation wheel
kompensacja frezu,cutter compensation
komponent,component
Komponent docelowy,target component
komponent główny,root component
komponent nieaktywny,inactive component
komponent źródłowy,source component
koncentryczność,concentricity
konflikt projektu,design conflict
konto nauczyciela,educator account
konto Vault,Vault account
kontur,contour
Kopia projektu iLogic,iLogic Design Copy
korek do rur,pipe plug
korpus formy,mold base
korpus powierzchniowy,surface body
korpus sondy,probe body
krążek wyboru,puck
kreator chłodzenia,cooling wizard
Kreator nawijania,Wrap Wizard
Kreator powierzchni,Smart Surfacer
Kreator wyrażeń,Expression Builder
krotność gwintu,Start Thread
krzywa,curve
krzywa prowadząca,drive curve
krzywa współpłaszczyznowa,planar curve
krzywa złożona,composite curve
kształt,shape
kształt dowolny,freeform shape
kształt obwiedni,bounding shape
kursor inteligentny,intelligent cursor
łącznik kanałowy,duct connector
łańcuch kinematyczny,kinematic chain
Language Pack,language pack
lico spoiny,caterpillar
limit przejścia cyklu rozwojowego,lifecycle transition limit
linia cięcia,cutting line
linia łączenia strug,weld line
linia podziałowa,pitch line
linia środkowa,center line
lista materiałów,bill of material
lokalny układ współrzędnych,local coordinate system
łuk,arc
łuk poziomy,horizontal arc
łuk rurowy 180° bez odstępu,closed return bend
łuk styczny do powierzchni,surface normal arc
MachineDNA,MachineDNA
macierz,matrix
magazyn plików,filestore
maksymalna siła docisku podczas wypełniania,maximum clamp force
manipulator,manipulator
mapa błędów,error map
mapa wypukłości,bump map
mapowanie wypukłości,bump mapping
masowe natężenie przepływu,mass flow rate
maszyna ręczna,manual machine
Materiał fizyczny,physical material
materiał nieliniowy,nonlinear material
matryca boczna,side core
menu Edycja ścieżki narzędzia,Toolpath Edit menu
metoda rozwijania,unfold method
migawka,snapshot
młyn kulowy,ball mill
model krawędziowy,wireframe
model naddatku,stock model
modelowanie organiczne,organic modeling
moderator,moderator
moduł generowania siatki,mesher
Moduł odblokowania obiektów,Live Enabler
moment hamowania,braking torque
moment węzłowy,nodal moment
montaż w terenie,field fit
MPBF,MPBF
nachylenie,angularity
Nagrody Autodesk Masters,Autodesk Masters award
naprawa plików,file doctor
narożnik zewnętrzny,exterior corner
narzędzie,tool
narzędzie Skill Builder,Skill Builder
narzędzie w obszarze projektowania,in-canvas tool
natężenie przepływu,flow rate
Nauka obsługi programu Inventor 2010,Learning Inventor 2010
nieruchomy punkt konstrukcyjny,grounded work point
nit rozwidlony,split rivet
normalna powierzchni,surface normal
numer rewizji elementu,item revision number
obciążenie bezwładnościowe,body load
obciążenie momentem obrotowym,torque load
obiekt,element
obiekt narzędzia,tool entity
obiekt związany,constrained object
objętościowe natężenie przepływu,volumetric flow rate
obniżyć poziom,demote
obróbka,tooling
Obróbka elektroerozyjna,Electro Discharge Machining
obróbka elektroiskrowa,electric discharge machining
obróbka końców,end treatment
obróbka zgrubna modelu,Model area clearance
obszar drążenia,burn region
obszar graniczny punktu styku,contact point boundary
obszar rysunku,canvas
odchylanie,yaw
odcinek,segment
odcinki ścieżki narzędzia,toolpath segments
odsunięcie osi,axis offset
odwzorowanie węzłów liści,leaf node mapping
odwzorowanie właściwości,property mapping
ograniczenia repozytorium,vaulting restriction
ograniczenia usuwania elementu,item deletion restrictions
ogrzewanie ścinające,shear heating
okno formowania,molding window
okno poleceń,command window
okrąg,circle
"okrągłe, zwężające się przewężki",circular tapered gate
okres dzierżawy,lease period
opcja podcięcia,Undercut option
opóźnienie przekazywania,propagation delay
orbita swobodna,free orbit
orientacja z symulacji,Simulated Orientations
oś konstrukcyjna,work axis
oś narzędzia,tool axis
oś środkowa,centric axis
otwór złożony,compound hole
oznaczenie gwintu,thread designation
paleta kolorów,colour palette
panel Wyświetlanie,Draw panel
panel Zakończ,Finish panel
parametr,parameter
parametry unikania kolizji,collision avoidance parameters
Partner firmy Autodesk,Autodesk Partner
pas klinowy wielorzędowy,v-belt
pasek narzędzi,toolbar
pasek nawigacji,navigation bar
pchnij/ciągnij,Press/Pull
pętla,loop
pętla podziału,runoff loop
pierścień centrujący,location ring
pierścień cylindryczny,annular ring
pierścień dystansowy,shim ring
pierścień sprężynujący zabezpieczający,circlip
pierścień uszczelniający,o-ring
PIM,PIM
płaszczyzna,plane
płaszczyzna odbicia lustrzanego,mirror plane
płaszczyzna ogniskowa,focal plane
płaszczyzna podłoża,ground plane
płaszczyzna powierzchni,surface face
płaszczyzna robocza ścieżki narzędzia,toolpath workplane
plik MD,MD file
plik zrzutu,dump
pliki modelu,model files
płyta wypychacza,ejector plate
PMI,PMI
pochylenie ściany,face draft
podgląd,preview
podgląd dynamiczny,dynamic preview
podkładka płaska,plain washer
podkładka pofałdowana,crinkle washer
podrys,underlay
