source,target
AO,AO
CV,CV
DPI,DPI
DSS,DSS
EDM,EDM
Engates de armação,rebar coupler
FOV,FOV
Fusion,Fusion
iCopy,iCopy
iFeatures,iFeatures
iProperties,iProperties
lbf,lbf
modelo de simulação,simulation model
nó principal,headnode
oclusão do ambiente,ambient occlusion
Parceiro Autodek,Autodesk Partner
prémio Autodesk Masters,Autodesk Masters award
primário,primary
Pro,Pro
Programa Autodesk Masters,Autodesk Masters Program
secundário,secondary
sombras ambiente,ambient shadows
Thick Client,Thick Client
Thin Client,Thin Client
Vault,Vault
workshop sobre as novas funcionalidades,new features workshop
