source,target
Aceitar,Accept
ACIS Files,ACIS
Additive Manufacturing File,AMF
admin,admin
administrador,administrator
Administrador de configuração,Configuration Administrator
Administrador do Fusion Team,Fusion Team administrator
ajuste de campo,field fit
alça,handle
alça gráfica,graphic handle
algoritmo vizinho mais próximo,nearest neighbour algorithm
alinhamento,alignment
alívio remanescente,relief remnant
altura da conexão,connection height
altura de tapete,pad height
altura do nariz,nose height
ambiente de construção,buildroom
amplitude de onda,wave amplitude
análise de cortes transversais,cross section analysis
análise de peças,part analysis
análise de tensões,stress analysis
análise inferior,downskin analysis
anel anular,annular ring
anel de localização,location ring
anel de vedação,o-ring
anel elástico,circlip
angularidade,angularity
ângulo de rotação,rotation angle
ângulo de saída,draft angle
ângulo externo,outer angle
ângulo final,end angle
ângulo inicial,start angle
ângulo não dirigido,undirected angle
ângulo reflexo,reflex angle
anotação,annotation
aparência padrão,standard appearance
aparência realista,realistic appearance
Aplicar,Apply
aplicativo,application
aplicativos GUI,GUI applications
aprisionamento de ar,air trap
aquecimento por cisalhamento,shear heating
arames,wireframe
Arcam,Arcam
Arcam EBM,Arcam EBM
Arcam EBM Spectra H,Arcam EBM Spectra H
arco,arc
arco horizontal,horizontal arc
arco normal da superfície,surface normal arc
Área de superfície,Surface area
áreas do projetor,projector areas
aresta do esboço,sketch edge
aresta fechada,closed edge
Arestas de furo,Hole Edges
armazenamento de arquivos,filestore
arquivo de calibração,calibration file
Arquivo de superfície GNU com suavização de serrilhado,Gnu Tesselated Surface File
arquivo de visualização,visualization file
arquivo MD,MD file
arquivo PRM,PRM file
Arquivo SAT,SAT file
Arquivo STEP,STEP File
Arquivos do SolidWorks,SolidWorks files
arraste livre,free drag
arredondamento com curvatura contínua,curvature continuous fillet
arredondamento com regras,rule fillet
arredondamento completo,full round fillet
Arredondamento de canto,Corner Filleting
arredondamento de raio constante,constant-radius fillet
arredondamento de raio variável,variable-radius fillet
arredondamento de superfície,surface fillet
arruela de calço,shim ring
arruela de pressão,spring washer
arruela lisa,plain washer
arruela ondulada,crinkle washer
arruela plana,flat washer
ASCII STL,ASCII STL
assistente de refrigeração,cooling wizard
Assistente de Wrap,Wrap Wizard
associatividade de superfícies,surface associativity
atraso de propagação,propagation delay
atraso do laser em polígono,laser polygon delay
atraso do laser na marcação,laser mark delay
atraso do laser no avanço rápido,laser jump delay
atraso em polígono,polygon delay
atraso no avanço rápido,jump delay
atualização automática,live update
Aumentar para caixa,Grow to Box
autoaceitar,auto-accept
Autodesk Vault Professional Edition,Autodesk Vault Professional edition
autoexibir ferramenta,auto-draw tool
autoinserção,self-intersection
avanço,feed rate
avanço em transição,transition feedrate
banda de tolerância,tolerance band
bandeja de cabos,cable tray
barra de ferramentas,toolbar
barra de navegação,navigation bar
Barra de sólidos,Solid bar
base de dados da ferramenta,tool database
biblioteca de conteúdo,content library
Biblioteca de fixadores,Fasteners library
Biblioteca de materiais do Fusion,Fusion material library
Biblioteca de parâmetros de tesselação,Tessellation parameter library
biblioteca de peças personalizadas,custom part library
biblioteca de recursos,asset library
Blocos Vin,Vin Tiles
blog do Vault,Vault blog
broca,drill
broquear,bore
Bucha,sprue
Bucha de Injeção,sprue bushing
buquê,bouquet
cabo plano,ribbon cable
cadeia automática de faces,automatic face chain
cadeia cinemática,kinematic chain
Caixa externa,outbox
caixa suave,soft box
Cálculo de percurso de ferramenta,Toolpath Calculation
calibração,calibration
calibração de eixo,Spindle calibration
camada,layer
camada de deposição,deposition layer
camada de desbaste,roughing slice
caminho de ligação livre de colisão,collision free link path
caminho de migração,migration path
canal,groove
canto externo,exterior corner
carga de torque,torque load
carga do corpo,body load
carregamento em massa,bulk load
