source,target
3D-печать,3D Print
"ARCHITECTURE, ENGINEERING & CONSTRUCTION COLLECTION","ARCHITECTURE, ENGINEERING & CONSTRUCTION COLLECTION"
bид сетки,mesh view
CLDATA,CLDATA
CO,CO
codebase,codebase
Common Core,Common Core
Configurator 360,Configurator 360
CV,CV
cоосность,concentricity
Desktop Connector,Desktop Connector
DPI,DPI
DSS,DSS
Fusion Lifecycle,Fusion Lifecycle
Fusion Modeling Data,Fusion Modeling Data
G-код,GCode
Helius Composite,Helius Composite
Helius PFA,Helius PFA
HSV,HSV
iCopy,iCopy
iFeatures,iFeatures
iProperties,iProperties
ISTE,ISTE
Learning Inventor 2010,Learning Inventor 2010
Machine Connector,Machine Connector
MachineDNA,MachineDNA
Machining Extension,Machining extension
MD-файл,MD file
NC-файлы,NC Programs
NG,NG
NGSS,NGSS
oпоры,constraint
Pro,Pro
Project Simulus,Project Simulus
Thick Client,Thick Client
Thin Client,Thin Client
Vault Workgroup,Vault Workgroup
XBUILD,XBUILD
автоматическая проверка,automatic verification
автоматическая трассировка,automatic routing
автоматическое распознавание элементов,automatic feature recognition
автоматическое упорядочение,automatic ordering
автоматическое формирование цепочек граней,automatic face chain
адаптер объектов,Live Enabler
аддитивное производство способом наплавления нитей,FFF additive manufacturing
администратор Fusion Team,Fusion Team administrator
активная подсказка,progressive tooltip
альтернативная единица,alternate unit
американский тип проекции,third-angle projection
анализ напряжений,stress analysis
анализ поперечного сечения,cross section analysis
аналитическая поверхность,analytical surface
аннотация,annotation
АП,AM
АРЭ,AFR
ассоциативность поверхности,surface associativity
база инструмента,tool database
базовая система координат,datum reference frame
базовая точка,base point
базовое тело,base body
безопасный переход,collision free link path
Библиотека крепежа,Fasteners library
блог Vault,Vault blog
бобышка,boss feature
боковой пуансон,side core
боковой фиксатор,side lock
Боком фрезы,Swarf
более ранняя версия,lesser version
ведущая кривая,drive curve
вектор,vector
векторы ориентации,orientation vectors
вентиляция,vent
версия из хранилища,vaulted version
видеокарта,graphics card
видимость компонента,component visibility
винт с накатанной головкой,thumb screw
внешний контур,shrinkwrap
внешняя рама,external frame
внутренний фиксатор,interlock
внутренняя рама,internal frame
водяной знак,watermark
воздушный карман,air trap
возможности АСУП,CAM capabilities
возможность автоматической смены инструмента,automatic tool changer capacity
восстановленный элемент массива,restored pattern element
врезание,ramp
вставленный файл,attachment
выбор цепочки,chain selection
выборка 3D-модели,Model area clearance
выборочное лазерное спекание,selective laser sintering
вывод соединителя,connector pin
выдавливание,bump
выпуклый,convex
выпуск Autodesk Vault Professional,Autodesk Vault Professional edition
выравнивание,alignment
высота сегмента хвостовика,shaft segment height
выталкиватель,ejector
выталкивающий стержень,ejector pin
Вычислительный узел,Computenode
габариты модели,model limits
генератор сети,mesher
геометрический элемент,geometric feature
геометрия,geometry
геометрия для измерения,probe geometry
геометрия подложки,underlay geometry
гидроформинг,hydroforming
глобальная система координат,global coordinate system
глубина резания,depth of cut
глубина резкости,depth of field
Головной узел,Headnode
горизонтальная дуга,horizontal arc
граница,boundary
граница обрезки,trim boundary
граница точки контакта,contact point boundary
грань,face
грань листового металла,sheet metal face
грань поверхности,surface face
грань тела,solid face
графический маркер,graphic handle
группа,team
группа контроля поверхности,surface inspection group
группа новостей,newsgroup
группа простых измерений,simple measures group
группа чертежей,drawing group
группа элементов,feature group
групповая загрузка,bulk load
давление в конце заполнения,end of fill pressure
дамп,dump
данные хвостовика инструмента,tool shank data
датчик,sensor
движок,slider
двутавр,I section
двухкомпонентное литье,co-injection molding
делительная прямая,pitch line
демонстрационный ролик,Show Me animation
дерево,tree view
дерево последовательности,sequence tree
деталь кабеля,harness part
диагностика разделения,parting diagnostic
диаграмма нагрузки,load diagram
диаметр,diameter
диаметр делительной окружности,pitch diameter
диапазон,range
диапазон допуска,tolerance band
дизайн станка,machine design
динамическая точка,dynamic point
динамический просмотр,dynamic preview
документ многоместного зажима,multiple fixture document
допуск,tolerance
допуск формы и расположения,feature control frame
дуга,arc
единственная точка отказа,Single Point of Failure
зависимость заподлицо,flush constraint
зависимость совмещения,coincident constraint
зависимый объект,constrained object
заглушка трубы,pipe plug
зажимное приспособление,fixturing
зазор патрона,holder clearance
зазор хвостовика,Shank clearance
заимствование прав пользователя,impersonating user
закрепленная рабочая точка,grounded work point
замкнутое ребро,closed edge
замыкающая поверхность,patching surface
запорный клапан,valve gate
зарез,gouge
захват,gripper
зона прожига,burn region
Идентификатор элемента,Object ID
идентификационный код полимера,resin identification code
извлечь,extract
измерить,measure
изолиния,isoline
изометрический,isometric
инструмент,tool
инструмент автоотрисовки,auto-draw tool
инструмент в активном окне,in-canvas tool
инструмент повторного покрытия,recoater
инструментальный магазин,tool magazine
интеллектуальный курсор,inspection sequence
интерактивное распознавание элементов,Interactive Feature Recognition
интервал,interval
ИРЭ,IFR
исполняемая библиотека DirectX,DirectX Runtime
источник,publisher
исходный компонент,source component
исходный рабочий элемент,origin work feature
кабельный лоток,cable tray
калибровка,calibration
калибровка шпинделя,Spindle calibration
канавка,groove
каркас,wireframe
карта выдавливания,bump map
карта ошибок,error map
касательная дуга,surface normal arc
каскадное водное соединение,cascade water junction
КИМ,CMM
кинематическая цепь,kinematic chain
кисть,brush
клин,wedge
клиновой ремень,v-belt
ключевая точка,key point
коллизия,design conflict
командное окно,command window
компонент,component
конечная точка,end point
конечный отрезок траектории,toolpath tail
конечный угол,end angle
контекстное редактирование,edit in place
контрольная точка,target point
контршпиндель,subspindle
контур сбега,runoff loop
конус,cone
конус впрыска,injection cone
конусная шейка питателя,circular tapered gate
координата,coordinate
копирование проектов iLogic,iLogic Design Copy
короб,conduit
корпус щупа,probe body
корректировка вращения,rotational adjustment
