source,target
analytisk yta,analytical surface
Autodesk Masters Award,Autodesk Masters award
Autodesk Masters Program,Autodesk Masters Program
Autodesk Partner,Autodesk Partner
cirkulera fritt,free orbit
Configurator 360,Configurator 360
DPI,DPI
DSS,DSS
EDM,EDM
entonig skuggning,flat shading
fokalplan,focal plane
Helius Composite,Helius Composite
Helius PFA,Helius PFA
iCopy,iCopy
iFeatures,iFeatures
iProperties,iProperties
markering,markup
modellöversättningen,model translation
organisk modellering,organic modeling
plan yta,planar face
Pro,Pro
skärpedjup,depth of field
skissa kant,sketch edge
språkpaket,language pack
Thick Client,Thick Client
Thin Client,Thin Client
tillämpa begränsningar,infer constraints
Vault Workgroup,Vault Workgroup
