source,target
Aks,axle
alan derinliği,depth of field
Autodesk İş Ortağı,Autodesk Partner
Cel gölgeleme,cel shading
Configurator 360,Configurator 360
COPPA,COPPA
CV,CV
DPI,DPI
DSS,DSS
düz gölgelendirme,flat shading
ebeveyn hesabı,parent account
EDM,EDM
eğitmen hesabı,educator account
Fusion Team Yöneticisi,Fusion Team administrator
Helius Composite,Helius Composite
Helius PFA,Helius PFA
HSV,HSV
iCopy,iCopy
iFeatures,iFeatures
iProperties,iProperties
İşaretleme,markup
ISTE,ISTE
koruma,reservation
model çevirisi,model translation
NGSS,NGSS
odak Düzlemi,focal plane
öğrenci tasarımı,student design
Ortak Temel,Common Core
Pro,Pro
şekil,shape
sel çözümü,flood solution
serbest yörünge,free orbit
tasarım çakışması,design conflict
tasarım koruma,design reservation
Thick Client,Thick Client
Thin Client,Thin Client
tonemap yöntemi,tonemap method
tuğlalaştırmak,brickify
Vault Workgroup,Vault Workgroup
Yeni Özellikler Atölyesi,New Features Workshop
yönetici,moderator
