source,target
3D-друк,3D Print
3D-упаковка,3D Packing
AFR,AFR
AM,AM
BOM,BOM
CLDATA,CLDATA
CMM,CMM
CNC,CNC
COPPA,COPPA
CV,CV
DOF,DOF
DPI,DPI
DSS,DSS
dxf,dxf
EBM,EBM
EDM,EDM
F3Z,F3Z
FFF,FFF
GTC,GTC
HSV,HSV
i особливістi,iFeatures
IFR,IFR
ISO,ISO
ISTE,ISTE
iкопія,iCopy
kPa,kPa
L-подібна секція,L section
NG,NG
NGSS,NGSS
OD,OD
PCB,PCB
SLS,SLS
SVG,SVG
UCS,UCS
U-подібна секція,U section
v - подібний зад,v butt
WCS,WCS
X Положення зазору,X clearance position
автоматична маршрутизація,automatic routing
автоматична перевірка,automatic verification
автоматична торцева ланцюжок,automatic face chain
автоматичне замовлення,automatic ordering
автоматичне розпізнавання об'єктів,automatic feature recognition
Автор частини,iPart Author
адаптивне навчання,adaptive clearing
адаптивне уточнення,adaptive refinement
адитивна технологія,additive technology
Адитивне виробництво FFF,FFF additive manufacturing
Адміністратор команди Fusion,Fusion Team administrator
Адміністратор конфігурації,Configuration Administrator
активізувати поверхню,promote surface
альтернативний блок,alternate unit
аналіз поперечного перерізу,cross section analysis
аналіз стресу,stress analysis
аналітична поверхня,analytical surface
анімаційні кадри,animation footage
Анімація Show Me,Show Me animation
анотація,annotation
асоціативна друкована плата,associative PCB
атрибут внутрішнього теплового навантаження,internal heat load attribute
багато композитів,multiple composites
Багатозначний,MultiValue
багатокорпусний,multi-body
багатотільний робочий процес,multibody workflow
багатоцільовий робочий процес,multi-body workflow
база даних інструментів,tool database
Базова поверхня,base face
базова точка,base point
базовий корпус,base body
базовий фланець,base flange
безкоштовний наркотик,free drag
безперервне округлення кривизни,curvature continuous fillet
Бельвільська пружина,Belleville spring
бібліотека активів,asset library
бібліотека контенту,content library
Бібліотека кріпильних деталей,Fasteners library
біосумісний матеріал,biocompatible material
бічний замок,side lock
бічний сердечник,side core
блиск,blisk
Блог сховища,Vault blog
блокування,interlock
бочкоподібний інструмент,barrel tool
бронювання,reservation
будівельна площина,construction plane
букет,bouquet
буфер даних,data buffer
важкий перехід,hard transition
варіанти охолоджуючої рідини,coolant options
варіанти розфарбовування,colorization options
ведучий кут,lead angle
вежа,turret
вектор,vector
вектори орієнтації,orientation vectors
величина зазору,clearance value
верхній діаметр вала,shaft upper diameter
вершина,vertex
вибір ланцюжка,chain selection
виводити обмеження,infer constraints
вид в розрізі на три чверті,three quarter section view
