source,target
alfa přechod,alpha-blend
úhlová rychlost,angular speed
Ocenění Autodesk Masters,Autodesk Masters award
Program Autodesk Masters,Autodesk Masters Program
odsazení osy,axis offset
binární velký objekt,binary large object
vázaná póza,bind pose
režim přechodu,blend mode
přechodová plocha,blend surface
hranice,border
vyboulení,bulge
nerovnost,bump
mapa nerovností,bump map
mapování nerovností,bump mapping
kamera,camera
okenní křídlo,casement
velké objekty znaků,character large object
CLOB,CLOB
uzavřená hrana,closed edge
objekt s vazbou,constrained object
řešič vazeb,constraint solver
řídicí vrchol,control vertex
konvexní,convex
souřadnicový referenční systém,coordinate reference system
hloubka pole,depth of field
digitální výškový model,digital elevation model
měřítko posunutí,displacement scale
půltóny,dithering
DOF,DOF
osa výšek,elevation axis
zaoblení,fillet
Filmbox,Filmbox
inverzní kinematika celého tělesa,full-body inverse kinematics
hardwarový stínovač,hardware shader
cíl i-drop,i-drop target
izoparma,isoparm
rozšíření v oblouku,knuckle
hladina,layer
úroveň,level
lineární pole,linear array
MatchMover,MatchMover
síť,mesh
generátor sítě,mesher
Meshmixer,Meshmixer
MUD,MUD
Mudbox,Mudbox
NTSC,NTSC
OBJ,OBJ
neprůhlednost,opacity
OpenEXR,OpenEXR
sledování paprsků,ray tracing
mapa odrazů,reflection map
bod vzorku,sample point
pomocný spoj,secondary joint
funkce SOP,slope-offset-power
SMPTE,SMPTE
SOP,SOP
překrytý profil,superimposed profile
oříznutí povrchu,surface trimming
univerzální manipulátor,universal manipulator
