source,target
Configuración de administración,Admin Settings
combinación alfa,alpha-blend
velocidad angular,angular speed
premio Autodesk Masters,Autodesk Masters award
Programa Autodesk Masters,Autodesk Masters Program
desfase de ejes,axis offset
tostar,bake
objeto grande binario,binary large object
asignación de posturas,bind pose
modo de fusión,blend mode
superficie de fusión,blend surface
cuadro delimitador,bounding box
pincel,brush
curvatura,bulge
relieve,bump
mapa de relieve,bump map
cámara,camera
objeto de carácter grande,character large object
CLOB,CLOB
aristas cerradas,closed edge
objeto con restricciones,constrained object
vértice de control,control vertex
convexo,convex
sistema de referencia de coordenadas,coordinate reference system
profundidad de campo,depth of field
modelo digital de elevación,digital elevation model
escala de desplazamiento,displacement scale
DOF,DOF
eje de elevación,elevation axis
cuentagotas,eyedropper
empalme,fillet
fotograma,frame
velocidad de fotogramas,frame rate
cinemática inversa de cuerpo completo,full-body inverse kinematics
sombreador de hardware,hardware shader
destino de i-drop,i-drop target
línea isoparamétrica,isoparm
sobreancho,knuckle
capa,layer
nivel,level
matriz lineal,linear array
malla,mesh
generador de mallas,mesher
NTSC,NTSC
opacidad,opacity
trazado de rayos,ray tracing
mapa de reflexión,reflection map
punto de muestreo,sample point
pendiente-compensación-potencia,slope-offset-power
SMPTE,SMPTE
SOP,SOP
troquel,stencil
perfil superpuesto,superimposed profile
recorte de superficie,surface trimming
Manipulador universal,universal manipulator
