source,target
अल्फ़ा--ब्लेंड,alpha-blend
कोणीय गति,angular speed
बेस मेश,base mesh
बाइनरी बड़ा ऑब्जेक्ट,binary large object
बांधने की मुद्रा,bind pose
ब्लेंड मोड,blend mode
ब्लेंड सतह,blend surface
धुंधलापन,blurriness
बुकमार्क,bookmark
ब्रश,brush
ब्रश स्ट्रोक,brush stroke
उभार,bulge
बम्प,bump
बम्प मैप,bump map
बम्प मैपिंग,bump mapping
कैमरा,camera
केसमेंट,casement
कैरेक्टर लार्ज ऑब्जेक्ट,character large object
CLOB,CLOB
बंद किनारा,closed edge
घटक,component
बाधित ऑब्जेक्ट,constrained object
नियंत्रण शीर्ष,control vertex
क्षेत्र की गहराई,depth of field
डिजिटल उन्नयन मॉडल,digital elevation model
विस्थापन मैप,displacement map
विस्थापन स्केल,displacement scale
कटौती,dithering
DOF,DOF
उन्नयन ऐक्सिस,elevation axis
निष्कर्षण,extraction
आईड्रॉपर,eyedropper
फ़ेस,face
फ़िलेट,fillet
फ्लायआउट,flyout
फ्लाय-आउट,fly-out
फ़्रेगमेंट,fragment
फ़्रेम,frame
फ़्रेम दर,frame rate
"फुल-बॉडी, व्युत्क्रम कीनेमेटिक्स",full-body inverse kinematics
गामा,gamma
हार्डवेयर शेडर,hardware shader
हाइलाइट,highlight
हाइपरशेड,Hypershade
छवि मैप,image map
छवि प्लेन,image plane
छवि-आधारित प्रकाश व्यवस्था,image-based lighting
आइसोपर्म,isoparm
संयुक्त,joint
जोड़,knuckle
परत,layer
स्तर,level
सीमा सतह,limit surface
रैखिक ऐरे,linear array
मेश,mesh
मेशर,mesher
मध्य टोन,mid-tone
संशोधक,modifier
नोड-लॉक लाइसेंस,node-locked license
सामान्य मैप,normal map
NTSC,NTSC
ऑब्जेक्ट स्पेस,object space
अस्पष्टता,opacity
आउटलाइन,outline
पार्टिकल व्यू,Particle View
पॉलीगन,polygon
बहुभूज,primitive
प्रक्षेपण मैप,projection map
रे ट्रेसिंग,ray tracing
प्रतिबिंब मैप,reflection map
रीटोपोलॉजी,retopology
रीटोपोलॉजी मेश,retopology mesh
रीटोपोलॉजी संशोधक,retopology modifier
रीटोपोलॉजी प्रोसेस,retopology process
रीटोपोलॉजी टूल,retopology tools
सुरक्षित फ्रेम,safe frame
नमूना बिंदु,sample point
स्क्रीन प्रक्षेपण,screen projection
शेडिंग,shading
स्लोप-ऑफ़सेट-पावर,slope-offset-power
सुचारू,smoothing
SMPTE,SMPTE
SOP,SOP
स्पेक्युलर हाइलाइट,specular highlight
स्प्लाइन नॉट,spline knot
स्टैंसिल,stencil
स्ट्रोक,stroke
सब डिवीज़न स्तर,subdivision level
आरोपित प्रोफ़ाइल,superimposed profile
सतह की छंटाई,surface trimming
थ्रेसहोल्ड,threshold
यूनिवर्सल मैनिप्युलेटर,universal manipulator
शीर्ष ID,vertex ID
शीर्ष सामान्य,vertex normal
