source,target
alfasimitás,alpha-blend
szögsebesség,angular speed
Autodesk mester díj,Autodesk Masters award
Autodesk mesterképzési program,Autodesk Masters Program
tengelyeltolás,axis offset
nagy bináris objektum,binary large object
nyugalmi póz,bind pose
keverési mód,blend mode
simítási felület,blend surface
keret,border
befoglaló téglatest,bounding box
húrtávolság,bulge
felület,bump
felülettérkép,bump map
felülettérképezés,bump mapping
kamera,camera
nagy karakteres objektum,character large object
CLOB,CLOB
lezárt él,closed edge
kényszerezett objektum,constrained object
kényszermegoldó,constraint solver
vezérlő csúcspont,control vertex
konvex,convex
koordinátareferencia-rendszer,coordinate reference system
mélységélesség,depth of field
elmozdulásléptékezés,displacement scale
összemosás,dithering
DOF,DOF
magassági tengely,elevation axis
lekerekítés,fillet
Filmbox,Filmbox
teljes test inverz kinematikája,full-body inverse kinematics
hardveres árnyaló,hardware shader
paraméter-szintvonal,isoparm
szint,level
hosszirányú kiosztás,linear array
MatchMover,MatchMover
háló,mesh
hálózó,mesher
Meshmixer,Meshmixer
MUD,MUD
NTSC,NTSC
OBJ,OBJ
átlátszatlanság,opacity
OpenEXR,OpenEXR
sugárkövetés,ray tracing
visszaverődési térkép,reflection map
másodlagos csatlakozás,secondary joint
Slope-Offset-Power,slope-offset-power
SMPTE,SMPTE
SOP,SOP
felületmetszés,surface trimming
univerzális manipulátor,universal manipulator
