source,target
łączenie alfa,alpha-blend
prędkość kątowa,angular speed
Nagrody Autodesk Masters,Autodesk Masters award
Program Autodesk Masters,Autodesk Masters Program
odsunięcie osi,axis offset
wielki obiekt binarny,binary large object
ustalona poza,bind pose
tryb łączenia,blend mode
powierzchnia połączenia,blend surface
granica,border
ramka ograniczająca,bounding box
wybrzuszenie,bulge
wypukłość,bump
mapa wypukłości,bump map
mapowanie wypukłości,bump mapping
kamera,camera
skrzydło okienne,casement
wielki obiekt znaku,character large object
CLOB,CLOB
zamknięta krawędź,closed edge
obiekt związany,constrained object
funkcja rozwiązywania ograniczeń,constraint solver
wierzchołek sterujący,control vertex
układ współrzędnych odniesienia,coordinate reference system
głębia ostrości,depth of field
cyfrowy model wysokościowy,digital elevation model
skala przemieszczenia,displacement scale
wyrównywanie,dithering
DOF,DOF
oś rzędnych,elevation axis
zaokrąglenie,fillet
Filmbox,Filmbox
Kinematyka odwrotna całej bryły,full-body inverse kinematics
sprzętowe narzędzie cieniowania,hardware shader
element docelowy i-drop,i-drop target
krzywa izoparametryczna,isoparm
przegub,knuckle
warstwa,layer
poziom,level
szyk liniowy,linear array
MatchMover,MatchMover
siatka,mesh
moduł generowania siatki,mesher
Meshmixer,Meshmixer
MUD,MUD
Mudbox,Mudbox
NTSC,NTSC
OBJ,OBJ
nieprzezroczystość,opacity
OpenEXR,OpenEXR
śledzenie promieni,ray tracing
mapa odbić,reflection map
punkt próbki,sample point
połączenie pomocnicze,secondary joint
nachylenie-przesunięcie nośnych-moc,slope-offset-power
SMPTE,SMPTE
SOP,SOP
meble uliczne,street furniture
utwórz profil nałożony,superimposed profile
przycinanie powierzchni,surface trimming
manipulator uniwersalny,universal manipulator
