source,target
sangramento alfa,alpha-blend
velocidade angular,angular speed
prêmio Autodesk Masters,Autodesk Masters award
programa Autodesk Masters,Autodesk Masters Program
Autodesk Retopology Tools for 3ds Max,Autodesk Retopology Tools for 3ds Max
deslocamento do eixo,axis offset
incorporar,bake
Big New Better,Big New Better
Big New Max,Big New Max
Big New Maya,Big New Maya
objeto binário grande,binary large object
pose de associação,bind pose
modo de mesclagem,blend mode
superfície de mescla,blend surface
caixa delimitadora,bounding box
pincel,brush
convexidade,bulge
saliência,bump
mapa de textura,bump map
mapeamento de textura,bump mapping
câmera,camera
conjunto de dados de caracteres,character large object
CLOB,CLOB
aresta fechada,closed edge
objeto restrito,constrained object
vértice de controle,control vertex
cobertura do vértice de controle,control vertices hull
convexo,convex
sistema de referência de coordenadas,coordinate reference system
profundidade do campo,depth of field
escala de deslocamento,displacement scale
pontilhamento,dithering
DOF,DOF
Direcionado,Driven
eixo de elevação,elevation axis
conta-gotas,eyedropper
arredondamento,fillet
Filmbox,Filmbox
fragmento,fragment
quadro,frame
taxa de quadros,frame rate
cinemática inversa de corpo inteiro,full-body inverse kinematics
sombreador de hardware,hardware shader
isoparm,isoparm
camada,layer
matriz linear,linear array
MatchMover,MatchMover
malha,mesh
criador de malha,mesher
Meshmixer,Meshmixer
modificador,modifier
MUD,MUD
Mudbox,Mudbox
NTSC,NTSC
OBJ,OBJ
opacidade,opacity
OpenEXR,OpenEXR
Vista de partículas,Particle View
Giro,Pivot
tracejamento de raio,ray tracing
mapa de reflexão,reflection map
retopologia,retopology
malha de retopologia,retopology mesh
modificador de retopologia,retopology modifier
processo de retopologia,retopology process
ferramentas de retopologia,retopology tools
Quadro seguro,Safe Frame
licença,seat
slope-offset-power,slope-offset-power
SMPTE,SMPTE
SOP,SOP
nó curvado,spline knot
estêncil,stencil
corte de superfície,surface trimming
limite,threshold
Limite de triangulação,Triangulate Cap
manipulador universal,universal manipulator
