source,target
3D Rotate gizmo,三维旋转小控件
3D Scale gizmo,三维缩放小控件
ACA,ACA
ACS,ACS
ACTM,ACTM
AEC content,工程建设内容
AEC object,AEC 对象
Aligned Dimension,对齐标注
ALKIS,ALKIS
all-around symbol,全周边符号
alpha-blend,Alpha 混合
alternate unit,换算单位
altimetry,测高法
annotation,注释
annotational constraint,注释性约束
annotative object,注释性对象
anode,阳极
anode station,阳极站
appearance style,外观样式
arc,弧
Arc Length,弧长
Arc radius,半径
arc segmentation,圆弧分割
arc-chord distance,弧弦距离
area value,面积值
ARG,ARG
assembly extraction template,部件提取模板
associative array,关联阵列
Associative QDIM extension,Associative QDIM extension
assumed nozzle,假定管嘴
ATIL,ATIL
AutoCAD block,AutoCAD 块
AutoCAD color index,AutoCAD 颜色索引
AutoCAD Electrical Turing Beta,AutoCAD Electrical Turing BetaAutoCAD Electrical Turing Beta
AutoCAD Mobile,AutoCAD 移动版
AutoComplete,自动完成
Autodesk Assistant,Autodesk 助手
Autodesk Manufacturing Community Portal,Autodesk 制造业社区门户
AutoLISP,AutoLISP Project Files
AutoLISP development,AutoLISP 开发
AutoLISP environment,AutoLISP 环境
auxiliary coordinate system,辅助坐标系
axial stress,轴向应力
azimuth,方位角
backwater gate,回水闸
base point,基点
baseline,基线
Batch Standards Checker,标准批处理检查器
baud rate,波特率
BDA,BDA
below grade,地平面以下
bevel,倒角
bill of materials,BOM 表
binary large object,二进制大对象
bitonal image,两色图像
BLOB,BLOB
block,块
block authoring object,块编写对象
block definition,块定义
block library,块库
block properties table,块特性表
block replacement,块替换
BLOCKMRULIST,BLOCKMRULIST
BLOCKNAVIGATE,BLOCKNAVIGATE
blocks palette,块选项板
BLOCKSPALETTE,BLOCKSPALETTE
BLOCKSPALETTECLOSE,BLOCKSPALETTECLOSE
blow off valve,排出阀
BOM,BOM 表
boolean,布尔
bounded area,边界区域
bounding box,边界框
break,打断
break loop,中断循环
break point,断点
BREAKATPOINT,BREAKATPOINT
breaker,断路器
break-out line,局部剖切线
breakpoint,断点
bulge,凸起
bulge factor,凸度因子
bulk copy,海量复制
bump,凹凸
bump map,凹凸贴图
bump mapping,凹凸贴图
bus bar,母线
BYBLOCK,BYBLOCK
BYLAYER,BYLAYER
cable tray,电缆桥架
cable tray fitting,电缆桥架接头
camera calibration,相机校准
camera glyph,相机轮廓
canvas,画布
cap,端口
cap filleting,封口圆角
capacitor,电容器
Cascading Style Sheets,级联样式表
casing,套管
casing model,套管模型
catalog browser,目录浏览器
catalog number,目录号
Catmull-Clark subdivision surface,Catmull-Clark 细分曲面
center line,中心线
center mark,中心标记
center point,中心点
chamfer,倒角
CHAR,CHAR
character large object,字符大对象
chi square,卡方
child feature class,子要素类
circuit breaker,断路器
circuitry,回路
class,类别
CLASSICINSERT,CLASSICINSERT
clip volume,剪裁范围
clipping plane,剪裁平面
CLOB,CLOB
closed contour,闭合轮廓
closed edge,闭合边
code combination,规范组合
cold grip,冷夹点
cold water fixture unit,冷水卫浴装置当量
colinear,共线
colinear constraint,共线约束
collate,排序
collection,集合
collinear,共线
color book,配色系统
colorbook,配色系统
combined electric and heat generating station,热电站
combustion chamber,燃烧室
comminuting machine,粉碎机
COMPARECLOSE,COMPARECLOSE
COMPAREEXPORT,COMPAREEXPORT
COMPAREIMPORT,COMPAREIMPORT
component class,元件类别
component list,组件列表
composite solid,复合实体
composite symbol,组合符号
compound symbol,复合符号
compression,压缩
compression end,压力端
computed length,计算长度
concentric,同心
conductor,导体
connection grip,连接夹点
connection symbol,连接符号
connector line,连接线
connector pin,连接器接点
constrained object,受约束对象
constraint bar,约束栏
constraint parameter,约束参数
constraint point,约束点
constraint variable,约束变量
construction geometry,构造几何图形
construction line,构造线
content pack,内容包
continuation grip,顺序夹点
